; Candidate 5329
; ADRP+ADD at VM 0xfffffff0087e6d5c (fileoff 0x17e2d5c): page=0x1fea03000 add_imm=0xe80

0xfffffff0087e6cdc: e141d797  bl	#0xfffffff007db7460
0xfffffff0087e6ce0: 27000014  b	#0xfffffff0087e6d7c
0xfffffff0087e6ce4: 32350394  bl	#0xfffffff0088b41ac
0xfffffff0087e6ce8: f40300aa  mov	x20, x0
0xfffffff0087e6cec: c0008052  mov	w0, #6
0xfffffff0087e6cf0: d8520294  bl	#0xfffffff00887b850
0xfffffff0087e6cf4: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6cf8: 08893991  add	x8, x8, #0xe62
0xfffffff0087e6cfc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087e6d00: 680e8052  mov	w8, #0x73
0xfffffff0087e6d04: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e6d08: f40300f9  str	x20, [sp]
0xfffffff0087e6d0c: 0050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e6d10: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e6d14: 0191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e6d18: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e6d1c: c352ff90  adrp	x3, #0xfffffff00723e000
0xfffffff0087e6d20: 63601b91  add	x3, x3, #0x6d8
0xfffffff0087e6d24: 02008052  mov	w2, #0
0xfffffff0087e6d28: 0231ed97  bl	#0xfffffff008333130
0xfffffff0087e6d2c: 93faffb5  cbnz	x19, #0xfffffff0087e6c7c
0xfffffff0087e6d30: d7ffff17  b	#0xfffffff0087e6c8c
0xfffffff0087e6d34: 1e350394  bl	#0xfffffff0088b41ac
0xfffffff0087e6d38: f30300aa  mov	x19, x0
0xfffffff0087e6d3c: c0008052  mov	w0, #6
0xfffffff0087e6d40: c4520294  bl	#0xfffffff00887b850
0xfffffff0087e6d44: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6d48: 08893991  add	x8, x8, #0xe62
0xfffffff0087e6d4c: e8ff01a9  stp	x8, xzr, [sp, #0x18]
0xfffffff0087e6d50: 680e8052  mov	w8, #0x73
0xfffffff0087e6d54: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e6d58: f30300f9  str	x19, [sp]
0xfffffff0087e6d5c: 0050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e6d60: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e6d64: 0191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e6d68: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e6d6c: c352ff90  adrp	x3, #0xfffffff00723e000
0xfffffff0087e6d70: 63d01b91  add	x3, x3, #0x6f4
0xfffffff0087e6d74: 02008052  mov	w2, #0
0xfffffff0087e6d78: ee30ed97  bl	#0xfffffff008333130
0xfffffff0087e6d7c: 00008052  mov	w0, #0
0xfffffff0087e6d80: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0087e6d84: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0087e6d88: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0087e6d8c: ff830191  add	sp, sp, #0x60
0xfffffff0087e6d90: ff0f5fd6  retab	
0xfffffff0087e6d94: 5f2403d5  bti	c
0xfffffff0087e6d98: 010800f9  str	x1, [x0, #0x10]
0xfffffff0087e6d9c: 00008052  mov	w0, #0
0xfffffff0087e6da0: c0035fd6  ret	
0xfffffff0087e6da4: 5f2403d5  bti	c
0xfffffff0087e6da8: 3f0000f9  str	xzr, [x1]
0xfffffff0087e6dac: 08040051  sub	w8, w0, #1
0xfffffff0087e6db0: 1f6d0071  cmp	w8, #0x1b
0xfffffff0087e6db4: 88000054  b.hi	#0xfffffff0087e6dc4
0xfffffff0087e6db8: 09c0be12  mov	w9, #0x9ffffff
0xfffffff0087e6dbc: 2925c81a  lsr	w9, w9, w8
0xfffffff0087e6dc0: 69000037  tbnz	w9, #0, #0xfffffff0087e6dcc
0xfffffff0087e6dc4: 207d8012  mov	w0, #-0x3ea
0xfffffff0087e6dc8: c0035fd6  ret	
0xfffffff0087e6dcc: 00008052  mov	w0, #0
0xfffffff0087e6dd0: 0991fff0  adrp	x9, #0xfffffff007a09000
0xfffffff0087e6dd4: 29e12e91  add	x9, x9, #0xbb8
0xfffffff0087e6dd8: 28d968f8  ldr	x8, [x9, w8, sxtw #3]
