; Candidate 6720
; ADRP+ADD at VM 0xfffffff00883cd30 (fileoff 0x1838d30): page=0x1fe9e7000 add_imm=0xea1

0xfffffff00883ccb0: 600e00b4  cbz	x0, #0xfffffff00883ce7c
0xfffffff00883ccb4: 612640f9  ldr	x1, [x19, #0x48]
0xfffffff00883ccb8: 621640f9  ldr	x2, [x19, #0x28]
0xfffffff00883ccbc: cb660194  bl	#0xfffffff0088967e8
0xfffffff00883ccc0: 20110034  cbz	w0, #0xfffffff00883cee4
0xfffffff00883ccc4: 600a8052  mov	w0, #0x53
0xfffffff00883ccc8: 81008052  mov	w1, #4
0xfffffff00883cccc: c1fa0094  bl	#0xfffffff00887b7d0
0xfffffff00883ccd0: a0d1ff34  cbz	w0, #0xfffffff00883c704
0xfffffff00883ccd4: 600a8052  mov	w0, #0x53
0xfffffff00883ccd8: d0fa0094  bl	#0xfffffff00887b818
0xfffffff00883ccdc: f60300aa  mov	x22, x0
0xfffffff00883cce0: 33dd0194  bl	#0xfffffff0088b41ac
0xfffffff00883cce4: f50300aa  mov	x21, x0
0xfffffff00883cce8: 80008052  mov	w0, #4
0xfffffff00883ccec: d9fa0094  bl	#0xfffffff00887b850
0xfffffff00883ccf0: 161d0034  cbz	w22, #0xfffffff00883d090
0xfffffff00883ccf4: 69a244a9  ldp	x9, x8, [x19, #0x48]
0xfffffff00883ccf8: 6a1640f9  ldr	x10, [x19, #0x28]
0xfffffff00883ccfc: e9ab04a9  stp	x9, x10, [sp, #0x48]
0xfffffff00883cd00: aa4eff90  adrp	x10, #0xfffffff007210000
0xfffffff00883cd04: 4ab92791  add	x10, x10, #0x9ee
0xfffffff00883cd08: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00883cd0c: 48178052  mov	w8, #0xba
0xfffffff00883cd10: 294ffff0  adrp	x9, #0xfffffff007223000
0xfffffff00883cd14: 29d52e91  add	x9, x9, #0xbb5
0xfffffff00883cd18: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00883cd1c: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883cd20: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883cd24: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883cd28: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00883cd2c: 680a8052  mov	w8, #0x53
0xfffffff00883cd30: 204ffff0  adrp	x0, #0xfffffff007223000
0xfffffff00883cd34: 00843a91  add	x0, x0, #0xea1
0xfffffff00883cd38: 71feff17  b	#0xfffffff00883c6fc
0xfffffff00883cd3c: 1cdd0194  bl	#0xfffffff0088b41ac
0xfffffff00883cd40: f50300aa  mov	x21, x0
0xfffffff00883cd44: 80008052  mov	w0, #4
0xfffffff00883cd48: c2fa0094  bl	#0xfffffff00887b850
0xfffffff00883cd4c: a84eff90  adrp	x8, #0xfffffff007210000
0xfffffff00883cd50: 08a12b91  add	x8, x8, #0xae8
0xfffffff00883cd54: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883cd58: e8148052  mov	w8, #0xa7
0xfffffff00883cd5c: 294ffff0  adrp	x9, #0xfffffff007223000
0xfffffff00883cd60: 29d52e91  add	x9, x9, #0xbb5
0xfffffff00883cd64: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883cd68: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883cd6c: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883cd70: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883cd74: 680a8052  mov	w8, #0x53
0xfffffff00883cd78: f52300a9  stp	x21, x8, [sp]
0xfffffff00883cd7c: 604dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883cd80: 00003a91  add	x0, x0, #0xe80
0xfffffff00883cd84: 618eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00883cd88: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883cd8c: 8350fff0  adrp	x3, #0xfffffff00724f000
0xfffffff00883cd90: 635c0891  add	x3, x3, #0x217
0xfffffff00883cd94: 02008052  mov	w2, #0
0xfffffff00883cd98: e6d8eb97  bl	#0xfffffff008333130
0xfffffff00883cd9c: 150080d2  mov	x21, #0
0xfffffff00883cda0: 5bfeff17  b	#0xfffffff00883c70c
0xfffffff00883cda4: 02dd0194  bl	#0xfffffff0088b41ac
0xfffffff00883cda8: f50300aa  mov	x21, x0
0xfffffff00883cdac: 80008052  mov	w0, #4
