; Candidate 14964
; ADRP+ADD at VM 0xfffffff009a0e150 (fileoff 0x2a0a150): page=0x1fdbf3000 add_imm=0xe39

0xfffffff009a0e0d0: e9179f1a  cset	w9, eq
0xfffffff009a0e0d4: 09310139  strb	w9, [x8, #0x4c]
0xfffffff009a0e0d8: 17ffff17  b	#0xfffffff009a0dd34
0xfffffff009a0e0dc: b53a0012  and	w21, w21, #0x7fff
0xfffffff009a0e0e0: df02186b  cmp	w22, w24
0xfffffff009a0e0e4: e0e3ff54  b.eq	#0xfffffff009a0dd60
0xfffffff009a0e0e8: e8024039  ldrb	w8, [x23]
0xfffffff009a0e0ec: 88030036  tbz	w8, #0, #0xfffffff009a0e15c
0xfffffff009a0e0f0: 39fe9297  bl	#0xfffffff007ecd9d4
0xfffffff009a0e0f4: 40030035  cbnz	w0, #0xfffffff009a0e15c
0xfffffff009a0e0f8: 700240f9  ldr	x16, [x19]
0xfffffff009a0e0fc: f10313aa  mov	x17, x19
0xfffffff009a0e100: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a0e104: 301ac1da  autda	x16, x17
0xfffffff009a0e108: 113d80d2  mov	x17, #0x1e8
0xfffffff009a0e10c: 1002118b  add	x16, x16, x17
0xfffffff009a0e110: 080240f9  ldr	x8, [x16]
0xfffffff009a0e114: e90310aa  mov	x9, x16
0xfffffff009a0e118: e00313aa  mov	x0, x19
0xfffffff009a0e11c: 010080d2  mov	x1, #0
0xfffffff009a0e120: f10309aa  mov	x17, x9
0xfffffff009a0e124: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009a0e128: 11093fd7  blraa	x8, x17
0xfffffff009a0e12c: f40300aa  mov	x20, x0
0xfffffff009a0e130: 685240f9  ldr	x8, [x19, #0xa0]
0xfffffff009a0e134: 010d4039  ldrb	w1, [x8, #3]
0xfffffff009a0e138: e00313aa  mov	x0, x19
0xfffffff009a0e13c: e6f9ff97  bl	#0xfffffff009a0c8d4
0xfffffff009a0e140: e803002a  mov	w8, w0
0xfffffff009a0e144: a93e4092  and	x9, x21, #0xffff
0xfffffff009a0e148: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009a0e14c: f44f00a9  stp	x20, x19, [sp]
0xfffffff009a0e150: 80dffef0  adrp	x0, #0xfffffff007601000
0xfffffff009a0e154: 00e43891  add	x0, x0, #0xe39
0xfffffff009a0e158: b223a597  bl	#0xfffffff008357020
0xfffffff009a0e15c: e8024039  ldrb	w8, [x23]
0xfffffff009a0e160: 68030836  tbz	w8, #1, #0xfffffff009a0e1cc
0xfffffff009a0e164: 700240f9  ldr	x16, [x19]
0xfffffff009a0e168: f10313aa  mov	x17, x19
0xfffffff009a0e16c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a0e170: 301ac1da  autda	x16, x17
0xfffffff009a0e174: 113d80d2  mov	x17, #0x1e8
0xfffffff009a0e178: 1002118b  add	x16, x16, x17
0xfffffff009a0e17c: 080240f9  ldr	x8, [x16]
0xfffffff009a0e180: e90310aa  mov	x9, x16
0xfffffff009a0e184: e00313aa  mov	x0, x19
0xfffffff009a0e188: 010080d2  mov	x1, #0
0xfffffff009a0e18c: f10309aa  mov	x17, x9
0xfffffff009a0e190: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009a0e194: 11093fd7  blraa	x8, x17
0xfffffff009a0e198: f40300aa  mov	x20, x0
0xfffffff009a0e19c: 685240f9  ldr	x8, [x19, #0xa0]
0xfffffff009a0e1a0: 010d4039  ldrb	w1, [x8, #3]
0xfffffff009a0e1a4: e00313aa  mov	x0, x19
0xfffffff009a0e1a8: cbf9ff97  bl	#0xfffffff009a0c8d4
0xfffffff009a0e1ac: e803002a  mov	w8, w0
0xfffffff009a0e1b0: e90315aa  mov	x9, x21
0xfffffff009a0e1b4: 293d4092  and	x9, x9, #0xffff
0xfffffff009a0e1b8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009a0e1bc: f44f00a9  stp	x20, x19, [sp]
0xfffffff009a0e1c0: 80dffef0  adrp	x0, #0xfffffff007601000
0xfffffff009a0e1c4: 00e43891  add	x0, x0, #0xe39
0xfffffff009a0e1c8: e284a997  bl	#0xfffffff00846f550
0xfffffff009a0e1cc: 685240f9  ldr	x8, [x19, #0xa0]
