; Candidate 2399
; ADRP+ADD at VM 0xfffffff00864a750 (fileoff 0x1646750): page=0x1feaca000 add_imm=0xed8

0xfffffff00864a6d0: c9838052  mov	w9, #0x41e
0xfffffff00864a6d4: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff00864a6d8: 4856ff90  adrp	x8, #0xfffffff007112000
0xfffffff00864a6dc: 08e53791  add	x8, x8, #0xdf9
0xfffffff00864a6e0: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00864a6e4: e02300a9  stp	x0, x8, [sp]
0xfffffff00864a6e8: 4056ff90  adrp	x0, #0xfffffff007112000
0xfffffff00864a6ec: 00143e91  add	x0, x0, #0xf85
0xfffffff00864a6f0: 8727f997  bl	#0xfffffff00849450c
0xfffffff00864a6f4: 00000000  udf	#0
0xfffffff00864a6f8: 00000000  udf	#0
0xfffffff00864a6fc: 00000000  udf	#0
0xfffffff00864a700: 7f2303d5  pacibsp	
0xfffffff00864a704: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00864a708: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00864a70c: fd430091  add	x29, sp, #0x10
0xfffffff00864a710: e80301aa  mov	x8, x1
0xfffffff00864a714: f30300aa  mov	x19, x0
0xfffffff00864a718: b09cff90  adrp	x16, #0xfffffff0079de000
0xfffffff00864a71c: 10e22791  add	x16, x16, #0x9f8
0xfffffff00864a720: 10420091  add	x16, x16, #0x10
0xfffffff00864a724: f10300aa  mov	x17, x0
0xfffffff00864a728: 915ee2f2  movk	x17, #0x12f4, lsl #48
0xfffffff00864a72c: 300ac1da  pacda	x16, x17
0xfffffff00864a730: 100000f9  str	x16, [x0]
0xfffffff00864a734: a99cff90  adrp	x9, #0xfffffff0079de000
0xfffffff00864a738: 29c544f9  ldr	x9, [x9, #0x988]
0xfffffff00864a73c: 210140f9  ldr	x1, [x9]
0xfffffff00864a740: e00308aa  mov	x0, x8
0xfffffff00864a744: 6c65f297  bl	#0xfffffff0082e3cf4
0xfffffff00864a748: 600600f9  str	x0, [x19, #8]
0xfffffff00864a74c: 800100b5  cbnz	x0, #0xfffffff00864a77c
0xfffffff00864a750: 4056ffd0  adrp	x0, #0xfffffff007114000
0xfffffff00864a754: 00603b91  add	x0, x0, #0xed8
0xfffffff00864a758: 0d000094  bl	#0xfffffff00864a78c
0xfffffff00864a75c: 4056ffd0  adrp	x0, #0xfffffff007114000
0xfffffff00864a760: 00c02191  add	x0, x0, #0x870
0xfffffff00864a764: a19cff90  adrp	x1, #0xfffffff0079de000
0xfffffff00864a768: 21e044f9  ldr	x1, [x1, #0x9c0]
0xfffffff00864a76c: 6356ff90  adrp	x3, #0xfffffff007116000
0xfffffff00864a770: 63841891  add	x3, x3, #0x621
0xfffffff00864a774: 02028052  mov	w2, #0x10
0xfffffff00864a778: 6ea2f397  bl	#0xfffffff008333130
0xfffffff00864a77c: e00313aa  mov	x0, x19
0xfffffff00864a780: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00864a784: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00864a788: ff0f5fd6  retab	
0xfffffff00864a78c: 7f2303d5  pacibsp	
0xfffffff00864a790: ffc300d1  sub	sp, sp, #0x30
0xfffffff00864a794: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00864a798: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00864a79c: fd830091  add	x29, sp, #0x20
0xfffffff00864a7a0: f30300aa  mov	x19, x0
0xfffffff00864a7a4: a8430091  add	x8, x29, #0x10
0xfffffff00864a7a8: e80700f9  str	x8, [sp, #8]
0xfffffff00864a7ac: 5d120094  bl	#0xfffffff00864f120
0xfffffff00864a7b0: e20740f9  ldr	x2, [sp, #8]
0xfffffff00864a7b4: 00008052  mov	w0, #0
0xfffffff00864a7b8: e10313aa  mov	x1, x19
0xfffffff00864a7bc: 64120094  bl	#0xfffffff00864f14c
0xfffffff00864a7c0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00864a7c4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00864a7c8: ffc30091  add	sp, sp, #0x30
0xfffffff00864a7cc: ff0f5fd6  retab	
