; Candidate 16921
; ADRP+ADD at VM 0xfffffff009fea794 (fileoff 0x2fe6794): page=0x3f0000 add_imm=0xe68

0xfffffff009fea714: 00e02b91  add	x0, x0, #0xaf8
0xfffffff009fea718: 91c38797  bl	#0xfffffff0081db55c
0xfffffff009fea71c: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea720: 00202d91  add	x0, x0, #0xb48
0xfffffff009fea724: 8ec38797  bl	#0xfffffff0081db55c
0xfffffff009fea728: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea72c: 00602e91  add	x0, x0, #0xb98
0xfffffff009fea730: 8bc38797  bl	#0xfffffff0081db55c
0xfffffff009fea734: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea738: 00a02f91  add	x0, x0, #0xbe8
0xfffffff009fea73c: 88c38797  bl	#0xfffffff0081db55c
0xfffffff009fea740: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea744: 00e03091  add	x0, x0, #0xc38
0xfffffff009fea748: 85c38797  bl	#0xfffffff0081db55c
0xfffffff009fea74c: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea750: 00203291  add	x0, x0, #0xc88
0xfffffff009fea754: 82c38797  bl	#0xfffffff0081db55c
0xfffffff009fea758: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea75c: 00603391  add	x0, x0, #0xcd8
0xfffffff009fea760: 7fc38797  bl	#0xfffffff0081db55c
0xfffffff009fea764: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea768: 00a03491  add	x0, x0, #0xd28
0xfffffff009fea76c: 7cc38797  bl	#0xfffffff0081db55c
0xfffffff009fea770: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea774: 00e03591  add	x0, x0, #0xd78
0xfffffff009fea778: 79c38797  bl	#0xfffffff0081db55c
0xfffffff009fea77c: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea780: 00203791  add	x0, x0, #0xdc8
0xfffffff009fea784: 76c38797  bl	#0xfffffff0081db55c
0xfffffff009fea788: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea78c: 00603891  add	x0, x0, #0xe18
0xfffffff009fea790: 73c38797  bl	#0xfffffff0081db55c
0xfffffff009fea794: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea798: 00a03991  add	x0, x0, #0xe68
0xfffffff009fea79c: 70c38797  bl	#0xfffffff0081db55c
0xfffffff009fea7a0: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea7a4: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009fea7a8: 6dc38797  bl	#0xfffffff0081db55c
0xfffffff009fea7ac: 801f0090  adrp	x0, #0xfffffff00a3da000
0xfffffff009fea7b0: 00602991  add	x0, x0, #0xa58
0xfffffff009fea7b4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009fea7b8: ff2303d5  autibsp	
0xfffffff009fea7bc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009fea7c0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009fea7c8
0xfffffff009fea7c4: 208e38d4  brk	#0xc471
0xfffffff009fea7c8: 65c38717  b	#0xfffffff0081db55c
0xfffffff009fea7cc: 5f2403d5  bti	c
0xfffffff009fea7d0: 087c7dd3  ubfiz	x8, x0, #3, #0x20
0xfffffff009fea7d4: 090081d2  mov	x9, #0x800
0xfffffff009fea7d8: 8940a1f2  movk	x9, #0xa04, lsl #16
0xfffffff009fea7dc: 2940c0f2  movk	x9, #0x201, lsl #32
0xfffffff009fea7e0: c980e1f2  movk	x9, #0xc06, lsl #48
0xfffffff009fea7e4: 2825c89a  lsr	x8, x9, x8
0xfffffff009fea7e8: 1f200071  cmp	w0, #8
0xfffffff009fea7ec: 08319f1a  csel	w8, w8, wzr, lo
0xfffffff009fea7f0: 001d0012  and	w0, w8, #0xff
0xfffffff009fea7f4: c0035fd6  ret	
0xfffffff009fea7f8: 7f2303d5  pacibsp	
0xfffffff009fea7fc: ff0301d1  sub	sp, sp, #0x40
0xfffffff009fea800: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009fea804: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009fea808: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009fea80c: fdc30091  add	x29, sp, #0x30
0xfffffff009fea810: f30300aa  mov	x19, x0
