; Candidate 8498
; ADRP+ADD at VM 0xfffffff0088ae0a4 (fileoff 0x18aa0a4): page=0x1fe985000 add_imm=0xe3f

0xfffffff0088ae024: 611640b9  ldr	w1, [x19, #0x14]
0xfffffff0088ae028: 625241b9  ldr	w2, [x19, #0x150]
0xfffffff0088ae02c: 68324fb9  ldr	w8, [x19, #0xf30]
0xfffffff0088ae030: 1f050071  cmp	w8, #1
0xfffffff0088ae034: e3079f1a  cset	w3, ne
0xfffffff0088ae038: 73f3ff97  bl	#0xfffffff0088aae04
0xfffffff0088ae03c: f40300aa  mov	x20, x0
0xfffffff0088ae040: e00f0034  cbz	w0, #0xfffffff0088ae23c
0xfffffff0088ae044: c00f8052  mov	w0, #0x7e
0xfffffff0088ae048: 81008052  mov	w1, #4
0xfffffff0088ae04c: e135ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ae050: 60090034  cbz	w0, #0xfffffff0088ae17c
0xfffffff0088ae054: c00f8052  mov	w0, #0x7e
0xfffffff0088ae058: f035ff97  bl	#0xfffffff00887b818
0xfffffff0088ae05c: f60300aa  mov	x22, x0
0xfffffff0088ae060: 53180094  bl	#0xfffffff0088b41ac
0xfffffff0088ae064: f50300aa  mov	x21, x0
0xfffffff0088ae068: 80008052  mov	w0, #4
0xfffffff0088ae06c: f935ff97  bl	#0xfffffff00887b850
0xfffffff0088ae070: 960f0034  cbz	w22, #0xfffffff0088ae260
0xfffffff0088ae074: e80314aa  mov	x8, x20
0xfffffff0088ae078: 690240b9  ldr	w9, [x19]
0xfffffff0088ae07c: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0088ae080: 084bffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088ae084: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088ae088: 09ab8052  mov	w9, #0x558
0xfffffff0088ae08c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088ae090: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae094: 08a93791  add	x8, x8, #0xdea
0xfffffff0088ae098: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088ae09c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088ae0a0: c80f8052  mov	w8, #0x7e
0xfffffff0088ae0a4: 204cffb0  adrp	x0, #0xfffffff007233000
0xfffffff0088ae0a8: 00fc3891  add	x0, x0, #0xe3f
0xfffffff0088ae0ac: f52300a9  stp	x21, x8, [sp]
0xfffffff0088ae0b0: ec24d497  bl	#0xfffffff007db7460
0xfffffff0088ae0b4: 32000014  b	#0xfffffff0088ae17c
0xfffffff0088ae0b8: 3d180094  bl	#0xfffffff0088b41ac
0xfffffff0088ae0bc: f50300aa  mov	x21, x0
0xfffffff0088ae0c0: 80008052  mov	w0, #4
0xfffffff0088ae0c4: e335ff97  bl	#0xfffffff00887b850
0xfffffff0088ae0c8: e80314aa  mov	x8, x20
0xfffffff0088ae0cc: 690240b9  ldr	w9, [x19]
0xfffffff0088ae0d0: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0088ae0d4: 084bffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088ae0d8: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088ae0dc: 49aa8052  mov	w9, #0x552
0xfffffff0088ae0e0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088ae0e4: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae0e8: 08a93791  add	x8, x8, #0xdea
0xfffffff0088ae0ec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088ae0f0: c80f8052  mov	w8, #0x7e
0xfffffff0088ae0f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088ae0f8: f50300f9  str	x21, [sp]
0xfffffff0088ae0fc: c049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ae100: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ae104: c18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ae108: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ae10c: a34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088ae110: 63543a91  add	x3, x3, #0xe95
0xfffffff0088ae114: 02008052  mov	w2, #0
0xfffffff0088ae118: 0614ea97  bl	#0xfffffff008333130
0xfffffff0088ae11c: 18000014  b	#0xfffffff0088ae17c
0xfffffff0088ae120: 23180094  bl	#0xfffffff0088b41ac
