; Candidate 13642
; ADRP+ADD at VM 0xfffffff0093b5de0 (fileoff 0x23b1de0): page=0x1fe150000 add_imm=0xd08

0xfffffff0093b5d60: 08b142f9  ldr	x8, [x8, #0x560]
0xfffffff0093b5d64: e00313aa  mov	x0, x19
0xfffffff0093b5d68: f10309aa  mov	x17, x9
0xfffffff0093b5d6c: 31ade2f2  movk	x17, #0x1569, lsl #48
0xfffffff0093b5d70: 11093fd7  blraa	x8, x17
0xfffffff0093b5d74: f40300aa  mov	x20, x0
0xfffffff0093b5d78: 330900b4  cbz	x19, #0xfffffff0093b5e9c
0xfffffff0093b5d7c: 14090034  cbz	w20, #0xfffffff0093b5e9c
0xfffffff0093b5d80: 751248b9  ldr	w21, [x19, #0x810]
0xfffffff0093b5d84: d5080036  tbz	w21, #0, #0xfffffff0093b5e9c
0xfffffff0093b5d88: 9503f036  tbz	w21, #0x1e, #0xfffffff0093b5df8
0xfffffff0093b5d8c: 4460ac97  bl	#0xfffffff007ecde9c
0xfffffff0093b5d90: 1f040071  cmp	w0, #1
0xfffffff0093b5d94: 21030054  b.ne	#0xfffffff0093b5df8
0xfffffff0093b5d98: 700240f9  ldr	x16, [x19]
0xfffffff0093b5d9c: f10313aa  mov	x17, x19
0xfffffff0093b5da0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b5da4: 301ac1da  autda	x16, x17
0xfffffff0093b5da8: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093b5dac: e90310aa  mov	x9, x16
0xfffffff0093b5db0: e00313aa  mov	x0, x19
0xfffffff0093b5db4: f10309aa  mov	x17, x9
0xfffffff0093b5db8: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093b5dbc: 11093fd7  blraa	x8, x17
0xfffffff0093b5dc0: e6babc97  bl	#0xfffffff0082e4958
0xfffffff0093b5dc4: e80314aa  mov	x8, x20
0xfffffff0093b5dc8: 890aff90  adrp	x9, #0xfffffff007505000
0xfffffff0093b5dcc: 29ed3391  add	x9, x9, #0xcfb
0xfffffff0093b5dd0: 8a0aff90  adrp	x10, #0xfffffff007505000
0xfffffff0093b5dd4: 4a611891  add	x10, x10, #0x618
0xfffffff0093b5dd8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0093b5ddc: e02b00a9  stp	x0, x10, [sp]
0xfffffff0093b5de0: 800aff90  adrp	x0, #0xfffffff007505000
0xfffffff0093b5de4: 00203491  add	x0, x0, #0xd08
0xfffffff0093b5de8: 8e84be97  bl	#0xfffffff008357020
0xfffffff0093b5dec: 2c000014  b	#0xfffffff0093b5e9c
0xfffffff0093b5df0: 14008052  mov	w20, #0
0xfffffff0093b5df4: 2a000014  b	#0xfffffff0093b5e9c
0xfffffff0093b5df8: a8020012  and	w8, w21, #1
0xfffffff0093b5dfc: 08791f53  lsl	w8, w8, #1
0xfffffff0093b5e00: 15011f52  eor	w21, w8, #2
0xfffffff0093b5e04: 700240f9  ldr	x16, [x19]
0xfffffff0093b5e08: f10313aa  mov	x17, x19
0xfffffff0093b5e0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b5e10: 301ac1da  autda	x16, x17
0xfffffff0093b5e14: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093b5e18: e90310aa  mov	x9, x16
0xfffffff0093b5e1c: e00313aa  mov	x0, x19
0xfffffff0093b5e20: f10309aa  mov	x17, x9
0xfffffff0093b5e24: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093b5e28: 11093fd7  blraa	x8, x17
0xfffffff0093b5e2c: cbbabc97  bl	#0xfffffff0082e4958
0xfffffff0093b5e30: a840ffd0  adrp	x8, #0xfffffff007bcb000
0xfffffff0093b5e34: 08cd43f9  ldr	x8, [x8, #0x798]
0xfffffff0093b5e38: 160140f9  ldr	x22, [x8]
0xfffffff0093b5e3c: 700240f9  ldr	x16, [x19]
0xfffffff0093b5e40: f10313aa  mov	x17, x19
0xfffffff0093b5e44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b5e48: 301ac1da  autda	x16, x17
0xfffffff0093b5e4c: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093b5e50: e90310aa  mov	x9, x16
0xfffffff0093b5e54: e00313aa  mov	x0, x19
0xfffffff0093b5e58: f10309aa  mov	x17, x9
0xfffffff0093b5e5c: 91fffff2  movk	x17, #0xfffc, lsl #48
