; Candidate 2888
; ADRP+ADD at VM 0xfffffff0086f3640 (fileoff 0x16ef640): page=0x1fea3e000 add_imm=0xd90

0xfffffff0086f35c0: d05d0094  bl	#0xfffffff00870ad00
0xfffffff0086f35c4: 75ffff17  b	#0xfffffff0086f3398
0xfffffff0086f35c8: e00313aa  mov	x0, x19
0xfffffff0086f35cc: 9e1f0294  bl	#0xfffffff00877b444
0xfffffff0086f35d0: 72ffff17  b	#0xfffffff0086f3398
0xfffffff0086f35d4: 08410651  sub	w8, w8, #0x190
0xfffffff0086f35d8: 1f110071  cmp	w8, #4
0xfffffff0086f35dc: c8000054  b.hi	#0xfffffff0086f35f4
0xfffffff0086f35e0: 1f0d0071  cmp	w8, #3
0xfffffff0086f35e4: 80000054  b.eq	#0xfffffff0086f35f4
0xfffffff0086f35e8: e00313aa  mov	x0, x19
0xfffffff0086f35ec: b1990194  bl	#0xfffffff008759cb0
0xfffffff0086f35f0: 6affff17  b	#0xfffffff0086f3398
0xfffffff0086f35f4: bf620671  cmp	w21, #0x198
0xfffffff0086f35f8: 81000054  b.ne	#0xfffffff0086f3608
0xfffffff0086f35fc: e00313aa  mov	x0, x19
0xfffffff0086f3600: 76bb0294  bl	#0xfffffff0087a23d8
0xfffffff0086f3604: 65ffff17  b	#0xfffffff0086f3398
0xfffffff0086f3608: a87a1f12  and	w8, w21, #0xfffffffe
0xfffffff0086f360c: 1f810671  cmp	w8, #0x1a0
0xfffffff0086f3610: 81000054  b.ne	#0xfffffff0086f3620
0xfffffff0086f3614: e00313aa  mov	x0, x19
0xfffffff0086f3618: ece50194  bl	#0xfffffff00876cdc8
0xfffffff0086f361c: 5fffff17  b	#0xfffffff0086f3398
0xfffffff0086f3620: bfa20671  cmp	w21, #0x1a8
0xfffffff0086f3624: 81000054  b.ne	#0xfffffff0086f3634
0xfffffff0086f3628: e00313aa  mov	x0, x19
0xfffffff0086f362c: 4be7ff97  bl	#0xfffffff0086ed358
0xfffffff0086f3630: 5affff17  b	#0xfffffff0086f3398
0xfffffff0086f3634: e852ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086f3638: 08093a91  add	x8, x8, #0xe82
0xfffffff0086f363c: e85700a9  stp	x8, x21, [sp]
0xfffffff0086f3640: e051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f3644: 00403691  add	x0, x0, #0xd90
0xfffffff0086f3648: 4198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f364c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f3650: 0352ffb0  adrp	x3, #0xfffffff007134000
0xfffffff0086f3654: 632c2891  add	x3, x3, #0xa0b
0xfffffff0086f3658: 02008052  mov	w2, #0
0xfffffff0086f365c: b5fef097  bl	#0xfffffff008333130
0xfffffff0086f3660: 7f1a05f9  str	xzr, [x19, #0xa30]
0xfffffff0086f3664: 14278052  mov	w20, #0x138
0xfffffff0086f3668: a7ffff17  b	#0xfffffff0086f3504
0xfffffff0086f366c: 7f2303d5  pacibsp	
0xfffffff0086f3670: ffc300d1  sub	sp, sp, #0x30
0xfffffff0086f3674: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086f3678: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086f367c: fd830091  add	x29, sp, #0x20
0xfffffff0086f3680: f30300aa  mov	x19, x0
0xfffffff0086f3684: 6098fff0  adrp	x0, #0xfffffff007a02000
0xfffffff0086f3688: 00a03c91  add	x0, x0, #0xf28
0xfffffff0086f368c: 9a8bf197  bl	#0xfffffff0083564f4
0xfffffff0086f3690: 605a1cf9  str	x0, [x19, #0x38b0]
0xfffffff0086f3694: 000100b4  cbz	x0, #0xfffffff0086f36b4
0xfffffff0086f3698: 6098fff0  adrp	x0, #0xfffffff007a02000
0xfffffff0086f369c: 00a03d91  add	x0, x0, #0xf68
0xfffffff0086f36a0: 958bf197  bl	#0xfffffff0083564f4
0xfffffff0086f36a4: 60da1ef9  str	x0, [x19, #0x3db0]
0xfffffff0086f36a8: e00100b4  cbz	x0, #0xfffffff0086f36e4
0xfffffff0086f36ac: 00008052  mov	w0, #0
0xfffffff0086f36b0: 19000014  b	#0xfffffff0086f3714
0xfffffff0086f36b4: e852ffd0  adrp	x8, #0xfffffff007151000
0xfffffff0086f36b8: 08fd0d91  add	x8, x8, #0x37f
0xfffffff0086f36bc: e80300f9  str	x8, [sp]
