; Candidate 12829
; ADRP+ADD at VM 0xfffffff00916537c (fileoff 0x216137c): page=0x1fe326000 add_imm=0xdef

0xfffffff0091652fc: a26300d1  sub	x2, x29, #0x18
0xfffffff009165300: 00718252  mov	w0, #0x1388
0xfffffff009165304: 01488852  mov	w1, #0x4240
0xfffffff009165308: e101a072  movk	w1, #0xf, lsl #16
0xfffffff00916530c: e0a4b097  bl	#0xfffffff007d8e68c
0xfffffff009165310: a1835ef8  ldur	x1, [x29, #-0x18]
0xfffffff009165314: 617600f9  str	x1, [x19, #0xe8]
0xfffffff009165318: 607e40f9  ldr	x0, [x19, #0xf8]
0xfffffff00916531c: 100040f9  ldr	x16, [x0]
0xfffffff009165320: f10300aa  mov	x17, x0
0xfffffff009165324: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009165328: 301ac1da  autda	x16, x17
0xfffffff00916532c: f10310aa  mov	x17, x16
0xfffffff009165330: f147c1da  xpacd	x17
0xfffffff009165334: 1f0211eb  cmp	x16, x17
0xfffffff009165338: 40000054  b.eq	#0xfffffff009165340
0xfffffff00916533c: 408e38d4  brk	#0xc472
0xfffffff009165340: 08c20491  add	x8, x16, #0x130
0xfffffff009165344: 099a40f9  ldr	x9, [x16, #0x130]
0xfffffff009165348: f10308aa  mov	x17, x8
0xfffffff00916534c: d125fcf2  movk	x17, #0xe12e, lsl #48
0xfffffff009165350: 31093fd7  blraa	x9, x17
0xfffffff009165354: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff009165358: 88010034  cbz	w8, #0xfffffff009165388
0xfffffff00916535c: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff009165360: 0919ffd0  adrp	x9, #0xfffffff007487000
0xfffffff009165364: 29751b91  add	x9, x9, #0x6dd
0xfffffff009165368: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00916536c: 2819ffd0  adrp	x8, #0xfffffff00748b000
0xfffffff009165370: 08b92691  add	x8, x8, #0x9ae
0xfffffff009165374: 094c8052  mov	w9, #0x260
0xfffffff009165378: e82700a9  stp	x8, x9, [sp]
0xfffffff00916537c: 2019ffd0  adrp	x0, #0xfffffff00748b000
0xfffffff009165380: 00bc3791  add	x0, x0, #0xdef
0xfffffff009165384: 27c7c797  bl	#0xfffffff008357020
0xfffffff009165388: 700240f9  ldr	x16, [x19]
0xfffffff00916538c: f10313aa  mov	x17, x19
0xfffffff009165390: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009165394: 301ac1da  autda	x16, x17
0xfffffff009165398: 115480d2  mov	x17, #0x2a0
0xfffffff00916539c: 1002118b  add	x16, x16, x17
0xfffffff0091653a0: 080240f9  ldr	x8, [x16]
0xfffffff0091653a4: e90310aa  mov	x9, x16
0xfffffff0091653a8: e00313aa  mov	x0, x19
0xfffffff0091653ac: 01008052  mov	w1, #0
0xfffffff0091653b0: f10309aa  mov	x17, x9
0xfffffff0091653b4: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff0091653b8: 11093fd7  blraa	x8, x17
0xfffffff0091653bc: 20008052  mov	w0, #1
0xfffffff0091653c0: 02000014  b	#0xfffffff0091653c8
0xfffffff0091653c4: 00008052  mov	w0, #0
0xfffffff0091653c8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0091653cc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0091653d0: ff430191  add	sp, sp, #0x50
0xfffffff0091653d4: ff0f5fd6  retab	
0xfffffff0091653d8: 7f2303d5  pacibsp	
0xfffffff0091653dc: ffc301d1  sub	sp, sp, #0x70
0xfffffff0091653e0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0091653e4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0091653e8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0091653ec: fd830191  add	x29, sp, #0x60
0xfffffff0091653f0: f30300aa  mov	x19, x0
0xfffffff0091653f4: b7bbb597  bl	#0xfffffff007ed42d0
0xfffffff0091653f8: 686a4339  ldrb	w8, [x19, #0xda]
