; Candidate 26
; ADRP+ADD at VM 0xfffffff007d94e48 (fileoff 0xd90e48): page=0x1ff2b0000 add_imm=0xe97

0xfffffff007d94dc8: 6be145f9  ldr	x11, [x11, #0xbc0]
0xfffffff007d94dcc: 2c2401d0  adrp	x12, #0xfffffff00a21a000
0xfffffff007d94dd0: 8cf14ab9  ldr	w12, [x12, #0xaf0]
0xfffffff007d94dd4: 6c010c4b  sub	w12, w11, w12
0xfffffff007d94dd8: 7f0100f1  cmp	x11, #0
0xfffffff007d94ddc: eb038c1a  csel	w11, wzr, w12, eq
0xfffffff007d94de0: 4b1500b9  str	w11, [x10, #0x14]
0xfffffff007d94de4: 6bc98952  mov	w11, #0x4e4b
0xfffffff007d94de8: abcaa872  movk	w11, #0x4655, lsl #16
0xfffffff007d94dec: 4b0100b9  str	w11, [x10]
0xfffffff007d94df0: 297d45f9  ldr	x9, [x9, #0xaf8]
0xfffffff007d94df4: aa008052  mov	w10, #5
0xfffffff007d94df8: 2a0900b9  str	w10, [x9, #8]
0xfffffff007d94dfc: 29008052  mov	w9, #1
0xfffffff007d94e00: 09e11939  strb	w9, [x8, #0x678]
0xfffffff007d94e04: 889e40f9  ldr	x8, [x20, #0x138]
0xfffffff007d94e08: 89210190  adrp	x9, #0xfffffff00a1c4000
0xfffffff007d94e0c: 29210091  add	x9, x9, #8
0xfffffff007d94e10: 0801098b  add	x8, x8, x9
0xfffffff007d94e14: 083940b9  ldr	w8, [x8, #0x38]
0xfffffff007d94e18: 1f090071  cmp	w8, #2
0xfffffff007d94e1c: 63000054  b.lo	#0xfffffff007d94e28
0xfffffff007d94e20: 2f691b94  bl	#0xfffffff00846f2dc
0xfffffff007d94e24: a3f40494  bl	#0xfffffff007ed20b0
0xfffffff007d94e28: 689e43b9  ldr	w8, [x19, #0x39c]
0xfffffff007d94e2c: 1f0d0071  cmp	w8, #3
0xfffffff007d94e30: c1030054  b.ne	#0xfffffff007d94ea8
0xfffffff007d94e34: 88a240f9  ldr	x8, [x20, #0x140]
0xfffffff007d94e38: 08018079  ldrsh	x8, [x8]
0xfffffff007d94e3c: 892101f0  adrp	x9, #0xfffffff00a1c7000
0xfffffff007d94e40: 29e141f9  ldr	x9, [x9, #0x3c0]
0xfffffff007d94e44: e82700a9  stp	x8, x9, [sp]
0xfffffff007d94e48: 8095ff90  adrp	x0, #0xfffffff007044000
0xfffffff007d94e4c: 005c3a91  add	x0, x0, #0xe97
0xfffffff007d94e50: 618a0094  bl	#0xfffffff007db77d4
0xfffffff007d94e54: 082401d0  adrp	x8, #0xfffffff00a216000
0xfffffff007d94e58: 009545f9  ldr	x0, [x8, #0xb28]
0xfffffff007d94e5c: 000200b4  cbz	x0, #0xfffffff007d94e9c
0xfffffff007d94e60: 882101f0  adrp	x8, #0xfffffff00a1c7000
0xfffffff007d94e64: 08d141f9  ldr	x8, [x8, #0x3a0]
0xfffffff007d94e68: 010140f9  ldr	x1, [x8]
0xfffffff007d94e6c: 100100f0  adrp	x16, #0xfffffff007db7000
0xfffffff007d94e70: 10820a91  add	x16, x16, #0x2a0
0xfffffff007d94e74: d1ca95d2  mov	x17, #0xae56
0xfffffff007d94e78: 3002c1da  pacia	x16, x17
0xfffffff007d94e7c: e20310aa  mov	x2, x16
0xfffffff007d94e80: 100100f0  adrp	x16, #0xfffffff007db7000
0xfffffff007d94e84: 10d21991  add	x16, x16, #0x674
0xfffffff007d94e88: f023c1da  paciza	x16
0xfffffff007d94e8c: e30310aa  mov	x3, x16
0xfffffff007d94e90: 04008052  mov	w4, #0
0xfffffff007d94e94: 05008052  mov	w5, #0
0xfffffff007d94e98: d7840094  bl	#0xfffffff007db61f4
0xfffffff007d94e9c: 8098ffb0  adrp	x0, #0xfffffff0070a5000
0xfffffff007d94ea0: 00b40491  add	x0, x0, #0x12d
0xfffffff007d94ea4: 4c8a0094  bl	#0xfffffff007db77d4
0xfffffff007d94ea8: d31a43f9  ldr	x19, [x22, #0x630]
0xfffffff007d94eac: 330200b4  cbz	x19, #0xfffffff007d94ef0
0xfffffff007d94eb0: 34008052  mov	w20, #1
0xfffffff007d94eb4: 05000014  b	#0xfffffff007d94ec8
0xfffffff007d94eb8: 5f2003d5  wfe	
0xfffffff007d94ebc: ffffff17  b	#0xfffffff007d94eb8
0xfffffff007d94ec0: 730240f9  ldr	x19, [x19]
0xfffffff007d94ec4: 730100b4  cbz	x19, #0xfffffff007d94ef0
