; Candidate 1169
; ADRP+ADD at VM 0xfffffff008278d6c (fileoff 0x1274d6c): page=0x1fee17000 add_imm=0xd86

0xfffffff008278cec: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008278cf0: 11000090  adrp	x17, #0xfffffff008278000
0xfffffff008278cf4: 31723691  add	x17, x17, #0xd9c
0xfffffff008278cf8: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008278cfc: 11000010  adr	x17, #0xfffffff008278cfc
0xfffffff008278d00: 3002108b  add	x16, x17, x16
0xfffffff008278d04: 00021fd6  br	x16
0xfffffff008278d08: 9f2403d5  bti	j
0xfffffff008278d0c: 08c10b91  add	x8, x8, #0x2f0
0xfffffff008278d10: 12000014  b	#0xfffffff008278d58
0xfffffff008278d14: c0028052  mov	w0, #0x16
0xfffffff008278d18: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008278d1c: ff0f5fd6  retab	
0xfffffff008278d20: 00008052  mov	w0, #0
0xfffffff008278d24: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008278d28: ff0f5fd6  retab	
0xfffffff008278d2c: 9f2403d5  bti	j
0xfffffff008278d30: 08b10b91  add	x8, x8, #0x2ec
0xfffffff008278d34: 09000014  b	#0xfffffff008278d58
0xfffffff008278d38: 9f2403d5  bti	j
0xfffffff008278d3c: 08a10b91  add	x8, x8, #0x2e8
0xfffffff008278d40: 06000014  b	#0xfffffff008278d58
0xfffffff008278d44: 9f2403d5  bti	j
0xfffffff008278d48: 08d10b91  add	x8, x8, #0x2f4
0xfffffff008278d4c: 03000014  b	#0xfffffff008278d58
0xfffffff008278d50: 9f2403d5  bti	j
0xfffffff008278d54: 08e10b91  add	x8, x8, #0x2f8
0xfffffff008278d58: 00008052  mov	w0, #0
0xfffffff008278d5c: 080140b9  ldr	w8, [x8]
0xfffffff008278d60: 480000b9  str	w8, [x2]
0xfffffff008278d64: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008278d68: ff0f5fd6  retab	
0xfffffff008278d6c: a070fff0  adrp	x0, #0xfffffff00708f000
0xfffffff008278d70: 00183691  add	x0, x0, #0xd86
0xfffffff008278d74: a170fff0  adrp	x1, #0xfffffff00708f000
0xfffffff008278d78: 21543291  add	x1, x1, #0xc95
0xfffffff008278d7c: 421a8052  mov	w2, #0xd2
0xfffffff008278d80: a59a0894  bl	#0xfffffff00849f814
0xfffffff008278d84: 406efff0  adrp	x0, #0xfffffff007043000
0xfffffff008278d88: 00401191  add	x0, x0, #0x450
0xfffffff008278d8c: c170ffd0  adrp	x1, #0xfffffff007092000
0xfffffff008278d90: 21f42691  add	x1, x1, #0x9bd
0xfffffff008278d94: 02348052  mov	w2, #0x1a0
0xfffffff008278d98: 9f9a0894  bl	#0xfffffff00849f814
0xfffffff008278d9c: 30000000  udf	#0x30
0xfffffff008278da0: 3c000000  udf	#0x3c
0xfffffff008278da4: 0c000000  udf	#0xc
0xfffffff008278da8: 0c000000  udf	#0xc
0xfffffff008278dac: 48000000  udf	#0x48
0xfffffff008278db0: 54000000  udf	#0x54
0xfffffff008278db4: 5f2403d5  bti	c
0xfffffff008278db8: 087c40f9  ldr	x8, [x0, #0xf8]
0xfffffff008278dbc: c80000b4  cbz	x8, #0xfffffff008278dd4
0xfffffff008278dc0: 094440f9  ldr	x9, [x0, #0x88]
0xfffffff008278dc4: 290009cb  sub	x9, x1, x9
0xfffffff008278dc8: 29fd43d3  lsr	x9, x9, #3
0xfffffff008278dcc: 005969f8  ldr	x0, [x8, w9, uxtw #3]
0xfffffff008278dd0: c0035fd6  ret	
0xfffffff008278dd4: 000080d2  mov	x0, #0
0xfffffff008278dd8: c0035fd6  ret	
0xfffffff008278ddc: 5f2403d5  bti	c
0xfffffff008278de0: 28084029  ldp	w8, w2, [x1]
0xfffffff008278de4: e10308aa  mov	x1, x8
0xfffffff008278de8: 04030014  b	#0xfffffff0082799f8
