; Candidate 15974
; ADRP+ADD at VM 0xfffffff009df34c4 (fileoff 0x2def4c4): page=0x5cb000 add_imm=0xec0

0xfffffff009df3444: 08018052  mov	w8, #8
0xfffffff009df3448: 081c01b9  str	w8, [x0, #0x11c]
0xfffffff009df344c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df3450: ff0f5fd6  retab	
0xfffffff009df3454: 5f2403d5  bti	c
0xfffffff009df3458: e9b6ff17  b	#0xfffffff009de0ffc
0xfffffff009df345c: 5f2403d5  bti	c
0xfffffff009df3460: e7b6ff17  b	#0xfffffff009de0ffc
0xfffffff009df3464: 7f2303d5  pacibsp	
0xfffffff009df3468: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009df346c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009df3470: fd430091  add	x29, sp, #0x10
0xfffffff009df3474: f30300aa  mov	x19, x0
0xfffffff009df3478: e1b6ff97  bl	#0xfffffff009de0ffc
0xfffffff009df347c: a0f9feb0  adrp	x0, #0xfffffff007d28000
0xfffffff009df3480: 00e03291  add	x0, x0, #0xcb8
0xfffffff009df3484: e10313aa  mov	x1, x19
0xfffffff009df3488: 02248052  mov	w2, #0x120
0xfffffff009df348c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009df3490: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009df3494: ff2303d5  autibsp	
0xfffffff009df3498: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009df349c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009df34a4
0xfffffff009df34a0: 208e38d4  brk	#0xc471
0xfffffff009df34a4: 7ed09317  b	#0xfffffff0082e769c
0xfffffff009df34a8: 5f2403d5  bti	c
0xfffffff009df34ac: e20301aa  mov	x2, x1
0xfffffff009df34b0: e10300aa  mov	x1, x0
0xfffffff009df34b4: a0f9feb0  adrp	x0, #0xfffffff007d28000
0xfffffff009df34b8: 00e03291  add	x0, x0, #0xcb8
0xfffffff009df34bc: 78d09317  b	#0xfffffff0082e769c
0xfffffff009df34c0: 5f2403d5  bti	c
0xfffffff009df34c4: 402e00f0  adrp	x0, #0xfffffff00a3be000
0xfffffff009df34c8: 00003b91  add	x0, x0, #0xec0
0xfffffff009df34cc: c0035fd6  ret	
0xfffffff009df34d0: 7f2303d5  pacibsp	
0xfffffff009df34d4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df34d8: fd030091  mov	x29, sp
0xfffffff009df34dc: 61c5fef0  adrp	x1, #0xfffffff0076a2000
0xfffffff009df34e0: 21381e91  add	x1, x1, #0x78e
0xfffffff009df34e4: 422e00f0  adrp	x2, #0xfffffff00a3be000
0xfffffff009df34e8: 42e03091  add	x2, x2, #0xc38
0xfffffff009df34ec: 03248052  mov	w3, #0x120
0xfffffff009df34f0: 92c19397  bl	#0xfffffff0082e3b38
0xfffffff009df34f4: 90f9fef0  adrp	x16, #0xfffffff007d26000
0xfffffff009df34f8: 10422d91  add	x16, x16, #0xb50
0xfffffff009df34fc: 10420091  add	x16, x16, #0x10
0xfffffff009df3500: f10300aa  mov	x17, x0
0xfffffff009df3504: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df3508: 300ac1da  pacda	x16, x17
0xfffffff009df350c: 100000f9  str	x16, [x0]
0xfffffff009df3510: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df3514: ff0f5fd6  retab	
0xfffffff009df3518: 7f2303d5  pacibsp	
0xfffffff009df351c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009df3520: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009df3524: fd430091  add	x29, sp, #0x10
0xfffffff009df3528: a0f9feb0  adrp	x0, #0xfffffff007d28000
0xfffffff009df352c: 00e03291  add	x0, x0, #0xcb8
0xfffffff009df3530: 01248052  mov	w1, #0x120
0xfffffff009df3534: 41d09397  bl	#0xfffffff0082e7638
0xfffffff009df3538: f30300aa  mov	x19, x0
0xfffffff009df353c: 542e00f0  adrp	x20, #0xfffffff00a3be000
0xfffffff009df3540: 94023b91  add	x20, x20, #0xec0
