; Candidate 1471
; ADRP+ADD at VM 0xfffffff00842f72c (fileoff 0x142b72c): page=0x1ff551000 add_imm=0xd30

0xfffffff00842f6ac: fd430091  add	x29, sp, #0x10
0xfffffff00842f6b0: 281440f9  ldr	x8, [x1, #0x28]
0xfffffff00842f6b4: 141540f9  ldr	x20, [x8, #0x28]
0xfffffff00842f6b8: d40400b4  cbz	x20, #0xfffffff00842f750
0xfffffff00842f6bc: f30301aa  mov	x19, x1
0xfffffff00842f6c0: 800240f9  ldr	x0, [x20]
0xfffffff00842f6c4: 400100b4  cbz	x0, #0xfffffff00842f6ec
0xfffffff00842f6c8: 100040f9  ldr	x16, [x0]
0xfffffff00842f6cc: f10300aa  mov	x17, x0
0xfffffff00842f6d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00842f6d4: 301ac1da  autda	x16, x17
0xfffffff00842f6d8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00842f6dc: e90310aa  mov	x9, x16
0xfffffff00842f6e0: f10309aa  mov	x17, x9
0xfffffff00842f6e4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00842f6e8: 11093fd7  blraa	x8, x17
0xfffffff00842f6ec: 9f0200f9  str	xzr, [x20]
0xfffffff00842f6f0: 942640f9  ldr	x20, [x20, #0x48]
0xfffffff00842f6f4: 48ef00b0  adrp	x8, #0xfffffff00a218000
0xfffffff00842f6f8: 012944f9  ldr	x1, [x8, #0x850]
0xfffffff00842f6fc: e00314aa  mov	x0, x20
0xfffffff00842f700: b6f0e597  bl	#0xfffffff007dab9d8
0xfffffff00842f704: 00aaffb0  adrp	x0, #0xfffffff007970000
0xfffffff00842f708: 00c01391  add	x0, x0, #0x4f0
0xfffffff00842f70c: e10314aa  mov	x1, x20
0xfffffff00842f710: 3f69e797  bl	#0xfffffff007e09c0c
0xfffffff00842f714: 681640f9  ldr	x8, [x19, #0x28]
0xfffffff00842f718: 011540f9  ldr	x1, [x8, #0x28]
0xfffffff00842f71c: 1f1500f9  str	xzr, [x8, #0x28]
0xfffffff00842f720: 88aaffb0  adrp	x8, #0xfffffff007980000
0xfffffff00842f724: 089946f9  ldr	x8, [x8, #0xd30]
0xfffffff00842f728: a80100b4  cbz	x8, #0xfffffff00842f75c
0xfffffff00842f72c: 80aaffb0  adrp	x0, #0xfffffff007980000
0xfffffff00842f730: 00c03491  add	x0, x0, #0xd30
0xfffffff00842f734: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00842f738: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00842f73c: ff2303d5  autibsp	
0xfffffff00842f740: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00842f744: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00842f74c
0xfffffff00842f748: 208e38d4  brk	#0xc471
0xfffffff00842f74c: 3069e717  b	#0xfffffff007e09c0c
0xfffffff00842f750: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00842f754: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00842f758: ff0f5fd6  retab	
0xfffffff00842f75c: 88aaffb0  adrp	x8, #0xfffffff007980000
0xfffffff00842f760: 085d4db9  ldr	w8, [x8, #0xd5c]
0xfffffff00842f764: 025d4092  and	x2, x8, #0xffffff
0xfffffff00842f768: e0a7ffd0  adrp	x0, #0xfffffff00792d000
0xfffffff00842f76c: 00c01c91  add	x0, x0, #0x730
0xfffffff00842f770: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00842f774: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00842f778: ff2303d5  autibsp	
0xfffffff00842f77c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00842f780: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00842f788
0xfffffff00842f784: 208e38d4  brk	#0xc471
0xfffffff00842f788: b9dce517  b	#0xfffffff007da6a6c
0xfffffff00842f78c: 7f2303d5  pacibsp	
0xfffffff00842f790: ff0303d1  sub	sp, sp, #0xc0
0xfffffff00842f794: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff00842f798: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff00842f79c: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff00842f7a0: fdc30291  add	x29, sp, #0xb0
0xfffffff00842f7a4: f30301aa  mov	x19, x1
0xfffffff00842f7a8: f40300aa  mov	x20, x0
