; Candidate 16103
; ADRP+ADD at VM 0xfffffff009e1cab4 (fileoff 0x2e18ab4): page=0x1fd887000 add_imm=0xe00

0xfffffff009e1ca34: 29993291  add	x9, x9, #0xca6
0xfffffff009e1ca38: eacffef0  adrp	x10, #0xfffffff00781b000
0xfffffff009e1ca3c: 4a813291  add	x10, x10, #0xca0
0xfffffff009e1ca40: 1f0160f2  tst	x8, #0x100000000
0xfffffff009e1ca44: 5601899a  csel	x22, x10, x9, eq
0xfffffff009e1ca48: 750640f9  ldr	x21, [x19, #8]
0xfffffff009e1ca4c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e1ca50: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff009e1ca54: e0030191  add	x0, sp, #0x40
0xfffffff009e1ca58: 01008052  mov	w1, #0
0xfffffff009e1ca5c: 02048052  mov	w2, #0x20
0xfffffff009e1ca60: 58c07c97  bl	#0xfffffff007d4cbc0
0xfffffff009e1ca64: ff030139  strb	wzr, [sp, #0x40]
0xfffffff009e1ca68: a80240b9  ldr	w8, [x21]
0xfffffff009e1ca6c: 10050051  sub	w16, w8, #1
0xfffffff009e1ca70: 1f6e0071  cmp	w16, #0x1b
0xfffffff009e1ca74: c8240054  b.hi	#0xfffffff009e1cf0c
0xfffffff009e1ca78: 1f6e00f1  cmp	x16, #0x1b
0xfffffff009e1ca7c: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff009e1ca80: 110000b0  adrp	x17, #0xfffffff009e1d000
0xfffffff009e1ca84: 31121491  add	x17, x17, #0x504
0xfffffff009e1ca88: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff009e1ca8c: 11000010  adr	x17, #0xfffffff009e1ca8c
0xfffffff009e1ca90: 3002108b  add	x16, x17, x16
0xfffffff009e1ca94: 00021fd6  br	x16
0xfffffff009e1ca98: 9f2403d5  bti	j
0xfffffff009e1ca9c: a88240f9  ldr	x8, [x21, #0x100]
0xfffffff009e1caa0: 481b00b4  cbz	x8, #0xfffffff009e1ce08
0xfffffff009e1caa4: 29008052  mov	w9, #1
0xfffffff009e1caa8: e9030139  strb	w9, [sp, #0x40]
0xfffffff009e1caac: 89898052  mov	w9, #0x44c
0xfffffff009e1cab0: 15010014  b	#0xfffffff009e1cf04
0xfffffff009e1cab4: 20c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e1cab8: 00003891  add	x0, x0, #0xe00
0xfffffff009e1cabc: 61f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e1cac0: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e1cac4: 23d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e1cac8: 63d80e91  add	x3, x3, #0x3b6
0xfffffff009e1cacc: 02008052  mov	w2, #0
0xfffffff009e1cad0: 98599497  bl	#0xfffffff008333130
0xfffffff009e1cad4: 00008052  mov	w0, #0
0xfffffff009e1cad8: 5d020014  b	#0xfffffff009e1d44c
0xfffffff009e1cadc: f60315aa  mov	x22, x21
0xfffffff009e1cae0: a802178b  add	x8, x21, x23
0xfffffff009e1cae4: df0208eb  cmp	x22, x8
0xfffffff009e1cae8: a2000054  b.hs	#0xfffffff009e1cafc
0xfffffff009e1caec: e90316aa  mov	x9, x22
0xfffffff009e1caf0: 2a154038  ldrb	w10, [x9], #1
0xfffffff009e1caf4: 5fbd0071  cmp	w10, #0x2f
0xfffffff009e1caf8: d612899a  csel	x22, x22, x9, ne
0xfffffff009e1cafc: df0208eb  cmp	x22, x8
0xfffffff009e1cb00: 82f8ff54  b.hs	#0xfffffff009e1ca10
0xfffffff009e1cb04: a80216cb  sub	x8, x21, x22
0xfffffff009e1cb08: 1801178b  add	x24, x8, x23
0xfffffff009e1cb0c: e00314aa  mov	x0, x20
0xfffffff009e1cb10: e10316aa  mov	x1, x22
0xfffffff009e1cb14: 22048052  mov	w2, #0x21
0xfffffff009e1cb18: 03008092  mov	x3, #-1
0xfffffff009e1cb1c: c60c8297  bl	#0xfffffff007e9fe34
0xfffffff009e1cb20: 1f8300f1  cmp	x24, #0x20
0xfffffff009e1cb24: 68f7ff54  b.hi	#0xfffffff009e1ca10
0xfffffff009e1cb28: a802138b  add	x8, x21, x19
0xfffffff009e1cb2c: 080116cb  sub	x8, x8, x22
0xfffffff009e1cb30: 0801178b  add	x8, x8, x23
