; Candidate 400
; ADRP+ADD at VM 0xfffffff007efde80 (fileoff 0xef9e80): page=0x1ff187000 add_imm=0xe0a

0xfffffff007efde00: 000080d2  mov	x0, #0
0xfffffff007efde04: 1e330194  bl	#0xfffffff007f4aa7c
0xfffffff007efde08: 14008052  mov	w20, #0
0xfffffff007efde0c: 35008052  mov	w21, #1
0xfffffff007efde10: ea0341b9  ldr	w10, [sp, #0x100]
0xfffffff007efde14: 44ffff17  b	#0xfffffff007efdb24
0xfffffff007efde18: e00313aa  mov	x0, x19
0xfffffff007efde1c: 01008052  mov	w1, #0
0xfffffff007efde20: 25590c94  bl	#0xfffffff0082142b4
0xfffffff007efde24: 14008052  mov	w20, #0
0xfffffff007efde28: 15008052  mov	w21, #0
0xfffffff007efde2c: ea0341b9  ldr	w10, [sp, #0x100]
0xfffffff007efde30: 3dffff17  b	#0xfffffff007efdb24
0xfffffff007efde34: a0a303d1  sub	x0, x29, #0xe8
0xfffffff007efde38: e16340f9  ldr	x1, [sp, #0xc0]
0xfffffff007efde3c: 02008052  mov	w2, #0
0xfffffff007efde40: 2eb7fa97  bl	#0xfffffff007dabaf8
0xfffffff007efde44: 65ffff17  b	#0xfffffff007efdbd8
0xfffffff007efde48: a0a303d1  sub	x0, x29, #0xe8
0xfffffff007efde4c: 46bafa97  bl	#0xfffffff007dac764
0xfffffff007efde50: 7bffff17  b	#0xfffffff007efdc3c
0xfffffff007efde54: 00160190  adrp	x0, #0xfffffff00a1bd000
0xfffffff007efde58: 00c01691  add	x0, x0, #0x5b0
0xfffffff007efde5c: ec881694  bl	#0xfffffff0084a020c
0xfffffff007efde60: 01000014  b	#0xfffffff007efde64
0xfffffff007efde64: c8148052  mov	w8, #0xa6
0xfffffff007efde68: 298cfff0  adrp	x9, #0xfffffff007084000
0xfffffff007efde6c: 29653491  add	x9, x9, #0xd19
0xfffffff007efde70: 2a8cfff0  adrp	x10, #0xfffffff007084000
0xfffffff007efde74: 4aa93891  add	x10, x10, #0xe2a
0xfffffff007efde78: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007efde7c: ea0300f9  str	x10, [sp]
0xfffffff007efde80: 208cfff0  adrp	x0, #0xfffffff007084000
0xfffffff007efde84: 00283891  add	x0, x0, #0xe0a
0xfffffff007efde88: a1591694  bl	#0xfffffff00849450c
0xfffffff007efde8c: 7f2303d5  pacibsp	
0xfffffff007efde90: ff0307d1  sub	sp, sp, #0x1c0
0xfffffff007efde94: fc6f16a9  stp	x28, x27, [sp, #0x160]
0xfffffff007efde98: fa6717a9  stp	x26, x25, [sp, #0x170]
0xfffffff007efde9c: f85f18a9  stp	x24, x23, [sp, #0x180]
0xfffffff007efdea0: f65719a9  stp	x22, x21, [sp, #0x190]
0xfffffff007efdea4: f44f1aa9  stp	x20, x19, [sp, #0x1a0]
0xfffffff007efdea8: fd7b1ba9  stp	x29, x30, [sp, #0x1b0]
0xfffffff007efdeac: fdc30691  add	x29, sp, #0x1b0
0xfffffff007efdeb0: f30307aa  mov	x19, x7
0xfffffff007efdeb4: e51b08a9  stp	x5, x6, [sp, #0x80]
0xfffffff007efdeb8: f40304aa  mov	x20, x4
0xfffffff007efdebc: e31b00f9  str	x3, [sp, #0x30]
0xfffffff007efdec0: e22300f9  str	x2, [sp, #0x40]
0xfffffff007efdec4: f90301aa  mov	x25, x1
0xfffffff007efdec8: 481601d0  adrp	x8, #0xfffffff00a1c7000
0xfffffff007efdecc: 08010091  add	x8, x8, #0
0xfffffff007efded0: 080140f9  ldr	x8, [x8]
0xfffffff007efded4: a8031af8  stur	x8, [x29, #-0x60]
0xfffffff007efded8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007efdedc: e08309ad  stp	q0, q0, [sp, #0x130]
0xfffffff007efdee0: e08308ad  stp	q0, q0, [sp, #0x110]
0xfffffff007efdee4: e08307ad  stp	q0, q0, [sp, #0xf0]
0xfffffff007efdee8: e08306ad  stp	q0, q0, [sp, #0xd0]
0xfffffff007efdeec: ff6300f9  str	xzr, [sp, #0xc0]
0xfffffff007efdef0: ff7f0aa9  stp	xzr, xzr, [sp, #0xa0]
0xfffffff007efdef4: e04f00f9  str	x0, [sp, #0x98]
0xfffffff007efdef8: e80300aa  mov	x8, x0
0xfffffff007efdefc: 108d47f8  ldr	x16, [x8, #0x78]!
