; Candidate 11316
; ADRP+ADD at VM 0xfffffff008eeb1ac (fileoff 0x1ee71ac): page=0x1fe51d000 add_imm=0xe22

0xfffffff008eeb12c: 74ffff17  b	#0xfffffff008eeaefc
0xfffffff008eeb130: e128ffb0  adrp	x1, #0xfffffff007408000
0xfffffff008eeb134: 21c03391  add	x1, x1, #0xcf0
0xfffffff008eeb138: e2830091  add	x2, sp, #0x20
0xfffffff008eeb13c: e00315aa  mov	x0, x21
0xfffffff008eeb140: f1f1ff97  bl	#0xfffffff008ee7904
0xfffffff008eeb144: e00c0034  cbz	w0, #0xfffffff008eeb2e0
0xfffffff008eeb148: e828ffb0  adrp	x8, #0xfffffff007408000
0xfffffff008eeb14c: 08993491  add	x8, x8, #0xd26
0xfffffff008eeb150: e80300f9  str	x8, [sp]
0xfffffff008eeb154: e028ffb0  adrp	x0, #0xfffffff007408000
0xfffffff008eeb158: 005c2c91  add	x0, x0, #0xb17
0xfffffff008eeb15c: d7ffff17  b	#0xfffffff008eeb0b8
0xfffffff008eeb160: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff008eeb164: e80c00b4  cbz	x8, #0xfffffff008eeb300
0xfffffff008eeb168: f65340b9  ldr	w22, [sp, #0x50]
0xfffffff008eeb16c: 56120034  cbz	w22, #0xfffffff008eeb3b4
0xfffffff008eeb170: f56340b9  ldr	w21, [sp, #0x60]
0xfffffff008eeb174: f47340b9  ldr	w20, [sp, #0x70]
0xfffffff008eeb178: e00316aa  mov	x0, x22
0xfffffff008eeb17c: 01008052  mov	w1, #0
0xfffffff008eeb180: daedba97  bl	#0xfffffff007da68e8
0xfffffff008eeb184: f70300aa  mov	x23, x0
0xfffffff008eeb188: e02740f9  ldr	x0, [sp, #0x48]
0xfffffff008eeb18c: e10317aa  mov	x1, x23
0xfffffff008eeb190: e20316aa  mov	x2, x22
0xfffffff008eeb194: 7959bf97  bl	#0xfffffff007ec1778
0xfffffff008eeb198: a0110034  cbz	w0, #0xfffffff008eeb3cc
0xfffffff008eeb19c: f30300aa  mov	x19, x0
0xfffffff008eeb1a0: e828ffb0  adrp	x8, #0xfffffff007408000
0xfffffff008eeb1a4: 08613691  add	x8, x8, #0xd98
0xfffffff008eeb1a8: e84f00a9  stp	x8, x19, [sp]
0xfffffff008eeb1ac: e028ffb0  adrp	x0, #0xfffffff007408000
0xfffffff008eeb1b0: 00883891  add	x0, x0, #0xe22
0xfffffff008eeb1b4: 9bafd197  bl	#0xfffffff008357020
0xfffffff008eeb1b8: 190080d2  mov	x25, #0
0xfffffff008eeb1bc: 180080d2  mov	x24, #0
0xfffffff008eeb1c0: 9f2403d5  bti	j
0xfffffff008eeb1c4: 970000b4  cbz	x23, #0xfffffff008eeb1d4
0xfffffff008eeb1c8: e00317aa  mov	x0, x23
0xfffffff008eeb1cc: e10316aa  mov	x1, x22
0xfffffff008eeb1d0: 61efba97  bl	#0xfffffff007da6f54
0xfffffff008eeb1d4: 980000b4  cbz	x24, #0xfffffff008eeb1e4
0xfffffff008eeb1d8: e00318aa  mov	x0, x24
0xfffffff008eeb1dc: e10315aa  mov	x1, x21
0xfffffff008eeb1e0: 5defba97  bl	#0xfffffff007da6f54
0xfffffff008eeb1e4: f9f6ffb4  cbz	x25, #0xfffffff008eeb0c0
0xfffffff008eeb1e8: e00319aa  mov	x0, x25
0xfffffff008eeb1ec: e10314aa  mov	x1, x20
0xfffffff008eeb1f0: 59efba97  bl	#0xfffffff007da6f54
0xfffffff008eeb1f4: b3ffff17  b	#0xfffffff008eeb0c0
0xfffffff008eeb1f8: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff008eeb1fc: e80800b4  cbz	x8, #0xfffffff008eeb318
0xfffffff008eeb200: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff008eeb204: 1f8501f1  cmp	x8, #0x61
0xfffffff008eeb208: 210c0054  b.ne	#0xfffffff008eeb38c
0xfffffff008eeb20c: dfc8ff97  bl	#0xfffffff008edd588
0xfffffff008eeb210: c01500b4  cbz	x0, #0xfffffff008eeb4c8
0xfffffff008eeb214: e12340f9  ldr	x1, [sp, #0x40]
0xfffffff008eeb218: 220c8052  mov	w2, #0x61
0xfffffff008eeb21c: a85abf97  bl	#0xfffffff007ec1cbc
0xfffffff008eeb220: f30300aa  mov	x19, x0
0xfffffff008eeb224: e0f4ff34  cbz	w0, #0xfffffff008eeb0c0
0xfffffff008eeb228: e828ffb0  adrp	x8, #0xfffffff007408000
