; Candidate 5050
; ADRP+ADD at VM 0xfffffff0087d4a24 (fileoff 0x17d0a24): page=0x1fea15000 add_imm=0xe80

0xfffffff0087d49a4: f60300aa  mov	x22, x0
0xfffffff0087d49a8: 017e0394  bl	#0xfffffff0088b41ac
0xfffffff0087d49ac: f50300aa  mov	x21, x0
0xfffffff0087d49b0: 00018052  mov	w0, #8
0xfffffff0087d49b4: a79b0294  bl	#0xfffffff00887b850
0xfffffff0087d49b8: d6010034  cbz	w22, #0xfffffff0087d49f0
0xfffffff0087d49bc: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087d49c0: e851ffb0  adrp	x8, #0xfffffff007211000
0xfffffff0087d49c4: 09012691  add	x9, x8, #0x980
0xfffffff0087d49c8: e851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d49cc: 08712591  add	x8, x8, #0x95c
0xfffffff0087d49d0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d49d4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087d49d8: 080a8052  mov	w8, #0x50
0xfffffff0087d49dc: e051ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d49e0: 00dc2791  add	x0, x0, #0x9f7
0xfffffff0087d49e4: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d49e8: 9e8ad797  bl	#0xfffffff007db7460
0xfffffff0087d49ec: 16000014  b	#0xfffffff0087d4a44
0xfffffff0087d49f0: ef7d0394  bl	#0xfffffff0088b41ac
0xfffffff0087d49f4: f50300aa  mov	x21, x0
0xfffffff0087d49f8: 00018052  mov	w0, #8
0xfffffff0087d49fc: 959b0294  bl	#0xfffffff00887b850
0xfffffff0087d4a00: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087d4a04: e851ffb0  adrp	x8, #0xfffffff007211000
0xfffffff0087d4a08: 09012691  add	x9, x8, #0x980
0xfffffff0087d4a0c: e851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d4a10: 08712591  add	x8, x8, #0x95c
0xfffffff0087d4a14: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d4a18: 080a8052  mov	w8, #0x50
0xfffffff0087d4a1c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d4a20: f50300f9  str	x21, [sp]
0xfffffff0087d4a24: a050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d4a28: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d4a2c: a191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d4a30: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d4a34: 2353fff0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d4a38: 63741391  add	x3, x3, #0x4dd
0xfffffff0087d4a3c: 02008052  mov	w2, #0
0xfffffff0087d4a40: bc79ed97  bl	#0xfffffff008333130
0xfffffff0087d4a44: 825a40b9  ldr	w2, [x20, #0x58]
0xfffffff0087d4a48: 96138052  mov	w22, #0x9c
0xfffffff0087d4a4c: d674a572  movk	w22, #0x2ba6, lsl #16
0xfffffff0087d4a50: 80138052  mov	w0, #0x9c
0xfffffff0087d4a54: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087d4a58: 81018052  mov	w1, #0xc
0xfffffff0087d4a5c: 030080d2  mov	x3, #0
0xfffffff0087d4a60: 040080d2  mov	x4, #0
0xfffffff0087d4a64: 050080d2  mov	x5, #0
0xfffffff0087d4a68: 27a5e697  bl	#0xfffffff00817df04
0xfffffff0087d4a6c: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0087d4a70: 100040f9  ldr	x16, [x0]
0xfffffff0087d4a74: f10300aa  mov	x17, x0
0xfffffff0087d4a78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d4a7c: 301ac1da  autda	x16, x17
0xfffffff0087d4a80: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0087d4a84: e90310aa  mov	x9, x16
0xfffffff0087d4a88: 700300f0  adrp	x16, #0xfffffff008843000
0xfffffff0087d4a8c: 10723a91  add	x16, x16, #0xe9c
0xfffffff0087d4a90: 31a897d2  mov	x17, #0xbd41
0xfffffff0087d4a94: 3002c1da  pacia	x16, x17
0xfffffff0087d4a98: e10310aa  mov	x1, x16
0xfffffff0087d4a9c: e20314aa  mov	x2, x20
0xfffffff0087d4aa0: 030080d2  mov	x3, #0
