; Candidate 10766
; ADRP+ADD at VM 0xfffffff008de5eb0 (fileoff 0x1de1eb0): page=0x1fe5df000 add_imm=0xd21

0xfffffff008de5e30: 08493991  add	x8, x8, #0xe52
0xfffffff008de5e34: ea2efff0  adrp	x10, #0xfffffff0073c4000
0xfffffff008de5e38: 4af13a91  add	x10, x10, #0xebc
0xfffffff008de5e3c: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff008de5e40: ea0300f9  str	x10, [sp]
0xfffffff008de5e44: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5e48: 00543891  add	x0, x0, #0xe15
0xfffffff008de5e4c: 75c4d597  bl	#0xfffffff008357020
0xfffffff008de5e50: c8088052  mov	w8, #0x46
0xfffffff008de5e54: e3ffff17  b	#0xfffffff008de5de0
0xfffffff008de5e58: 7f2303d5  pacibsp	
0xfffffff008de5e5c: ff4302d1  sub	sp, sp, #0x90
0xfffffff008de5e60: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008de5e64: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008de5e68: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008de5e6c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008de5e70: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008de5e74: fd030291  add	x29, sp, #0x80
0xfffffff008de5e78: f60303aa  mov	x22, x3
0xfffffff008de5e7c: f70302aa  mov	x23, x2
0xfffffff008de5e80: f30301aa  mov	x19, x1
0xfffffff008de5e84: f40300aa  mov	x20, x0
0xfffffff008de5e88: daa800d0  adrp	x26, #0xfffffff00a2ff000
0xfffffff008de5e8c: 5a432c91  add	x26, x26, #0xb10
0xfffffff008de5e90: 48034039  ldrb	w8, [x26]
0xfffffff008de5e94: f82effb0  adrp	x24, #0xfffffff0073c2000
0xfffffff008de5e98: 18171b91  add	x24, x24, #0x6c5
0xfffffff008de5e9c: f92eff90  adrp	x25, #0xfffffff0073c1000
0xfffffff008de5ea0: 399f0c91  add	x25, x25, #0x327
0xfffffff008de5ea4: 1f290071  cmp	w8, #0xa
0xfffffff008de5ea8: a8000054  b.hi	#0xfffffff008de5ebc
0xfffffff008de5eac: f96300a9  stp	x25, x24, [sp]
0xfffffff008de5eb0: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5eb4: 00843491  add	x0, x0, #0xd21
0xfffffff008de5eb8: 5ac4d597  bl	#0xfffffff008357020
0xfffffff008de5ebc: ffff0039  strb	wzr, [sp, #0x3f]
0xfffffff008de5ec0: 28008052  mov	w8, #1
0xfffffff008de5ec4: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008de5ec8: ffbf0039  strb	wzr, [sp, #0x2f]
0xfffffff008de5ecc: e3ff0091  add	x3, sp, #0x3f
0xfffffff008de5ed0: e4c30091  add	x4, sp, #0x30
0xfffffff008de5ed4: e00314aa  mov	x0, x20
0xfffffff008de5ed8: e10313aa  mov	x1, x19
0xfffffff008de5edc: c2008052  mov	w2, #6
0xfffffff008de5ee0: a8f3ff97  bl	#0xfffffff008de2d80
0xfffffff008de5ee4: 00050035  cbnz	w0, #0xfffffff008de5f84
0xfffffff008de5ee8: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff008de5eec: 1f0900f1  cmp	x8, #2
0xfffffff008de5ef0: c2060054  b.hs	#0xfffffff008de5fc8
0xfffffff008de5ef4: e8ff4039  ldrb	w8, [sp, #0x3f]
0xfffffff008de5ef8: 0901172a  orr	w9, w8, w23
0xfffffff008de5efc: 0801370a  bic	w8, w8, w23
0xfffffff008de5f00: df020071  cmp	w22, #0
0xfffffff008de5f04: 2811881a  csel	w8, w9, w8, ne
0xfffffff008de5f08: e8bf0039  strb	w8, [sp, #0x2f]
0xfffffff008de5f0c: e6bf0091  add	x6, sp, #0x2f
0xfffffff008de5f10: e00314aa  mov	x0, x20
0xfffffff008de5f14: e10313aa  mov	x1, x19
0xfffffff008de5f18: c2008052  mov	w2, #6
0xfffffff008de5f1c: 030080d2  mov	x3, #0
0xfffffff008de5f20: 040080d2  mov	x4, #0
0xfffffff008de5f24: 050080d2  mov	x5, #0
0xfffffff008de5f28: 27008052  mov	w7, #1
0xfffffff008de5f2c: f9f3ff97  bl	#0xfffffff008de2f10
