; Candidate 8964
; ADRP+ADD at VM 0xfffffff0088ff5d8 (fileoff 0x18fb5d8): page=0x19dc000 add_imm=0xce0

0xfffffff0088ff558: 001c3891  add	x0, x0, #0xe07
0xfffffff0088ff55c: 37a7e897  bl	#0xfffffff008329238
0xfffffff0088ff560: e8ce0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ff564: 00b506f9  str	x0, [x8, #0xd68]
0xfffffff0088ff568: 604bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ff56c: 00cc3891  add	x0, x0, #0xe33
0xfffffff0088ff570: 32a7e897  bl	#0xfffffff008329238
0xfffffff0088ff574: e8ce0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ff578: 00b906f9  str	x0, [x8, #0xd70]
0xfffffff0088ff57c: 604bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ff580: 00583991  add	x0, x0, #0xe56
0xfffffff0088ff584: 2da7e897  bl	#0xfffffff008329238
0xfffffff0088ff588: e8ce0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ff58c: 00bd06f9  str	x0, [x8, #0xd78]
0xfffffff0088ff590: e0ce0090  adrp	x0, #0xfffffff00a2db000
0xfffffff0088ff594: 00803391  add	x0, x0, #0xce0
0xfffffff0088ff598: 814bffb0  adrp	x1, #0xfffffff007270000
0xfffffff0088ff59c: 21841491  add	x1, x1, #0x521
0xfffffff0088ff5a0: e2ce0090  adrp	x2, #0xfffffff00a2db000
0xfffffff0088ff5a4: 42003291  add	x2, x2, #0xc80
0xfffffff0088ff5a8: 03688052  mov	w3, #0x340
0xfffffff0088ff5ac: 6391e797  bl	#0xfffffff0082e3b38
0xfffffff0088ff5b0: d088fff0  adrp	x16, #0xfffffff007a1a000
0xfffffff0088ff5b4: 10a23191  add	x16, x16, #0xc68
0xfffffff0088ff5b8: 10420091  add	x16, x16, #0x10
0xfffffff0088ff5bc: f10300aa  mov	x17, x0
0xfffffff0088ff5c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ff5c4: 300ac1da  pacda	x16, x17
0xfffffff0088ff5c8: 100000f9  str	x16, [x0]
0xfffffff0088ff5cc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088ff5d0: ff0f5fd6  retab	
0xfffffff0088ff5d4: 5f2403d5  bti	c
0xfffffff0088ff5d8: e0ce0090  adrp	x0, #0xfffffff00a2db000
0xfffffff0088ff5dc: 00803391  add	x0, x0, #0xce0
0xfffffff0088ff5e0: 4594e717  b	#0xfffffff0082e46f4
0xfffffff0088ff5e4: 5f2403d5  bti	c
0xfffffff0088ff5e8: e8ce0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ff5ec: 08412f91  add	x8, x8, #0xbd0
0xfffffff0088ff5f0: 100140f9  ldr	x16, [x8]
0xfffffff0088ff5f4: 700000b4  cbz	x16, #0xfffffff0088ff600
0xfffffff0088ff5f8: d19f9cd2  mov	x17, #0xe4fe
0xfffffff0088ff5fc: 110a1fd7  braa	x16, x17
0xfffffff0088ff600: 00008052  mov	w0, #0
0xfffffff0088ff604: c0035fd6  ret	
0xfffffff0088ff608: 5f2403d5  bti	c
0xfffffff0088ff60c: e8ce0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ff610: 08412991  add	x8, x8, #0xa50
0xfffffff0088ff614: 00410091  add	x0, x8, #0x10
0xfffffff0088ff618: c0035fd6  ret	
0xfffffff0088ff61c: 5f2403d5  bti	c
0xfffffff0088ff620: e8ce0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ff624: 08412991  add	x8, x8, #0xa50
0xfffffff0088ff628: 00410191  add	x0, x8, #0x50
0xfffffff0088ff62c: c0035fd6  ret	
0xfffffff0088ff630: 5f2403d5  bti	c
0xfffffff0088ff634: e8ce0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ff638: 08412991  add	x8, x8, #0xa50
0xfffffff0088ff63c: 000d40b9  ldr	w0, [x8, #0xc]
0xfffffff0088ff640: c0035fd6  ret	
0xfffffff0088ff644: 5f2403d5  bti	c
0xfffffff0088ff648: e8ce0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ff64c: 08612f91  add	x8, x8, #0xbd8
0xfffffff0088ff650: 100140f9  ldr	x16, [x8]
0xfffffff0088ff654: 700000b4  cbz	x16, #0xfffffff0088ff660
