; Candidate 15337
; ADRP+ADD at VM 0xfffffff009b518ac (fileoff 0x2b4d8ac): page=0x1fdad7000 add_imm=0xed0

0xfffffff009b5182c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b51830: e00314aa  mov	x0, x20
0xfffffff009b51834: 010080d2  mov	x1, #0
0xfffffff009b51838: f10308aa  mov	x17, x8
0xfffffff009b5183c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b51840: 31093fd7  blraa	x9, x17
0xfffffff009b51844: f70300aa  mov	x23, x0
0xfffffff009b51848: 900240f9  ldr	x16, [x20]
0xfffffff009b5184c: f10314aa  mov	x17, x20
0xfffffff009b51850: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b51854: 301ac1da  autda	x16, x17
0xfffffff009b51858: f10310aa  mov	x17, x16
0xfffffff009b5185c: f147c1da  xpacd	x17
0xfffffff009b51860: 1f0211eb  cmp	x16, x17
0xfffffff009b51864: 40000054  b.eq	#0xfffffff009b5186c
0xfffffff009b51868: 408e38d4  brk	#0xc472
0xfffffff009b5186c: 08620891  add	x8, x16, #0x218
0xfffffff009b51870: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b51874: e00314aa  mov	x0, x20
0xfffffff009b51878: 010080d2  mov	x1, #0
0xfffffff009b5187c: f10308aa  mov	x17, x8
0xfffffff009b51880: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b51884: 31093fd7  blraa	x9, x17
0xfffffff009b51888: 68324039  ldrb	w8, [x19, #0xc]
0xfffffff009b5188c: 697240b9  ldr	w9, [x19, #0x70]
0xfffffff009b51890: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff009b51894: c8d6fed0  adrp	x8, #0xfffffff00762b000
0xfffffff009b51898: 08a90991  add	x8, x8, #0x26a
0xfffffff009b5189c: c9d6fe90  adrp	x9, #0xfffffff007629000
0xfffffff009b518a0: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b518a4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b518a8: f70300a9  stp	x23, x0, [sp]
0xfffffff009b518ac: a0d6fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b518b0: 00403b91  add	x0, x0, #0xed0
0xfffffff009b518b4: c3d6fef0  adrp	x3, #0xfffffff00762c000
0xfffffff009b518b8: 63343a91  add	x3, x3, #0xe8d
0xfffffff009b518bc: e10316aa  mov	x1, x22
0xfffffff009b518c0: e20315aa  mov	x2, x21
0xfffffff009b518c4: 1b869f97  bl	#0xfffffff008333130
0xfffffff009b518c8: 15008052  mov	w21, #0
0xfffffff009b518cc: e00315aa  mov	x0, x21
0xfffffff009b518d0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009b518d4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009b518d8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009b518dc: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009b518e0: ff030291  add	sp, sp, #0x80
0xfffffff009b518e4: ff0f5fd6  retab	
0xfffffff009b518e8: 900240f9  ldr	x16, [x20]
0xfffffff009b518ec: f10314aa  mov	x17, x20
0xfffffff009b518f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b518f4: 301ac1da  autda	x16, x17
0xfffffff009b518f8: 113d80d2  mov	x17, #0x1e8
0xfffffff009b518fc: 1002118b  add	x16, x16, x17
0xfffffff009b51900: 080240f9  ldr	x8, [x16]
0xfffffff009b51904: e90310aa  mov	x9, x16
0xfffffff009b51908: e00314aa  mov	x0, x20
0xfffffff009b5190c: 010080d2  mov	x1, #0
0xfffffff009b51910: f10309aa  mov	x17, x9
0xfffffff009b51914: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b51918: 11093fd7  blraa	x8, x17
0xfffffff009b5191c: 900240f9  ldr	x16, [x20]
0xfffffff009b51920: f10314aa  mov	x17, x20
0xfffffff009b51924: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b51928: 301ac1da  autda	x16, x17
