; Candidate 708
; ADRP+ADD at VM 0xfffffff00804029c (fileoff 0x103c29c): page=0x1ff036000 add_imm=0xd33

0xfffffff00804021c: 0903160b  add	w9, w24, w22
0xfffffff008040220: 2103098b  add	x1, x25, x9
0xfffffff008040224: 0903150b  add	w9, w24, w21
0xfffffff008040228: 2003098b  add	x0, x25, x9
0xfffffff00804022c: c902140b  add	w9, w22, w20
0xfffffff008040230: 0201094b  sub	w2, w8, w9
0xfffffff008040234: d731f497  bl	#0xfffffff007d4c990
0xfffffff008040238: 69a24229  ldp	w9, w8, [x19, #0x14]
0xfffffff00804023c: 0801170b  add	w8, w8, w23
0xfffffff008040240: 681a00b9  str	w8, [x19, #0x18]
0xfffffff008040244: 6a1240b9  ldr	w10, [x19, #0x10]
0xfffffff008040248: 2801080b  add	w8, w9, w8
0xfffffff00804024c: 1f010a6b  cmp	w8, w10
0xfffffff008040250: 68050054  b.hi	#0xfffffff0080402fc
0xfffffff008040254: 3543388b  add	x21, x25, w24, uxtw
0xfffffff008040258: e00313aa  mov	x0, x19
0xfffffff00804025c: 3bfeff97  bl	#0xfffffff00803fb48
0xfffffff008040260: 05000014  b	#0xfffffff008040274
0xfffffff008040264: 7f0600f9  str	xzr, [x19, #8]
0xfffffff008040268: e00313aa  mov	x0, x19
0xfffffff00804026c: befeff97  bl	#0xfffffff00803fd64
0xfffffff008040270: 150080d2  mov	x21, #0
0xfffffff008040274: e00315aa  mov	x0, x21
0xfffffff008040278: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00804027c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008040280: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008040284: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008040288: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff00804028c: ffc30191  add	sp, sp, #0x70
0xfffffff008040290: ff0f5fd6  retab	
0xfffffff008040294: 610600f9  str	x1, [x19, #8]
0xfffffff008040298: f0ffff17  b	#0xfffffff008040258
0xfffffff00804029c: a081ffd0  adrp	x0, #0xfffffff007076000
0xfffffff0080402a0: 00cc3491  add	x0, x0, #0xd33
0xfffffff0080402a4: 6181ff90  adrp	x1, #0xfffffff00706c000
0xfffffff0080402a8: 21c82791  add	x1, x1, #0x9f2
0xfffffff0080402ac: 821d8052  mov	w2, #0xec
0xfffffff0080402b0: 597d1194  bl	#0xfffffff00849f814
0xfffffff0080402b4: 6081ff90  adrp	x0, #0xfffffff00706c000
0xfffffff0080402b8: 00042d91  add	x0, x0, #0xb41
0xfffffff0080402bc: 6181ff90  adrp	x1, #0xfffffff00706c000
0xfffffff0080402c0: 21c82791  add	x1, x1, #0x9f2
0xfffffff0080402c4: a21d8052  mov	w2, #0xed
0xfffffff0080402c8: 537d1194  bl	#0xfffffff00849f814
0xfffffff0080402cc: 6081ff90  adrp	x0, #0xfffffff00706c000
0xfffffff0080402d0: 008c2d91  add	x0, x0, #0xb63
0xfffffff0080402d4: 6181ff90  adrp	x1, #0xfffffff00706c000
0xfffffff0080402d8: 21c82791  add	x1, x1, #0x9f2
0xfffffff0080402dc: 421e8052  mov	w2, #0xf2
0xfffffff0080402e0: 4d7d1194  bl	#0xfffffff00849f814
0xfffffff0080402e4: 6081ff90  adrp	x0, #0xfffffff00706c000
0xfffffff0080402e8: 00e42d91  add	x0, x0, #0xb79
0xfffffff0080402ec: 6181ff90  adrp	x1, #0xfffffff00706c000
0xfffffff0080402f0: 21c82791  add	x1, x1, #0x9f2
0xfffffff0080402f4: 22248052  mov	w2, #0x121
0xfffffff0080402f8: 477d1194  bl	#0xfffffff00849f814
0xfffffff0080402fc: 6081ff90  adrp	x0, #0xfffffff00706c000
0xfffffff008040300: 00dc2e91  add	x0, x0, #0xbb7
0xfffffff008040304: 6181ff90  adrp	x1, #0xfffffff00706c000
0xfffffff008040308: 21c82791  add	x1, x1, #0x9f2
0xfffffff00804030c: 82258052  mov	w2, #0x12c
0xfffffff008040310: 417d1194  bl	#0xfffffff00849f814
0xfffffff008040314: 680240b9  ldr	w8, [x19]
0xfffffff008040318: 09268052  mov	w9, #0x130
