; Candidate 2671
; ADRP+ADD at VM 0xfffffff0086daefc (fileoff 0x16d6efc): page=0x1fea57000 add_imm=0xd90

0xfffffff0086dae7c: e88700b9  str	w8, [sp, #0x84]
0xfffffff0086dae80: df3e0071  cmp	w22, #0xf
0xfffffff0086dae84: 88058052  mov	w8, #0x2c
0xfffffff0086dae88: 090b8052  mov	w9, #0x58
0xfffffff0086dae8c: 2801881a  csel	w8, w9, w8, eq
0xfffffff0086dae90: e86300b9  str	w8, [sp, #0x60]
0xfffffff0086dae94: f7030baa  mov	x23, x11
0xfffffff0086dae98: c87d0b1b  mul	w8, w14, w11
0xfffffff0086dae9c: 087d0353  lsr	w8, w8, #3
0xfffffff0086daea0: 5f010071  cmp	w10, #0
0xfffffff0086daea4: 08118e1a  csel	w8, w8, w14, ne
0xfffffff0086daea8: e85b00b9  str	w8, [sp, #0x58]
0xfffffff0086daeac: 28070051  sub	w8, w25, #1
0xfffffff0086daeb0: 7f0208eb  cmp	x19, x8
0xfffffff0086daeb4: a1000054  b.ne	#0xfffffff0086daec8
0xfffffff0086daeb8: b6021c4b  sub	w22, w21, w28
0xfffffff0086daebc: eb3f40f9  ldr	x11, [sp, #0x78]
0xfffffff0086daec0: ae4359b8  ldur	w14, [x29, #-0x6c]
0xfffffff0086daec4: 08000014  b	#0xfffffff0086daee4
0xfffffff0086daec8: eb3f40f9  ldr	x11, [sp, #0x78]
0xfffffff0086daecc: 6909138b  add	x9, x11, x19, lsl #2
0xfffffff0086daed0: 2a454ab9  ldr	w10, [x9, #0xa44]
0xfffffff0086daed4: 29414ab9  ldr	w9, [x9, #0xa40]
0xfffffff0086daed8: 4901094b  sub	w9, w10, w9
0xfffffff0086daedc: ae4359b8  ldur	w14, [x29, #-0x6c]
0xfffffff0086daee0: 367d0e1b  mul	w22, w9, w14
0xfffffff0086daee4: df064071  cmp	w22, #1, lsl #12
0xfffffff0086daee8: 2d020054  b.le	#0xfffffff0086daf2c
0xfffffff0086daeec: a9e58052  mov	w9, #0x72d
0xfffffff0086daef0: a853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086daef4: 083d0b91  add	x8, x8, #0x2cf
0xfffffff0086daef8: e82700a9  stp	x8, x9, [sp]
0xfffffff0086daefc: a052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086daf00: 00403691  add	x0, x0, #0xd90
0xfffffff0086daf04: 0199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086daf08: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086daf0c: 02008052  mov	w2, #0
0xfffffff0086daf10: c352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086daf14: 638c0c91  add	x3, x3, #0x323
0xfffffff0086daf18: 8660f197  bl	#0xfffffff008333130
0xfffffff0086daf1c: ae4359b8  ldur	w14, [x29, #-0x6c]
0xfffffff0086daf20: eb3f40f9  ldr	x11, [sp, #0x78]
0xfffffff0086daf24: 796d76b9  ldr	w25, [x11, #0x366c]
0xfffffff0086daf28: 28070051  sub	w8, w25, #1
0xfffffff0086daf2c: c93e0011  add	w9, w22, #0xf
0xfffffff0086daf30: ca7a0011  add	w10, w22, #0x1e
0xfffffff0086daf34: 3f010071  cmp	w9, #0
0xfffffff0086daf38: 5ab1891a  csel	w26, w10, w9, lt
0xfffffff0086daf3c: 5b7f0413  asr	w27, w26, #4
0xfffffff0086daf40: e98740b9  ldr	w9, [sp, #0x84]
0xfffffff0086daf44: 697f091b  mul	w9, w27, w9
0xfffffff0086daf48: 2a7d4093  sxtw	x10, w9
0xfffffff0086daf4c: ec4740f9  ldr	x12, [sp, #0x88]
0xfffffff0086daf50: 9fc129eb  cmp	x12, w9, sxtw
0xfffffff0086daf54: 8c818a9a  csel	x12, x12, x10, hi
0xfffffff0086daf58: ec4700f9  str	x12, [sp, #0x88]
0xfffffff0086daf5c: 78060091  add	x24, x19, #1
0xfffffff0086daf60: 6909138b  add	x9, x11, x19, lsl #2
0xfffffff0086daf64: 2a454ab9  ldr	w10, [x9, #0xa44]
0xfffffff0086daf68: 27414ab9  ldr	w7, [x9, #0xa40]
0xfffffff0086daf6c: 4901074b  sub	w9, w10, w7
0xfffffff0086daf70: eb0f8052  mov	w11, #0x7f
0xfffffff0086daf74: ec6340b9  ldr	w12, [sp, #0x60]
0xfffffff0086daf78: 8c2d091b  madd	w12, w12, w9, w11
