; Candidate 6921
; ADRP+ADD at VM 0xfffffff00884a370 (fileoff 0x1846370): page=0x1fe99f000 add_imm=0xe80

0xfffffff00884a2f0: 89248052  mov	w9, #0x124
0xfffffff00884a2f4: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff00884a2f8: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a2fc: 08c91c91  add	x8, x8, #0x732
0xfffffff00884a300: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884a304: 28098052  mov	w8, #0x49
0xfffffff00884a308: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884a30c: f30300f9  str	x19, [sp]
0xfffffff00884a310: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884a314: 00003a91  add	x0, x0, #0xe80
0xfffffff00884a318: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884a31c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884a320: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884a324: 63781791  add	x3, x3, #0x5de
0xfffffff00884a328: 02008052  mov	w2, #0
0xfffffff00884a32c: 81a3eb97  bl	#0xfffffff008333130
0xfffffff00884a330: 007d8012  mov	w0, #-0x3e9
0xfffffff00884a334: 18000014  b	#0xfffffff00884a394
0xfffffff00884a338: 9da70194  bl	#0xfffffff0088b41ac
0xfffffff00884a33c: f40300aa  mov	x20, x0
0xfffffff00884a340: 80008052  mov	w0, #4
0xfffffff00884a344: 43c50094  bl	#0xfffffff00887b850
0xfffffff00884a348: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a34c: 08c11691  add	x8, x8, #0x5b0
0xfffffff00884a350: e9248052  mov	w9, #0x127
0xfffffff00884a354: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00884a358: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a35c: 08c91c91  add	x8, x8, #0x732
0xfffffff00884a360: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884a364: 28098052  mov	w8, #0x49
0xfffffff00884a368: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884a36c: f40300f9  str	x20, [sp]
0xfffffff00884a370: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884a374: 00003a91  add	x0, x0, #0xe80
0xfffffff00884a378: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884a37c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884a380: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884a384: 63341891  add	x3, x3, #0x60d
0xfffffff00884a388: 02008052  mov	w2, #0
0xfffffff00884a38c: 69a3eb97  bl	#0xfffffff008333130
0xfffffff00884a390: 407e8012  mov	w0, #-0x3f3
0xfffffff00884a394: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff00884a398: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff00884a39c: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff00884a3a0: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff00884a3a4: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff00884a3a8: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff00884a3ac: e9234a6d  ldp	d9, d8, [sp, #0xa0]
0xfffffff00884a3b0: ff430491  add	sp, sp, #0x110
0xfffffff00884a3b4: ff0f5fd6  retab	
0xfffffff00884a3b8: 1701781e  fcvtzs	w23, d8
0xfffffff00884a3bc: 084dff90  adrp	x8, #0xfffffff0071ea000
0xfffffff00884a3c0: 091543fd  ldr	d9, [x8, #0x628]
0xfffffff00884a3c4: 0009691e  fmul	d0, d8, d9
0xfffffff00884a3c8: 0800781e  fcvtzs	w8, d0
0xfffffff00884a3cc: fa7c8012  mov	w26, #-0x3e8
0xfffffff00884a3d0: fb221a1b  madd	w27, w23, w26, w8
0xfffffff00884a3d4: 76a70194  bl	#0xfffffff0088b41ac
0xfffffff00884a3d8: f50300aa  mov	x21, x0
0xfffffff00884a3dc: e00316aa  mov	x0, x22
0xfffffff00884a3e0: 1cc50094  bl	#0xfffffff00887b850
0xfffffff00884a3e4: 680640f9  ldr	x8, [x19, #8]
0xfffffff00884a3e8: 0911198b  add	x9, x8, x25, lsl #4
0xfffffff00884a3ec: 2a0140f9  ldr	x10, [x9]
