; Candidate 1406
; ADRP+ADD at VM 0xfffffff0083a76dc (fileoff 0x13a36dc): page=0x1e71000 add_imm=0xe90

0xfffffff0083a765c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083a7660: 301ac1da  autda	x16, x17
0xfffffff0083a7664: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0083a7668: e90310aa  mov	x9, x16
0xfffffff0083a766c: e00313aa  mov	x0, x19
0xfffffff0083a7670: e10302aa  mov	x1, x2
0xfffffff0083a7674: f10309aa  mov	x17, x9
0xfffffff0083a7678: 9132e9f2  movk	x17, #0x4994, lsl #48
0xfffffff0083a767c: 11093fd7  blraa	x8, x17
0xfffffff0083a7680: 28008052  mov	w8, #1
0xfffffff0083a7684: 68a20039  strb	w8, [x19, #0x28]
0xfffffff0083a7688: 682240f9  ldr	x8, [x19, #0x40]
0xfffffff0083a768c: 480100b5  cbnz	x8, #0xfffffff0083a76b4
0xfffffff0083a7690: c0aeff90  adrp	x0, #0xfffffff00797f000
0xfffffff0083a7694: 00c00c91  add	x0, x0, #0x330
0xfffffff0083a7698: 082840b9  ldr	w8, [x0, #0x28]
0xfffffff0083a769c: 1f011c72  tst	w8, #0x10
0xfffffff0083a76a0: 88008052  mov	w8, #4
0xfffffff0083a76a4: 89009052  mov	w9, #0x8004
0xfffffff0083a76a8: 2101881a  csel	w1, w9, w8, eq
0xfffffff0083a76ac: c5fce797  bl	#0xfffffff007da69c0
0xfffffff0083a76b0: 602200f9  str	x0, [x19, #0x40]
0xfffffff0083a76b4: 68220191  add	x8, x19, #0x48
0xfffffff0083a76b8: 68a204a9  stp	x8, x8, [x19, #0x48]
0xfffffff0083a76bc: dfbffe97  bl	#0xfffffff008357638
0xfffffff0083a76c0: 602e00f9  str	x0, [x19, #0x58]
0xfffffff0083a76c4: 1f0000f1  cmp	x0, #0
0xfffffff0083a76c8: e0079f1a  cset	w0, ne
0xfffffff0083a76cc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0083a76d0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0083a76d4: ff0f5fd6  retab	
0xfffffff0083a76d8: 5f2403d5  bti	c
0xfffffff0083a76dc: 80f300b0  adrp	x0, #0xfffffff00a218000
0xfffffff0083a76e0: 00403a91  add	x0, x0, #0xe90
0xfffffff0083a76e4: c0035fd6  ret	
0xfffffff0083a76e8: 5f2403d5  bti	c
0xfffffff0083a76ec: e10300aa  mov	x1, x0
0xfffffff0083a76f0: 08008092  mov	x8, #-1
0xfffffff0083a76f4: 080000f9  str	x8, [x0]
0xfffffff0083a76f8: a0aefff0  adrp	x0, #0xfffffff00797e000
0xfffffff0083a76fc: 00c03e91  add	x0, x0, #0xfb0
0xfffffff0083a7700: 020c8052  mov	w2, #0x60
0xfffffff0083a7704: e6fffc17  b	#0xfffffff0082e769c
0xfffffff0083a7708: 5f2403d5  bti	c
0xfffffff0083a770c: 08008092  mov	x8, #-1
0xfffffff0083a7710: 080000f9  str	x8, [x0]
0xfffffff0083a7714: c0035fd6  ret	
0xfffffff0083a7718: 7f2303d5  pacibsp	
0xfffffff0083a771c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0083a7720: fd030091  mov	x29, sp
0xfffffff0083a7724: a8aefff0  adrp	x8, #0xfffffff00797e000
0xfffffff0083a7728: 08dd4fb9  ldr	w8, [x8, #0xfdc]
0xfffffff0083a772c: 08491b12  and	w8, w8, #0xffffe0
0xfffffff0083a7730: 1f810171  cmp	w8, #0x60
0xfffffff0083a7734: 22010054  b.hs	#0xfffffff0083a7758
0xfffffff0083a7738: 20acffd0  adrp	x0, #0xfffffff00792d000
0xfffffff0083a773c: 00c01c91  add	x0, x0, #0x730
0xfffffff0083a7740: 010c8052  mov	w1, #0x60
0xfffffff0083a7744: 82008252  mov	w2, #0x1004
0xfffffff0083a7748: 8200a072  movk	w2, #4, lsl #16
0xfffffff0083a774c: 030080d2  mov	x3, #0
0xfffffff0083a7750: 6cfbe797  bl	#0xfffffff007da6500
0xfffffff0083a7754: 05000014  b	#0xfffffff0083a7768
0xfffffff0083a7758: a0aefff0  adrp	x0, #0xfffffff00797e000
