; Candidate 15274
; ADRP+ADD at VM 0xfffffff009b468e4 (fileoff 0x2b428e4): page=0x1fdae2000 add_imm=0xed0

0xfffffff009b46864: 40000054  b.eq	#0xfffffff009b4686c
0xfffffff009b46868: 408e38d4  brk	#0xc472
0xfffffff009b4686c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b46870: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b46874: e00313aa  mov	x0, x19
0xfffffff009b46878: 010080d2  mov	x1, #0
0xfffffff009b4687c: f10308aa  mov	x17, x8
0xfffffff009b46880: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b46884: 31093fd7  blraa	x9, x17
0xfffffff009b46888: f60300aa  mov	x22, x0
0xfffffff009b4688c: 700240f9  ldr	x16, [x19]
0xfffffff009b46890: f10313aa  mov	x17, x19
0xfffffff009b46894: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b46898: 301ac1da  autda	x16, x17
0xfffffff009b4689c: f10310aa  mov	x17, x16
0xfffffff009b468a0: f147c1da  xpacd	x17
0xfffffff009b468a4: 1f0211eb  cmp	x16, x17
0xfffffff009b468a8: 40000054  b.eq	#0xfffffff009b468b0
0xfffffff009b468ac: 408e38d4  brk	#0xc472
0xfffffff009b468b0: 08620891  add	x8, x16, #0x218
0xfffffff009b468b4: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b468b8: e00313aa  mov	x0, x19
0xfffffff009b468bc: 010080d2  mov	x1, #0
0xfffffff009b468c0: f10308aa  mov	x17, x8
0xfffffff009b468c4: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b468c8: 31093fd7  blraa	x9, x17
0xfffffff009b468cc: 08d7fef0  adrp	x8, #0xfffffff007629000
0xfffffff009b468d0: 08253991  add	x8, x8, #0xe49
0xfffffff009b468d4: 09d7fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b468d8: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b468dc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b468e0: f60300a9  stp	x22, x0, [sp]
0xfffffff009b468e4: 00d7fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b468e8: 00403b91  add	x0, x0, #0xed0
0xfffffff009b468ec: 23d7feb0  adrp	x3, #0xfffffff00762b000
0xfffffff009b468f0: 635c3491  add	x3, x3, #0xd17
0xfffffff009b468f4: e10315aa  mov	x1, x21
0xfffffff009b468f8: e20314aa  mov	x2, x20
0xfffffff009b468fc: 0db29f97  bl	#0xfffffff008333130
0xfffffff009b46900: 700240f9  ldr	x16, [x19]
0xfffffff009b46904: 301bc1da  autda	x16, x25
0xfffffff009b46908: 11c680d2  mov	x17, #0x630
0xfffffff009b4690c: 1002118b  add	x16, x16, x17
0xfffffff009b46910: 080240f9  ldr	x8, [x16]
0xfffffff009b46914: e90310aa  mov	x9, x16
0xfffffff009b46918: e00313aa  mov	x0, x19
0xfffffff009b4691c: f10309aa  mov	x17, x9
0xfffffff009b46920: 31b3eef2  movk	x17, #0x7599, lsl #48
0xfffffff009b46924: 11093fd7  blraa	x8, x17
0xfffffff009b46928: 1f070e72  tst	w24, #0xc0000
0xfffffff009b4692c: 20140054  b.eq	#0xfffffff009b46bb0
0xfffffff009b46930: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b46934: 740f3036  tbz	w20, #6, #0xfffffff009b46b20
0xfffffff009b46938: 7405f036  tbz	w20, #0x1e, #0xfffffff009b469e4
0xfffffff009b4693c: 581d8e97  bl	#0xfffffff007ecde9c
0xfffffff009b46940: 1f040071  cmp	w0, #1
0xfffffff009b46944: 01050054  b.ne	#0xfffffff009b469e4
0xfffffff009b46948: 700240f9  ldr	x16, [x19]
0xfffffff009b4694c: f10313aa  mov	x17, x19
0xfffffff009b46950: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b46954: 301ac1da  autda	x16, x17
0xfffffff009b46958: 113d80d2  mov	x17, #0x1e8
0xfffffff009b4695c: 1002118b  add	x16, x16, x17
0xfffffff009b46960: 080240f9  ldr	x8, [x16]
