; Candidate 4602
; ADRP+ADD at VM 0xfffffff0087bd5d0 (fileoff 0x17b95d0): page=0x1fe974000 add_imm=0xd90

0xfffffff0087bd550: 21e03691  add	x1, x1, #0xdb8
0xfffffff0087bd554: 42008052  mov	w2, #2
0xfffffff0087bd558: 5af7ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bd55c: 080c0011  add	w8, w0, #3
0xfffffff0087bd560: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087bd564: 286505b9  str	w8, [x9, #0x564]
0xfffffff0087bd568: 1f100071  cmp	w0, #4
0xfffffff0087bd56c: a3010054  b.lo	#0xfffffff0087bd5a0
0xfffffff0087bd570: 094dffb0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bd574: 29353791  add	x9, x9, #0xdcd
0xfffffff0087bd578: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bd57c: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd580: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd584: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd588: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd58c: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd590: 63602791  add	x3, x3, #0x9d8
0xfffffff0087bd594: 02008052  mov	w2, #0
0xfffffff0087bd598: e6d6ed97  bl	#0xfffffff008333130
0xfffffff0087bd59c: 82000014  b	#0xfffffff0087bd7a4
0xfffffff0087bd5a0: 014dffb0  adrp	x1, #0xfffffff00715e000
0xfffffff0087bd5a4: 21643791  add	x1, x1, #0xdd9
0xfffffff0087bd5a8: e00313aa  mov	x0, x19
0xfffffff0087bd5ac: 42008052  mov	w2, #2
0xfffffff0087bd5b0: 44f7ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bd5b4: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bd5b8: 006905b9  str	w0, [x8, #0x568]
0xfffffff0087bd5bc: 1f100071  cmp	w0, #4
0xfffffff0087bd5c0: a3010054  b.lo	#0xfffffff0087bd5f4
0xfffffff0087bd5c4: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd5c8: 08353791  add	x8, x8, #0xdcd
0xfffffff0087bd5cc: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd5d0: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd5d4: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd5d8: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd5dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd5e0: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd5e4: 63f82791  add	x3, x3, #0x9fe
0xfffffff0087bd5e8: 02008052  mov	w2, #0
0xfffffff0087bd5ec: d1d6ed97  bl	#0xfffffff008333130
0xfffffff0087bd5f0: 6d000014  b	#0xfffffff0087bd7a4
0xfffffff0087bd5f4: 180080d2  mov	x24, #0
0xfffffff0087bd5f8: 39008052  mov	w25, #1
0xfffffff0087bd5fc: 2923c01a  lsl	w9, w25, w0
0xfffffff0087bd600: 096d05b9  str	w9, [x8, #0x56c]
0xfffffff0087bd604: 144dffb0  adrp	x20, #0xfffffff00715e000
0xfffffff0087bd608: 948e3791  add	x20, x20, #0xde3
0xfffffff0087bd60c: 154dffb0  adrp	x21, #0xfffffff00715e000
0xfffffff0087bd610: b5de3791  add	x21, x21, #0xdf7
0xfffffff0087bd614: 164dffb0  adrp	x22, #0xfffffff00715e000
0xfffffff0087bd618: d62e3891  add	x22, x22, #0xe0b
0xfffffff0087bd61c: 174dffb0  adrp	x23, #0xfffffff00715e000
0xfffffff0087bd620: f7823891  add	x23, x23, #0xe20
0xfffffff0087bd624: e00313aa  mov	x0, x19
0xfffffff0087bd628: e10314aa  mov	x1, x20
0xfffffff0087bd62c: 82008052  mov	w2, #4
0xfffffff0087bd630: 24f7ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bd634: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bd638: 0809188b  add	x8, x8, x24, lsl #2
0xfffffff0087bd63c: 007105b9  str	w0, [x8, #0x570]
0xfffffff0087bd640: 1f400071  cmp	w0, #0x10
0xfffffff0087bd644: 22050054  b.hs	#0xfffffff0087bd6e8
0xfffffff0087bd648: e00313aa  mov	x0, x19
0xfffffff0087bd64c: e10315aa  mov	x1, x21
