; Candidate 4529
; ADRP+ADD at VM 0xfffffff0087b9970 (fileoff 0x17b5970): page=0x1fe978000 add_imm=0xd90

0xfffffff0087b98f0: 43010014  b	#0xfffffff0087b9dfc
0xfffffff0087b98f4: 284d288b  add	x8, x9, w8, uxtw #3
0xfffffff0087b98f8: 149d43f9  ldr	x20, [x8, #0x738]
0xfffffff0087b98fc: b43900b4  cbz	x20, #0xfffffff0087ba030
0xfffffff0087b9900: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0087b9904: 09314439  ldrb	w9, [x8, #0x10c]
0xfffffff0087b9908: c9000034  cbz	w9, #0xfffffff0087b9920
0xfffffff0087b990c: 090541b9  ldr	w9, [x8, #0x104]
0xfffffff0087b9910: 89000035  cbnz	w9, #0xfffffff0087b9920
0xfffffff0087b9914: e00313aa  mov	x0, x19
0xfffffff0087b9918: ea060094  bl	#0xfffffff0087bb4c0
0xfffffff0087b991c: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0087b9920: 09414039  ldrb	w9, [x8, #0x10]
0xfffffff0087b9924: 093a0034  cbz	w9, #0xfffffff0087ba064
0xfffffff0087b9928: 151540b9  ldr	w21, [x8, #0x14]
0xfffffff0087b992c: 214dffb0  adrp	x1, #0xfffffff00715e000
0xfffffff0087b9930: 216c2491  add	x1, x1, #0x91b
0xfffffff0087b9934: e00313aa  mov	x0, x19
0xfffffff0087b9938: e20315aa  mov	x2, x21
0xfffffff0087b993c: 61060094  bl	#0xfffffff0087bb2c0
0xfffffff0087b9940: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087b9944: 008d06b9  str	w0, [x8, #0x68c]
0xfffffff0087b9948: e000f837  tbnz	w0, #0x1f, #0xfffffff0087b9964
0xfffffff0087b994c: e903002a  mov	w9, w0
0xfffffff0087b9950: 0a008092  mov	x10, #-1
0xfffffff0087b9954: 4a21d59a  lsl	x10, x10, x21
0xfffffff0087b9958: ea032aaa  mvn	x10, x10
0xfffffff0087b995c: 3f010aeb  cmp	x9, x10
0xfffffff0087b9960: 4d470054  b.le	#0xfffffff0087ba248
0xfffffff0087b9964: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b9968: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b996c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087b9970: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9974: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9978: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b997c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9980: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9984: 63702e91  add	x3, x3, #0xb9c
0xfffffff0087b9988: 02008052  mov	w2, #0
0xfffffff0087b998c: e9e5ed97  bl	#0xfffffff008333130
0xfffffff0087b9990: 93feff17  b	#0xfffffff0087b93dc
0xfffffff0087b9994: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087b9998: 090080d2  mov	x9, #0
0xfffffff0087b999c: 08711a91  add	x8, x8, #0x69c
0xfffffff0087b99a0: 0a008012  mov	w10, #-1
0xfffffff0087b99a4: 0a6929b8  str	w10, [x8, x9]
0xfffffff0087b99a8: 29110091  add	x9, x9, #4
0xfffffff0087b99ac: 3f7100f1  cmp	x9, #0x1c
0xfffffff0087b99b0: a1ffff54  b.ne	#0xfffffff0087b99a4
0xfffffff0087b99b4: 68a67cb9  ldr	w8, [x19, #0x3ca4]
0xfffffff0087b99b8: 49008052  mov	w9, #2
0xfffffff0087b99bc: 0901a072  movk	w9, #8, lsl #16
0xfffffff0087b99c0: 3f01286a  bics	wzr, w9, w8
0xfffffff0087b99c4: 81010054  b.ne	#0xfffffff0087b99f4
0xfffffff0087b99c8: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b99cc: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b99d0: e80300f9  str	x8, [sp]
0xfffffff0087b99d4: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b99d8: 00403691  add	x0, x0, #0xd90
0xfffffff0087b99dc: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b99e0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b99e4: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b99e8: 63303491  add	x3, x3, #0xd0c
0xfffffff0087b99ec: 02008052  mov	w2, #0
