; Candidate 15040
; ADRP+ADD at VM 0xfffffff009a5fa58 (fileoff 0x2a5ba58): page=0x1fe257000 add_imm=0xd48

0xfffffff009a5f9d8: 400b0054  b.eq	#0xfffffff009a5fb40
0xfffffff009a5f9dc: 603240f9  ldr	x0, [x19, #0x60]
0xfffffff009a5f9e0: 100040f9  ldr	x16, [x0]
0xfffffff009a5f9e4: f10300aa  mov	x17, x0
0xfffffff009a5f9e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a5f9ec: 301ac1da  autda	x16, x17
0xfffffff009a5f9f0: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff009a5f9f4: e90310aa  mov	x9, x16
0xfffffff009a5f9f8: f10309aa  mov	x17, x9
0xfffffff009a5f9fc: 5160f8f2  movk	x17, #0xc302, lsl #48
0xfffffff009a5fa00: 11093fd7  blraa	x8, x17
0xfffffff009a5fa04: e10f40f9  ldr	x1, [sp, #0x18]
0xfffffff009a5fa08: c0090036  tbz	w0, #0, #0xfffffff009a5fb40
0xfffffff009a5fa0c: 300040f9  ldr	x16, [x1]
0xfffffff009a5fa10: f10301aa  mov	x17, x1
0xfffffff009a5fa14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a5fa18: 301ac1da  autda	x16, x17
0xfffffff009a5fa1c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009a5fa20: e90310aa  mov	x9, x16
0xfffffff009a5fa24: e00301aa  mov	x0, x1
0xfffffff009a5fa28: f10309aa  mov	x17, x9
0xfffffff009a5fa2c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009a5fa30: 11093fd7  blraa	x8, x17
0xfffffff009a5fa34: e8d34039  ldrb	w8, [sp, #0x34]
0xfffffff009a5fa38: 48000034  cbz	w8, #0xfffffff009a5fa40
0xfffffff009a5fa3c: 76c60239  strb	w22, [x19, #0xb1]
0xfffffff009a5fa40: b5060011  add	w21, w21, #1
0xfffffff009a5fa44: 682a40b9  ldr	w8, [x19, #0x28]
0xfffffff009a5fa48: bf02086b  cmp	w21, w8
0xfffffff009a5fa4c: 23faff54  b.lo	#0xfffffff009a5f990
0xfffffff009a5fa50: 06000014  b	#0xfffffff009a5fa68
0xfffffff009a5fa54: 01f07dd3  lsl	x1, x0, #3
0xfffffff009a5fa58: a012fff0  adrp	x0, #0xfffffff007cb6000
0xfffffff009a5fa5c: 00203591  add	x0, x0, #0xd48
0xfffffff009a5fa60: dcdca397  bl	#0xfffffff008356dd0
0xfffffff009a5fa64: 602e00f9  str	x0, [x19, #0x58]
0xfffffff009a5fa68: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff009a5fa6c: e81700f9  str	x8, [sp, #0x28]
0xfffffff009a5fa70: 683a40b9  ldr	w8, [x19, #0x38]
0xfffffff009a5fa74: e8070034  cbz	w8, #0xfffffff009a5fb70
0xfffffff009a5fa78: 14008052  mov	w20, #0
0xfffffff009a5fa7c: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff009a5fa80: 693240b9  ldr	w9, [x19, #0x30]
0xfffffff009a5fa84: 0809c91a  udiv	w8, w8, w9
0xfffffff009a5fa88: e82300b9  str	w8, [sp, #0x20]
0xfffffff009a5fa8c: 684600b9  str	w8, [x19, #0x44]
0xfffffff009a5fa90: ff0f00f9  str	xzr, [sp, #0x18]
0xfffffff009a5fa94: 700240f9  ldr	x16, [x19]
0xfffffff009a5fa98: f10313aa  mov	x17, x19
0xfffffff009a5fa9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a5faa0: 301ac1da  autda	x16, x17
0xfffffff009a5faa4: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff009a5faa8: e90310aa  mov	x9, x16
0xfffffff009a5faac: e1830091  add	x1, sp, #0x20
0xfffffff009a5fab0: e2630091  add	x2, sp, #0x18
0xfffffff009a5fab4: e00313aa  mov	x0, x19
0xfffffff009a5fab8: f10309aa  mov	x17, x9
0xfffffff009a5fabc: 91b9fbf2  movk	x17, #0xddcc, lsl #48
0xfffffff009a5fac0: 11093fd7  blraa	x8, x17
0xfffffff009a5fac4: e10f40f9  ldr	x1, [sp, #0x18]
0xfffffff009a5fac8: c0030035  cbnz	w0, #0xfffffff009a5fb40
0xfffffff009a5facc: a10300b4  cbz	x1, #0xfffffff009a5fb40
0xfffffff009a5fad0: 603640f9  ldr	x0, [x19, #0x68]
0xfffffff009a5fad4: 100040f9  ldr	x16, [x0]
