; Candidate 1365
; ADRP+ADD at VM 0xfffffff0083893d4 (fileoff 0x13853d4): page=0x1fed14000 add_imm=0xe71

0xfffffff008389354: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008389358: e90310aa  mov	x9, x16
0xfffffff00838935c: e00316aa  mov	x0, x22
0xfffffff008389360: f10309aa  mov	x17, x9
0xfffffff008389364: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008389368: 11093fd7  blraa	x8, x17
0xfffffff00838936c: 88f100d0  adrp	x8, #0xfffffff00a1bb000
0xfffffff008389370: 08894c39  ldrb	w8, [x8, #0x322]
0xfffffff008389374: e94f40b9  ldr	w9, [sp, #0x4c]
0xfffffff008389378: 361d480a  and	w22, w9, w8, lsr #7
0xfffffff00838937c: fa040036  tbz	w26, #0, #0xfffffff008389418
0xfffffff008389380: a868ffb0  adrp	x8, #0xfffffff00709e000
0xfffffff008389384: 08292291  add	x8, x8, #0x88a
0xfffffff008389388: a968ffb0  adrp	x9, #0xfffffff00709e000
0xfffffff00838938c: 29a92191  add	x9, x9, #0x86a
0xfffffff008389390: bf020071  cmp	w21, #0
0xfffffff008389394: 2811889a  csel	x8, x9, x8, ne
0xfffffff008389398: e9f500f0  adrp	x9, #0xfffffff00a248000
0xfffffff00838939c: 0a69ff90  adrp	x10, #0xfffffff0070a9000
0xfffffff0083893a0: 4a853a91  add	x10, x10, #0xea1
0xfffffff0083893a4: 9f0200f1  cmp	x20, #0
0xfffffff0083893a8: 4a01949a  csel	x10, x10, x20, eq
0xfffffff0083893ac: 295140b9  ldr	w9, [x9, #0x50]
0xfffffff0083893b0: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0083893b4: ffcf00a9  stp	xzr, x19, [sp, #8]
0xfffffff0083893b8: e80300f9  str	x8, [sp]
0xfffffff0083893bc: a268ffb0  adrp	x2, #0xfffffff00709e000
0xfffffff0083893c0: 42202091  add	x2, x2, #0x808
0xfffffff0083893c4: e0031caa  mov	x0, x28
0xfffffff0083893c8: 01208052  mov	w1, #0x100
0xfffffff0083893cc: 64c6f997  bl	#0xfffffff0081fad5c
0xfffffff0083893d0: fc0300f9  str	x28, [sp]
0xfffffff0083893d4: a068ff90  adrp	x0, #0xfffffff00709d000
0xfffffff0083893d8: 00c43991  add	x0, x0, #0xe71
0xfffffff0083893dc: 1137ff97  bl	#0xfffffff008357020
0xfffffff0083893e0: 96040034  cbz	w22, #0xfffffff008389470
0xfffffff0083893e4: 48d18252  mov	w8, #0x168a
0xfffffff0083893e8: a968ff90  adrp	x9, #0xfffffff00709d000
0xfffffff0083893ec: 29bd3a91  add	x9, x9, #0xeaf
0xfffffff0083893f0: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0083893f4: fc0300f9  str	x28, [sp]
0xfffffff0083893f8: 0069ff90  adrp	x0, #0xfffffff0070a9000
0xfffffff0083893fc: 00381691  add	x0, x0, #0x58e
0xfffffff008389400: 432c0494  bl	#0xfffffff00849450c
0xfffffff008389404: b8f8ffb5  cbnz	x24, #0xfffffff008389318
0xfffffff008389408: ceffff17  b	#0xfffffff008389340
0xfffffff00838940c: 88f100d0  adrp	x8, #0xfffffff00a1bb000
0xfffffff008389410: 08894c39  ldrb	w8, [x8, #0x322]
0xfffffff008389414: 161f480a  and	w22, w24, w8, lsr #7
0xfffffff008389418: a868ffb0  adrp	x8, #0xfffffff00709e000
0xfffffff00838941c: 08292291  add	x8, x8, #0x88a
0xfffffff008389420: a968ffb0  adrp	x9, #0xfffffff00709e000
0xfffffff008389424: 29a92191  add	x9, x9, #0x86a
0xfffffff008389428: bf020071  cmp	w21, #0
0xfffffff00838942c: 2811889a  csel	x8, x9, x8, ne
0xfffffff008389430: 0969ff90  adrp	x9, #0xfffffff0070a9000
0xfffffff008389434: 29853a91  add	x9, x9, #0xea1
0xfffffff008389438: 9f0200f1  cmp	x20, #0
0xfffffff00838943c: 2901949a  csel	x9, x9, x20, eq
0xfffffff008389440: f32701a9  stp	x19, x9, [sp, #0x10]
0xfffffff008389444: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008389448: a268ffb0  adrp	x2, #0xfffffff00709e000
0xfffffff00838944c: 425c2291  add	x2, x2, #0x897
0xfffffff008389450: e0031caa  mov	x0, x28
