; Candidate 13278
; ADRP+ADD at VM 0xfffffff009260650 (fileoff 0x225c650): page=0x1fe25b000 add_imm=0xe38

0xfffffff0092605d0: 0b3800f9  str	x11, [x0, #0x70]
0xfffffff0092605d4: 8b01c0da  rbit	x11, x12
0xfffffff0092605d8: 6b11c0da  clz	x11, x11
0xfffffff0092605dc: 0b5400b9  str	w11, [x0, #0x54]
0xfffffff0092605e0: c8020034  cbz	w8, #0xfffffff009260638
0xfffffff0092605e4: 4c0d40f9  ldr	x12, [x10, #0x18]
0xfffffff0092605e8: 0ae00191  add	x10, x0, #0x78
0xfffffff0092605ec: 0b0c40f9  ldr	x11, [x0, #0x18]
0xfffffff0092605f0: 8c310091  add	x12, x12, #0xc
0xfffffff0092605f4: 0d138052  mov	w13, #0x98
0xfffffff0092605f8: 2e008052  mov	w14, #1
0xfffffff0092605fc: 91bd7f29  ldp	w17, w15, [x12, #-4]
0xfffffff009260600: 90915f38  ldurb	w16, [x12, #-7]
0xfffffff009260604: 21260d9b  madd	x1, x17, x13, x9
0xfffffff009260608: 2f0800b9  str	w15, [x1, #8]
0xfffffff00926060c: 301800b9  str	w16, [x1, #0x18]
0xfffffff009260610: d021cf9a  lsl	x16, x14, x15
0xfffffff009260614: 6b0110aa  orr	x11, x11, x16
0xfffffff009260618: 50796ff8  ldr	x16, [x10, x15, lsl #3]
0xfffffff00926061c: d121d19a  lsl	x17, x14, x17
0xfffffff009260620: 100211aa  orr	x16, x16, x17
0xfffffff009260624: 50792ff8  str	x16, [x10, x15, lsl #3]
0xfffffff009260628: 8ce10191  add	x12, x12, #0x78
0xfffffff00926062c: 080500f1  subs	x8, x8, #1
0xfffffff009260630: 61feff54  b.ne	#0xfffffff0092605fc
0xfffffff009260634: 0b0c00f9  str	x11, [x0, #0x18]
0xfffffff009260638: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00926063c: ff430291  add	sp, sp, #0x90
0xfffffff009260640: ff0f5fd6  retab	
0xfffffff009260644: 2ca30094  bl	#0xfffffff0092892f4
0xfffffff009260648: 08018052  mov	w8, #8
0xfffffff00926064c: ef2300a9  stp	x15, x8, [sp]
0xfffffff009260650: c012fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009260654: 00e03891  add	x0, x0, #0xe38
0xfffffff009260658: adcfc897  bl	#0xfffffff00849450c
0xfffffff00926065c: 5f2403d5  bti	c
0xfffffff009260660: 282840b9  ldr	w8, [x1, #0x28]
0xfffffff009260664: e800f837  tbnz	w8, #0x1f, #0xfffffff009260680
0xfffffff009260668: 092c40b9  ldr	w9, [x0, #0x2c]
0xfffffff00926066c: 1f01096b  cmp	w8, w9
0xfffffff009260670: 82000054  b.hs	#0xfffffff009260680
0xfffffff009260674: 09138052  mov	w9, #0x98
0xfffffff009260678: 0801099b  madd	x8, x8, x9, x0
0xfffffff00926067c: 1f8d00b9  str	wzr, [x8, #0x8c]
0xfffffff009260680: c0035fd6  ret	
0xfffffff009260684: 7f2303d5  pacibsp	
0xfffffff009260688: ffc302d1  sub	sp, sp, #0xb0
0xfffffff00926068c: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff009260690: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff009260694: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff009260698: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff00926069c: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0092606a0: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0092606a4: fd830291  add	x29, sp, #0xa0
0xfffffff0092606a8: f90300aa  mov	x25, x0
0xfffffff0092606ac: e1010034  cbz	w1, #0xfffffff0092606e8
0xfffffff0092606b0: e00319aa  mov	x0, x25
0xfffffff0092606b4: 01378052  mov	w1, #0x1b8
0xfffffff0092606b8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0092606bc: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0092606c0: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0092606c4: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0092606c8: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0092606cc: fc6f45a9  ldp	x28, x27, [sp, #0x50]
