; Candidate 1477
; ADRP+ADD at VM 0xfffffff008433b88 (fileoff 0x142fb88): page=0x1fec71000 add_imm=0xdf4

0xfffffff008433b08: 00543591  add	x0, x0, #0xd55
0xfffffff008433b0c: 458dfc97  bl	#0xfffffff008357020
0xfffffff008433b10: 8063ffb0  adrp	x0, #0xfffffff0070a4000
0xfffffff008433b14: 002c3691  add	x0, x0, #0xd8b
0xfffffff008433b18: c8d5fb97  bl	#0xfffffff008329238
0xfffffff008433b1c: f40300aa  mov	x20, x0
0xfffffff008433b20: 20ef00b0  adrp	x0, #0xfffffff00a218000
0xfffffff008433b24: 00c00791  add	x0, x0, #0x1f0
0xfffffff008433b28: 100040f9  ldr	x16, [x0]
0xfffffff008433b2c: f10300aa  mov	x17, x0
0xfffffff008433b30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008433b34: 301ac1da  autda	x16, x17
0xfffffff008433b38: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008433b3c: e90310aa  mov	x9, x16
0xfffffff008433b40: f10309aa  mov	x17, x9
0xfffffff008433b44: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008433b48: 11093fd7  blraa	x8, x17
0xfffffff008433b4c: 000a00b4  cbz	x0, #0xfffffff008433c8c
0xfffffff008433b50: f50300aa  mov	x21, x0
0xfffffff008433b54: 100040f9  ldr	x16, [x0]
0xfffffff008433b58: f10300aa  mov	x17, x0
0xfffffff008433b5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008433b60: 301ac1da  autda	x16, x17
0xfffffff008433b64: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff008433b68: e90310aa  mov	x9, x16
0xfffffff008433b6c: 8163ffb0  adrp	x1, #0xfffffff0070a4000
0xfffffff008433b70: 21f43691  add	x1, x1, #0xdbd
0xfffffff008433b74: f10309aa  mov	x17, x9
0xfffffff008433b78: b1ddf4f2  movk	x17, #0xa6ed, lsl #48
0xfffffff008433b7c: 11093fd7  blraa	x8, x17
0xfffffff008433b80: 20070036  tbz	w0, #0, #0xfffffff008433c64
0xfffffff008433b84: 940c00b4  cbz	x20, #0xfffffff008433d14
0xfffffff008433b88: 8063ffb0  adrp	x0, #0xfffffff0070a4000
0xfffffff008433b8c: 00d03791  add	x0, x0, #0xdf4
0xfffffff008433b90: 010080d2  mov	x1, #0
0xfffffff008433b94: 3f59fd97  bl	#0xfffffff00838a090
0xfffffff008433b98: f70300aa  mov	x23, x0
0xfffffff008433b9c: 01008092  mov	x1, #-1
0xfffffff008433ba0: 020080d2  mov	x2, #0
0xfffffff008433ba4: 671bfd97  bl	#0xfffffff00837a940
0xfffffff008433ba8: f60300aa  mov	x22, x0
0xfffffff008433bac: f00240f9  ldr	x16, [x23]
0xfffffff008433bb0: f10317aa  mov	x17, x23
0xfffffff008433bb4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008433bb8: 301ac1da  autda	x16, x17
0xfffffff008433bbc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008433bc0: e90310aa  mov	x9, x16
0xfffffff008433bc4: e00317aa  mov	x0, x23
0xfffffff008433bc8: f10309aa  mov	x17, x9
0xfffffff008433bcc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008433bd0: 11093fd7  blraa	x8, x17
0xfffffff008433bd4: 760300b4  cbz	x22, #0xfffffff008433c40
0xfffffff008433bd8: d00240f9  ldr	x16, [x22]
0xfffffff008433bdc: f10316aa  mov	x17, x22
0xfffffff008433be0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008433be4: 301ac1da  autda	x16, x17
0xfffffff008433be8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008433bec: e90310aa  mov	x9, x16
0xfffffff008433bf0: e00316aa  mov	x0, x22
0xfffffff008433bf4: f10309aa  mov	x17, x9
0xfffffff008433bf8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008433bfc: 11093fd7  blraa	x8, x17
0xfffffff008433c00: d00240f9  ldr	x16, [x22]
0xfffffff008433c04: f10316aa  mov	x17, x22
