; Candidate 5308
; ADRP+ADD at VM 0xfffffff0087e6398 (fileoff 0x17e2398): page=0x1fea03000 add_imm=0xe80

0xfffffff0087e6318: 1701789e  fcvtzs	x23, d8
0xfffffff0087e631c: 16020034  cbz	w22, #0xfffffff0087e635c
0xfffffff0087e6320: f7d303a9  stp	x23, x20, [sp, #0x38]
0xfffffff0087e6324: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6328: 08d52d91  add	x8, x8, #0xb75
0xfffffff0087e632c: c91a8052  mov	w9, #0xd6
0xfffffff0087e6330: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e6334: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6338: 08993191  add	x8, x8, #0xc66
0xfffffff0087e633c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e6340: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087e6344: 680e8052  mov	w8, #0x73
0xfffffff0087e6348: 6051ffb0  adrp	x0, #0xfffffff007213000
0xfffffff0087e634c: 001c2e91  add	x0, x0, #0xb87
0xfffffff0087e6350: f52300a9  stp	x21, x8, [sp]
0xfffffff0087e6354: 4344d797  bl	#0xfffffff007db7460
0xfffffff0087e6358: 18000014  b	#0xfffffff0087e63b8
0xfffffff0087e635c: 94370394  bl	#0xfffffff0088b41ac
0xfffffff0087e6360: f50300aa  mov	x21, x0
0xfffffff0087e6364: 80008052  mov	w0, #4
0xfffffff0087e6368: 3a550294  bl	#0xfffffff00887b850
0xfffffff0087e636c: f7d303a9  stp	x23, x20, [sp, #0x38]
0xfffffff0087e6370: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6374: 08d52d91  add	x8, x8, #0xb75
0xfffffff0087e6378: c91a8052  mov	w9, #0xd6
0xfffffff0087e637c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e6380: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6384: 08993191  add	x8, x8, #0xc66
0xfffffff0087e6388: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e638c: 680e8052  mov	w8, #0x73
0xfffffff0087e6390: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e6394: f50300f9  str	x21, [sp]
0xfffffff0087e6398: 0050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e639c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e63a0: 0191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e63a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e63a8: c352ff90  adrp	x3, #0xfffffff00723e000
0xfffffff0087e63ac: 63c01491  add	x3, x3, #0x530
0xfffffff0087e63b0: 02008052  mov	w2, #0
0xfffffff0087e63b4: 5f33ed97  bl	#0xfffffff008333130
0xfffffff0087e63b8: 407d8012  mov	w0, #-0x3eb
0xfffffff0087e63bc: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087e63c0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087e63c4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087e63c8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087e63cc: e923456d  ldp	d9, d8, [sp, #0x50]
0xfffffff0087e63d0: ff830291  add	sp, sp, #0xa0
0xfffffff0087e63d4: ff0f5fd6  retab	
0xfffffff0087e63d8: 7f2303d5  pacibsp	
0xfffffff0087e63dc: ff8301d1  sub	sp, sp, #0x60
0xfffffff0087e63e0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087e63e4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0087e63e8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0087e63ec: fd430191  add	x29, sp, #0x50
0xfffffff0087e63f0: 600e8052  mov	w0, #0x73
0xfffffff0087e63f4: c1008052  mov	w1, #6
0xfffffff0087e63f8: f6540294  bl	#0xfffffff00887b7d0
0xfffffff0087e63fc: 60040034  cbz	w0, #0xfffffff0087e6488
0xfffffff0087e6400: 600e8052  mov	w0, #0x73
0xfffffff0087e6404: 05550294  bl	#0xfffffff00887b818
0xfffffff0087e6408: f40300aa  mov	x20, x0
0xfffffff0087e640c: 68370394  bl	#0xfffffff0088b41ac
0xfffffff0087e6410: f30300aa  mov	x19, x0
0xfffffff0087e6414: c0008052  mov	w0, #6
