; Candidate 641
; ADRP+ADD at VM 0xfffffff007fcbbd0 (fileoff 0xfc7bd0): page=0x1ff9b1000 add_imm=0xcf0

0xfffffff007fcbb50: 60070035  cbnz	w0, #0xfffffff007fcbc3c
0xfffffff007fcbb54: b5060091  add	x21, x21, #1
0xfffffff007fcbb58: 680280b9  ldrsw	x8, [x19]
0xfffffff007fcbb5c: 94420091  add	x20, x20, #0x10
0xfffffff007fcbb60: bf0208eb  cmp	x21, x8
0xfffffff007fcbb64: 0bffff54  b.lt	#0xfffffff007fcbb44
0xfffffff007fcbb68: 600640f9  ldr	x0, [x19, #8]
0xfffffff007fcbb6c: 400700b4  cbz	x0, #0xfffffff007fcbc54
0xfffffff007fcbb70: 08504039  ldrb	w8, [x0, #0x14]
0xfffffff007fcbb74: c8070036  tbz	w8, #0, #0xfffffff007fcbc6c
0xfffffff007fcbb78: 5c410c94  bl	#0xfffffff0082dc0e8
0xfffffff007fcbb7c: 080080d2  mov	x8, #0
0xfffffff007fcbb80: 94d038d5  mrs	x20, tpidr_el1
0xfffffff007fcbb84: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff007fcbb88: b6130190  adrp	x22, #0xfffffff00a23f000
0xfffffff007fcbb8c: d6220991  add	x22, x22, #0x248
0xfffffff007fcbb90: c97ee8c8  casa	x8, x9, [x22]
0xfffffff007fcbb94: 1f0100f1  cmp	x8, #0
0xfffffff007fcbb98: 61070054  b.ne	#0xfffffff007fcbc84
0xfffffff007fcbb9c: a8130190  adrp	x8, #0xfffffff00a23f000
0xfffffff007fcbba0: 098942b9  ldr	w9, [x8, #0x288]
0xfffffff007fcbba4: 3f010071  cmp	w9, #0
0xfffffff007fcbba8: ad070054  b.le	#0xfffffff007fcbc9c
0xfffffff007fcbbac: 29050071  subs	w9, w9, #1
0xfffffff007fcbbb0: 098902b9  str	w9, [x8, #0x288]
0xfffffff007fcbbb4: 81010054  b.ne	#0xfffffff007fcbbe4
0xfffffff007fcbbb8: b7130190  adrp	x23, #0xfffffff00a23f000
0xfffffff007fcbbbc: f53a41f9  ldr	x21, [x23, #0x270]
0xfffffff007fcbbc0: 150100b4  cbz	x21, #0xfffffff007fcbbe0
0xfffffff007fcbbc4: a00240f9  ldr	x0, [x21]
0xfffffff007fcbbc8: bf0200f9  str	xzr, [x21]
0xfffffff007fcbbcc: 43040b94  bl	#0xfffffff00828ccd8
0xfffffff007fcbbd0: 80cdffb0  adrp	x0, #0xfffffff00797c000
0xfffffff007fcbbd4: 00c03391  add	x0, x0, #0xcf0
0xfffffff007fcbbd8: e10315aa  mov	x1, x21
0xfffffff007fcbbdc: 0cf8f897  bl	#0xfffffff007e09c0c
0xfffffff007fcbbe0: ff3a01f9  str	xzr, [x23, #0x270]
0xfffffff007fcbbe4: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff007fcbbe8: e20308aa  mov	x2, x8
0xfffffff007fcbbec: dffea288  casl	w2, wzr, [x22]
0xfffffff007fcbbf0: 5f00086b  cmp	w2, w8
0xfffffff007fcbbf4: 01060054  b.ne	#0xfffffff007fcbcb4
0xfffffff007fcbbf8: e00313aa  mov	x0, x19
0xfffffff007fcbbfc: 01008052  mov	w1, #0
0xfffffff007fcbc00: 020a8052  mov	w2, #0x50
0xfffffff007fcbc04: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff007fcbc08: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff007fcbc0c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff007fcbc10: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff007fcbc14: ff2303d5  autibsp	
0xfffffff007fcbc18: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007fcbc1c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007fcbc24
0xfffffff007fcbc20: 208e38d4  brk	#0xc471
0xfffffff007fcbc24: e703f617  b	#0xfffffff007d4cbc0
0xfffffff007fcbc28: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff007fcbc2c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff007fcbc30: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff007fcbc34: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff007fcbc38: ff0f5fd6  retab	
0xfffffff007fcbc3c: e084ff90  adrp	x0, #0xfffffff007067000
0xfffffff007fcbc40: 00642191  add	x0, x0, #0x859
0xfffffff007fcbc44: e184ff90  adrp	x1, #0xfffffff007067000
0xfffffff007fcbc48: 21300791  add	x1, x1, #0x1cc
0xfffffff007fcbc4c: e28b8152  mov	w2, #0xc5f
