; Candidate 13762
; ADRP+ADD at VM 0xfffffff0095775bc (fileoff 0x25735bc): page=0x1fdfe6000 add_imm=0xd89

0xfffffff00957753c: 69020054  b.ls	#0xfffffff009577588
0xfffffff009577540: f50301aa  mov	x21, x1
0xfffffff009577544: 280008cb  sub	x8, x1, x8
0xfffffff009577548: 1f0108f1  cmp	x8, #0x200
0xfffffff00957754c: a2020054  b.hs	#0xfffffff0095775a0
0xfffffff009577550: f30302aa  mov	x19, x2
0xfffffff009577554: f40300aa  mov	x20, x0
0xfffffff009577558: 5f4ba597  bl	#0xfffffff007eca2d4
0xfffffff00957755c: b30200f9  str	x19, [x21]
0xfffffff009577560: e00314aa  mov	x0, x20
0xfffffff009577564: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009577568: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00957756c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009577570: ff430191  add	sp, sp, #0x50
0xfffffff009577574: ff2303d5  autibsp	
0xfffffff009577578: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00957757c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009577584
0xfffffff009577580: 208e38d4  brk	#0xc471
0xfffffff009577584: 764ba517  b	#0xfffffff007eca35c
0xfffffff009577588: c8528152  mov	w8, #0xa96
0xfffffff00957758c: 29fffed0  adrp	x9, #0xfffffff00755d000
0xfffffff009577590: 29ad3491  add	x9, x9, #0xd2b
0xfffffff009577594: 2afffed0  adrp	x10, #0xfffffff00755d000
0xfffffff009577598: 4a213991  add	x10, x10, #0xe48
0xfffffff00957759c: 06000014  b	#0xfffffff0095775b4
0xfffffff0095775a0: c8498152  mov	w8, #0xa4e
0xfffffff0095775a4: 29fffed0  adrp	x9, #0xfffffff00755d000
0xfffffff0095775a8: 29ad3491  add	x9, x9, #0xd2b
0xfffffff0095775ac: 2afffed0  adrp	x10, #0xfffffff00755d000
0xfffffff0095775b0: 4a4d3891  add	x10, x10, #0xe13
0xfffffff0095775b4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0095775b8: ea0300f9  str	x10, [sp]
0xfffffff0095775bc: 20fffed0  adrp	x0, #0xfffffff00755d000
0xfffffff0095775c0: 00243691  add	x0, x0, #0xd89
0xfffffff0095775c4: d273bc97  bl	#0xfffffff00849450c
0xfffffff0095775c8: 7f2303d5  pacibsp	
0xfffffff0095775cc: ff0301d1  sub	sp, sp, #0x40
0xfffffff0095775d0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0095775d4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0095775d8: fdc30091  add	x29, sp, #0x30
0xfffffff0095775dc: 08600091  add	x8, x0, #0x18
0xfffffff0095775e0: 09600891  add	x9, x0, #0x218
0xfffffff0095775e4: 1f0101eb  cmp	x8, x1
0xfffffff0095775e8: 209141fa  ccmp	x9, x1, #0, ls
0xfffffff0095775ec: 29020054  b.ls	#0xfffffff009577630
0xfffffff0095775f0: f40301aa  mov	x20, x1
0xfffffff0095775f4: 280008cb  sub	x8, x1, x8
0xfffffff0095775f8: 1f0108f1  cmp	x8, #0x200
0xfffffff0095775fc: 62020054  b.hs	#0xfffffff009577648
0xfffffff009577600: f30300aa  mov	x19, x0
0xfffffff009577604: 344ba597  bl	#0xfffffff007eca2d4
0xfffffff009577608: 9f0200f9  str	xzr, [x20]
0xfffffff00957760c: e00313aa  mov	x0, x19
0xfffffff009577610: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009577614: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009577618: ff030191  add	sp, sp, #0x40
0xfffffff00957761c: ff2303d5  autibsp	
0xfffffff009577620: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009577624: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00957762c
0xfffffff009577628: 208e38d4  brk	#0xc471
0xfffffff00957762c: 4c4ba517  b	#0xfffffff007eca35c
0xfffffff009577630: c8528152  mov	w8, #0xa96
0xfffffff009577634: 29fffed0  adrp	x9, #0xfffffff00755d000
0xfffffff009577638: 29ad3491  add	x9, x9, #0xd2b
