; Candidate 5581
; ADRP+ADD at VM 0xfffffff0087f9c60 (fileoff 0x17f5c60): page=0x1fe9f0000 add_imm=0xe80

0xfffffff0087f9be0: 400000b4  cbz	x0, #0xfffffff0087f9be8
0xfffffff0087f9be4: db460294  bl	#0xfffffff00888b750
0xfffffff0087f9be8: 71e90294  bl	#0xfffffff0088b41ac
0xfffffff0087f9bec: a00318f8  stur	x0, [x29, #-0x80]
0xfffffff0087f9bf0: c0008052  mov	w0, #6
0xfffffff0087f9bf4: 17070294  bl	#0xfffffff00887b850
0xfffffff0087f9bf8: f80300aa  mov	x24, x0
0xfffffff0087f9bfc: d91a40b9  ldr	w25, [x22, #0x18]
0xfffffff0087f9c00: 7c1340b9  ldr	w28, [x27, #0x10]
0xfffffff0087f9c04: 684b40f9  ldr	x8, [x27, #0x90]
0xfffffff0087f9c08: 17c540b9  ldr	w23, [x8, #0xc4]
0xfffffff0087f9c0c: 0da943b9  ldr	w13, [x8, #0x3a8]
0xfffffff0087f9c10: 005540f9  ldr	x0, [x8, #0xa8]
0xfffffff0087f9c14: 800000b4  cbz	x0, #0xfffffff0087f9c24
0xfffffff0087f9c18: ed3f00f9  str	x13, [sp, #0x78]
0xfffffff0087f9c1c: cd460294  bl	#0xfffffff00888b750
0xfffffff0087f9c20: ed3f40f9  ldr	x13, [sp, #0x78]
0xfffffff0087f9c24: ed0306a9  stp	x13, x0, [sp, #0x60]
0xfffffff0087f9c28: e84740f9  ldr	x8, [sp, #0x88]
0xfffffff0087f9c2c: e85f05a9  stp	x8, x23, [sp, #0x50]
0xfffffff0087f9c30: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff0087f9c34: fc2304a9  stp	x28, x8, [sp, #0x40]
0xfffffff0087f9c38: f96f03a9  stp	x25, x27, [sp, #0x30]
0xfffffff0087f9c3c: 68fe8052  mov	w8, #0x7f3
0xfffffff0087f9c40: e85b02a9  stp	x8, x22, [sp, #0x20]
0xfffffff0087f9c44: fc50ffd0  adrp	x28, #0xfffffff007217000
0xfffffff0087f9c48: 9ceb0191  add	x28, x28, #0x7a
0xfffffff0087f9c4c: f87301a9  stp	x24, x28, [sp, #0x10]
0xfffffff0087f9c50: 190f8052  mov	w25, #0x78
0xfffffff0087f9c54: f90700f9  str	x25, [sp, #8]
0xfffffff0087f9c58: a80358f8  ldur	x8, [x29, #-0x80]
0xfffffff0087f9c5c: e80300f9  str	x8, [sp]
0xfffffff0087f9c60: 804fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f9c64: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f9c68: 6190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f9c6c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f9c70: 02008052  mov	w2, #0
0xfffffff0087f9c74: 4352ff90  adrp	x3, #0xfffffff007241000
0xfffffff0087f9c78: 63f82591  add	x3, x3, #0x97e
0xfffffff0087f9c7c: 2de5ec97  bl	#0xfffffff008333130
0xfffffff0087f9c80: e00316aa  mov	x0, x22
0xfffffff0087f9c84: e1031baa  mov	x1, x27
0xfffffff0087f9c88: e20313aa  mov	x2, x19
0xfffffff0087f9c8c: 0cfdff97  bl	#0xfffffff0087f90bc
0xfffffff0087f9c90: c81e40b9  ldr	w8, [x22, #0x1c]
0xfffffff0087f9c94: c8ebff35  cbnz	w8, #0xfffffff0087f9a0c
0xfffffff0087f9c98: c00a40f9  ldr	x0, [x22, #0x10]
0xfffffff0087f9c9c: c21a40b9  ldr	w2, [x22, #0x18]
0xfffffff0087f9ca0: e1031baa  mov	x1, x27
0xfffffff0087f9ca4: de9d0094  bl	#0xfffffff00882141c
0xfffffff0087f9ca8: 59ffff17  b	#0xfffffff0087f9a0c
0xfffffff0087f9cac: 00008052  mov	w0, #0
0xfffffff0087f9cb0: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff0087f9cb4: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff0087f9cb8: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff0087f9cbc: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff0087f9cc0: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff0087f9cc4: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff0087f9cc8: ff830491  add	sp, sp, #0x120
0xfffffff0087f9ccc: ff0f5fd6  retab	
0xfffffff0087f9cd0: 5f2403d5  bti	c
0xfffffff0087f9cd4: 081c40b9  ldr	w8, [x0, #0x1c]
0xfffffff0087f9cd8: 68000034  cbz	w8, #0xfffffff0087f9ce4
0xfffffff0087f9cdc: 00008052  mov	w0, #0
