; Candidate 3788
; ADRP+ADD at VM 0xfffffff00875c528 (fileoff 0x1758528): page=0x1fe9d5000 add_imm=0xd90

0xfffffff00875c4a8: 8d010a4b  sub	w13, w12, w10
0xfffffff00875c4ac: 9f01096b  cmp	w12, w9
0xfffffff00875c4b0: 8031417a  ccmp	w12, w1, #0, lo
0xfffffff00875c4b4: a821881a  csel	w8, w13, w8, hs
0xfffffff00875c4b8: c6100091  add	x6, x6, #4
0xfffffff00875c4bc: a5100091  add	x5, x5, #4
0xfffffff00875c4c0: 6b0500f1  subs	x11, x11, #1
0xfffffff00875c4c4: c1feff54  b.ne	#0xfffffff00875c49c
0xfffffff00875c4c8: 02000014  b	#0xfffffff00875c4d0
0xfffffff00875c4cc: 08008012  mov	w8, #-1
0xfffffff00875c4d0: 1f050031  cmn	w8, #1
0xfffffff00875c4d4: 8008407a  ccmp	w4, #0, #0, eq
0xfffffff00875c4d8: e003881a  csel	w0, wzr, w8, eq
0xfffffff00875c4dc: c0035fd6  ret	
0xfffffff00875c4e0: 5f2403d5  bti	c
0xfffffff00875c4e4: 012805f9  str	x1, [x0, #0xa50]
0xfffffff00875c4e8: c0035fd6  ret	
0xfffffff00875c4ec: 5f2403d5  bti	c
0xfffffff00875c4f0: 00f04ab9  ldr	w0, [x0, #0xaf0]
0xfffffff00875c4f4: c0035fd6  ret	
0xfffffff00875c4f8: 7f2303d5  pacibsp	
0xfffffff00875c4fc: ff8300d1  sub	sp, sp, #0x20
0xfffffff00875c500: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00875c504: fd430091  add	x29, sp, #0x10
0xfffffff00875c508: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff00875c50c: 081142f9  ldr	x8, [x8, #0x420]
0xfffffff00875c510: 680000b4  cbz	x8, #0xfffffff00875c51c
0xfffffff00875c514: 00210091  add	x0, x8, #8
0xfffffff00875c518: 0d000014  b	#0xfffffff00875c54c
0xfffffff00875c51c: e84fffb0  adrp	x8, #0xfffffff007159000
0xfffffff00875c520: 08e12791  add	x8, x8, #0x9f8
0xfffffff00875c524: e80700a9  stp	x8, x1, [sp]
0xfffffff00875c528: a04effb0  adrp	x0, #0xfffffff007131000
0xfffffff00875c52c: 00403691  add	x0, x0, #0xd90
0xfffffff00875c530: 0195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875c534: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875c538: 234fffb0  adrp	x3, #0xfffffff007141000
0xfffffff00875c53c: 63d03f91  add	x3, x3, #0xff4
0xfffffff00875c540: 02008052  mov	w2, #0
0xfffffff00875c544: fb5aef97  bl	#0xfffffff008333130
0xfffffff00875c548: 000080d2  mov	x0, #0
0xfffffff00875c54c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00875c550: ff830091  add	sp, sp, #0x20
0xfffffff00875c554: ff0f5fd6  retab	
0xfffffff00875c558: 5f2403d5  bti	c
0xfffffff00875c55c: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff00875c560: 081142f9  ldr	x8, [x8, #0x420]
0xfffffff00875c564: 08b140b9  ldr	w8, [x8, #0xb0]
0xfffffff00875c568: 1f010071  cmp	w8, #0
0xfffffff00875c56c: e0179f1a  cset	w0, eq
0xfffffff00875c570: c0035fd6  ret	
0xfffffff00875c574: 7f2303d5  pacibsp	
0xfffffff00875c578: ff8300d1  sub	sp, sp, #0x20
0xfffffff00875c57c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00875c580: fd430091  add	x29, sp, #0x10
0xfffffff00875c584: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff00875c588: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff00875c58c: 680000b4  cbz	x8, #0xfffffff00875c598
0xfffffff00875c590: 00210091  add	x0, x8, #8
0xfffffff00875c594: 0d000014  b	#0xfffffff00875c5c8
0xfffffff00875c598: e84fffb0  adrp	x8, #0xfffffff007159000
0xfffffff00875c59c: 08292891  add	x8, x8, #0xa0a
0xfffffff00875c5a0: e80700a9  stp	x8, x1, [sp]
0xfffffff00875c5a4: a04effb0  adrp	x0, #0xfffffff007131000
