; Candidate 3369
; ADRP+ADD at VM 0xfffffff00873833c (fileoff 0x173433c): page=0x1fe9f9000 add_imm=0xd90

0xfffffff0087382bc: 11f9e7f2  movk	x17, #0x3fc8, lsl #48
0xfffffff0087382c0: 110a1fd7  braa	x16, x17
0xfffffff0087382c4: 9f2403d5  bti	j
0xfffffff0087382c8: 700240f9  ldr	x16, [x19]
0xfffffff0087382cc: f10313aa  mov	x17, x19
0xfffffff0087382d0: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff0087382d4: 301ac1da  autda	x16, x17
0xfffffff0087382d8: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff0087382dc: e10310aa  mov	x1, x16
0xfffffff0087382e0: f00308aa  mov	x16, x8
0xfffffff0087382e4: e00313aa  mov	x0, x19
0xfffffff0087382e8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0087382ec: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087382f0: ffc30091  add	sp, sp, #0x30
0xfffffff0087382f4: ff2303d5  autibsp	
0xfffffff0087382f8: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0087382fc: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008738304
0xfffffff008738300: 208e38d4  brk	#0xc471
0xfffffff008738304: f10301aa  mov	x17, x1
0xfffffff008738308: 9104e2f2  movk	x17, #0x1024, lsl #48
0xfffffff00873830c: 110a1fd7  braa	x16, x17
0xfffffff008738310: 0c000000  udf	#0xc
0xfffffff008738314: f4000000  udf	#0xf4
0xfffffff008738318: 40010000  udf	#0x140
0xfffffff00873831c: 8c010000  udf	#0x18c
0xfffffff008738320: 7f2303d5  pacibsp	
0xfffffff008738324: ff8300d1  sub	sp, sp, #0x20
0xfffffff008738328: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00873832c: fd430091  add	x29, sp, #0x10
0xfffffff008738330: e850ffd0  adrp	x8, #0xfffffff007156000
0xfffffff008738334: 08293b91  add	x8, x8, #0xeca
0xfffffff008738338: e80300f9  str	x8, [sp]
0xfffffff00873833c: c04fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008738340: 00403691  add	x0, x0, #0xd90
0xfffffff008738344: 2196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008738348: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873834c: 0350fff0  adrp	x3, #0xfffffff00713b000
0xfffffff008738350: 63201791  add	x3, x3, #0x5c8
0xfffffff008738354: 02008052  mov	w2, #0
0xfffffff008738358: 76ebef97  bl	#0xfffffff008333130
0xfffffff00873835c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008738360: ff830091  add	sp, sp, #0x20
0xfffffff008738364: ff0f5fd6  retab	
0xfffffff008738368: 7f2303d5  pacibsp	
0xfffffff00873836c: ff8300d1  sub	sp, sp, #0x20
0xfffffff008738370: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008738374: fd430091  add	x29, sp, #0x10
0xfffffff008738378: e850ffd0  adrp	x8, #0xfffffff007156000
0xfffffff00873837c: 08013c91  add	x8, x8, #0xf00
0xfffffff008738380: e80300f9  str	x8, [sp]
0xfffffff008738384: c04fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008738388: 00403691  add	x0, x0, #0xd90
0xfffffff00873838c: 2196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008738390: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008738394: 0350fff0  adrp	x3, #0xfffffff00713b000
0xfffffff008738398: 63e01791  add	x3, x3, #0x5f8
0xfffffff00873839c: 02008052  mov	w2, #0
0xfffffff0087383a0: 64ebef97  bl	#0xfffffff008333130
0xfffffff0087383a4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087383a8: ff830091  add	sp, sp, #0x20
0xfffffff0087383ac: ff0f5fd6  retab	
0xfffffff0087383b0: 7f2303d5  pacibsp	
0xfffffff0087383b4: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087383b8: fa6704a9  stp	x26, x25, [sp, #0x40]
