; Candidate 10238
; ADRP+ADD at VM 0xfffffff008cc52c8 (fileoff 0x1cc12c8): page=0x1fe69c000 add_imm=0xdf1

0xfffffff008cc5248: 601647f9  ldr	x0, [x19, #0xe28]
0xfffffff008cc524c: 4134ffd0  adrp	x1, #0xfffffff00734f000
0xfffffff008cc5250: 21041191  add	x1, x1, #0x441
0xfffffff008cc5254: 87fee697  bl	#0xfffffff008684c70
0xfffffff008cc5258: 605207f9  str	x0, [x19, #0xea0]
0xfffffff008cc525c: c80240b9  ldr	w8, [x22]
0xfffffff008cc5260: 1f011d72  tst	w8, #8
0xfffffff008cc5264: e9179f1a  cset	w9, eq
0xfffffff008cc5268: 1f050072  tst	w8, #3
0xfffffff008cc526c: ea179f1a  cset	w10, eq
0xfffffff008cc5270: 29010a2a  orr	w9, w9, w10
0xfffffff008cc5274: 204100b4  cbz	x0, #0xfffffff008cc5a98
0xfffffff008cc5278: 69c80737  tbnz	w9, #0, #0xfffffff008cc4b84
0xfffffff008cc527c: 48020036  tbz	w8, #0, #0xfffffff008cc52c4
0xfffffff008cc5280: 143cc897  bl	#0xfffffff007ed42d0
0xfffffff008cc5284: ff7300f9  str	xzr, [sp, #0xe0]
0xfffffff008cc5288: e1830391  add	x1, sp, #0xe0
0xfffffff008cc528c: 6d3dc897  bl	#0xfffffff007ed4840
0xfffffff008cc5290: e87340f9  ldr	x8, [sp, #0xe0]
0xfffffff008cc5294: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc5298: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc529c: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cc52a0: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cc52a4: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cc52a8: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc52ac: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cc52b0: e80300f9  str	x8, [sp]
0xfffffff008cc52b4: e034ff90  adrp	x0, #0xfffffff007361000
0xfffffff008cc52b8: 00303791  add	x0, x0, #0xdcc
0xfffffff008cc52bc: a5a8de97  bl	#0xfffffff00846f550
0xfffffff008cc52c0: c80240b9  ldr	w8, [x22]
0xfffffff008cc52c4: 08c60f36  tbz	w8, #1, #0xfffffff008cc4b84
0xfffffff008cc52c8: e034ff90  adrp	x0, #0xfffffff007361000
0xfffffff008cc52cc: 00c43791  add	x0, x0, #0xdf1
0xfffffff008cc52d0: 08020014  b	#0xfffffff008cc5af0
0xfffffff008cc52d4: fb588052  mov	w27, #0x2c7
0xfffffff008cc52d8: 1b00bc72  movk	w27, #0xe000, lsl #16
0xfffffff008cc52dc: e9020037  tbnz	w9, #0, #0xfffffff008cc5338
0xfffffff008cc52e0: 48020036  tbz	w8, #0, #0xfffffff008cc5328
0xfffffff008cc52e4: fb3bc897  bl	#0xfffffff007ed42d0
0xfffffff008cc52e8: ff7300f9  str	xzr, [sp, #0xe0]
0xfffffff008cc52ec: e1830391  add	x1, sp, #0xe0
0xfffffff008cc52f0: 543dc897  bl	#0xfffffff007ed4840
0xfffffff008cc52f4: e87340f9  ldr	x8, [sp, #0xe0]
0xfffffff008cc52f8: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc52fc: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc5300: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cc5304: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cc5308: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cc530c: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc5310: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cc5314: e80300f9  str	x8, [sp]
0xfffffff008cc5318: e034ff90  adrp	x0, #0xfffffff007361000
0xfffffff008cc531c: 006c3c91  add	x0, x0, #0xf1b
0xfffffff008cc5320: 8ca8de97  bl	#0xfffffff00846f550
0xfffffff008cc5324: c80240b9  ldr	w8, [x22]
0xfffffff008cc5328: 88000836  tbz	w8, #1, #0xfffffff008cc5338
0xfffffff008cc532c: e034ff90  adrp	x0, #0xfffffff007361000
0xfffffff008cc5330: 00703d91  add	x0, x0, #0xf5c
0xfffffff008cc5334: 3b47da97  bl	#0xfffffff008357020
0xfffffff008cc5338: 14008052  mov	w20, #0
0xfffffff008cc533c: 6b000014  b	#0xfffffff008cc54e8
0xfffffff008cc5340: ff830639  strb	wzr, [sp, #0x1a0]
0xfffffff008cc5344: 00e4006f  movi	v0.2d, #0000000000000000
