; Candidate 1474
; ADRP+ADD at VM 0xfffffff008433aec (fileoff 0x142faec): page=0x1fec71000 add_imm=0xd15

0xfffffff008433a6c: e00308aa  mov	x0, x8
0xfffffff008433a70: 50fdfb97  bl	#0xfffffff008332fb0
0xfffffff008433a74: 8063ffb0  adrp	x0, #0xfffffff0070a4000
0xfffffff008433a78: 00a03091  add	x0, x0, #0xc28
0xfffffff008433a7c: e2430091  add	x2, sp, #0x10
0xfffffff008433a80: 01008052  mov	w1, #0
0xfffffff008433a84: a3048052  mov	w3, #0x25
0xfffffff008433a88: a3b0fe97  bl	#0xfffffff0083dfd14
0xfffffff008433a8c: 80000035  cbnz	w0, #0xfffffff008433a9c
0xfffffff008433a90: 8063ffb0  adrp	x0, #0xfffffff0070a4000
0xfffffff008433a94: 009c3191  add	x0, x0, #0xc67
0xfffffff008433a98: 628dfc97  bl	#0xfffffff008357020
0xfffffff008433a9c: 9463ffb0  adrp	x20, #0xfffffff0070a4000
0xfffffff008433aa0: 94623091  add	x20, x20, #0xc18
0xfffffff008433aa4: e00314aa  mov	x0, x20
0xfffffff008433aa8: d6a6e497  bl	#0xfffffff007d5d600
0xfffffff008433aac: e30300aa  mov	x3, x0
0xfffffff008433ab0: 8063ffb0  adrp	x0, #0xfffffff0070a4000
0xfffffff008433ab4: 00703291  add	x0, x0, #0xc9c
0xfffffff008433ab8: 01008052  mov	w1, #0
0xfffffff008433abc: e20314aa  mov	x2, x20
0xfffffff008433ac0: 95b0fe97  bl	#0xfffffff0083dfd14
0xfffffff008433ac4: 00100035  cbnz	w0, #0xfffffff008433cc4
0xfffffff008433ac8: 8063ffb0  adrp	x0, #0xfffffff0070a4000
0xfffffff008433acc: 00503391  add	x0, x0, #0xcd4
0xfffffff008433ad0: 548dfc97  bl	#0xfffffff008357020
0xfffffff008433ad4: 7c000014  b	#0xfffffff008433cc4
0xfffffff008433ad8: 9463ffb0  adrp	x20, #0xfffffff0070a4000
0xfffffff008433adc: 940a3491  add	x20, x20, #0xd02
0xfffffff008433ae0: e00314aa  mov	x0, x20
0xfffffff008433ae4: c7a6e497  bl	#0xfffffff007d5d600
0xfffffff008433ae8: e30300aa  mov	x3, x0
0xfffffff008433aec: 8063ffb0  adrp	x0, #0xfffffff0070a4000
0xfffffff008433af0: 00543491  add	x0, x0, #0xd15
0xfffffff008433af4: 01008052  mov	w1, #0
0xfffffff008433af8: e20314aa  mov	x2, x20
0xfffffff008433afc: 86b0fe97  bl	#0xfffffff0083dfd14
0xfffffff008433b00: 80000035  cbnz	w0, #0xfffffff008433b10
0xfffffff008433b04: 8063ffb0  adrp	x0, #0xfffffff0070a4000
0xfffffff008433b08: 00543591  add	x0, x0, #0xd55
0xfffffff008433b0c: 458dfc97  bl	#0xfffffff008357020
0xfffffff008433b10: 8063ffb0  adrp	x0, #0xfffffff0070a4000
0xfffffff008433b14: 002c3691  add	x0, x0, #0xd8b
0xfffffff008433b18: c8d5fb97  bl	#0xfffffff008329238
0xfffffff008433b1c: f40300aa  mov	x20, x0
0xfffffff008433b20: 20ef00b0  adrp	x0, #0xfffffff00a218000
0xfffffff008433b24: 00c00791  add	x0, x0, #0x1f0
0xfffffff008433b28: 100040f9  ldr	x16, [x0]
0xfffffff008433b2c: f10300aa  mov	x17, x0
0xfffffff008433b30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008433b34: 301ac1da  autda	x16, x17
0xfffffff008433b38: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008433b3c: e90310aa  mov	x9, x16
0xfffffff008433b40: f10309aa  mov	x17, x9
0xfffffff008433b44: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008433b48: 11093fd7  blraa	x8, x17
0xfffffff008433b4c: 000a00b4  cbz	x0, #0xfffffff008433c8c
0xfffffff008433b50: f50300aa  mov	x21, x0
0xfffffff008433b54: 100040f9  ldr	x16, [x0]
0xfffffff008433b58: f10300aa  mov	x17, x0
0xfffffff008433b5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008433b60: 301ac1da  autda	x16, x17
0xfffffff008433b64: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff008433b68: e90310aa  mov	x9, x16
