; Candidate 14130
; ADRP+ADD at VM 0xfffffff00971f624 (fileoff 0x271b624): page=0x1fe520000 add_imm=0xde0

0xfffffff00971f5a4: 10222191  add	x16, x16, #0x848
0xfffffff00971f5a8: 10420091  add	x16, x16, #0x10
0xfffffff00971f5ac: f10300aa  mov	x17, x0
0xfffffff00971f5b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00971f5b4: 300ac1da  pacda	x16, x17
0xfffffff00971f5b8: 100000f9  str	x16, [x0]
0xfffffff00971f5bc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00971f5c0: ff0f5fd6  retab	
0xfffffff00971f5c4: 5f2403d5  bti	c
0xfffffff00971f5c8: 5ec70014  b	#0xfffffff009751340
0xfffffff00971f5cc: 5f2403d5  bti	c
0xfffffff00971f5d0: 5cc70014  b	#0xfffffff009751340
0xfffffff00971f5d4: 7f2303d5  pacibsp	
0xfffffff00971f5d8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00971f5dc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00971f5e0: fd430091  add	x29, sp, #0x10
0xfffffff00971f5e4: f30300aa  mov	x19, x0
0xfffffff00971f5e8: 56c70094  bl	#0xfffffff009751340
0xfffffff00971f5ec: 0029ff90  adrp	x0, #0xfffffff007c3f000
0xfffffff00971f5f0: 00803791  add	x0, x0, #0xde0
0xfffffff00971f5f4: e10313aa  mov	x1, x19
0xfffffff00971f5f8: 02cb8152  mov	w2, #0xe58
0xfffffff00971f5fc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00971f600: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00971f604: ff2303d5  autibsp	
0xfffffff00971f608: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00971f60c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00971f614
0xfffffff00971f610: 208e38d4  brk	#0xc471
0xfffffff00971f614: 2220af17  b	#0xfffffff0082e769c
0xfffffff00971f618: 5f2403d5  bti	c
0xfffffff00971f61c: e20301aa  mov	x2, x1
0xfffffff00971f620: e10300aa  mov	x1, x0
0xfffffff00971f624: 0029ff90  adrp	x0, #0xfffffff007c3f000
0xfffffff00971f628: 00803791  add	x0, x0, #0xde0
0xfffffff00971f62c: 1c20af17  b	#0xfffffff0082e769c
0xfffffff00971f630: 5f2403d5  bti	c
0xfffffff00971f634: 60630090  adrp	x0, #0xfffffff00a38b000
0xfffffff00971f638: 00002191  add	x0, x0, #0x840
0xfffffff00971f63c: c0035fd6  ret	
0xfffffff00971f640: 7f2303d5  pacibsp	
0xfffffff00971f644: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00971f648: fd030091  mov	x29, sp
0xfffffff00971f64c: a1f3fe90  adrp	x1, #0xfffffff007593000
0xfffffff00971f650: 21e02a91  add	x1, x1, #0xab8
0xfffffff00971f654: 62630090  adrp	x2, #0xfffffff00a38b000
0xfffffff00971f658: 42a03691  add	x2, x2, #0xda8
0xfffffff00971f65c: 03cb8152  mov	w3, #0xe58
0xfffffff00971f660: 3611af97  bl	#0xfffffff0082e3b38
0xfffffff00971f664: 5028ffd0  adrp	x16, #0xfffffff007c29000
0xfffffff00971f668: 10c23e91  add	x16, x16, #0xfb0
0xfffffff00971f66c: 10420091  add	x16, x16, #0x10
0xfffffff00971f670: f10300aa  mov	x17, x0
0xfffffff00971f674: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00971f678: 300ac1da  pacda	x16, x17
0xfffffff00971f67c: 100000f9  str	x16, [x0]
0xfffffff00971f680: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00971f684: ff0f5fd6  retab	
0xfffffff00971f688: 7f2303d5  pacibsp	
0xfffffff00971f68c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00971f690: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00971f694: fd430091  add	x29, sp, #0x10
0xfffffff00971f698: 0029ff90  adrp	x0, #0xfffffff007c3f000
0xfffffff00971f69c: 00803791  add	x0, x0, #0xde0
0xfffffff00971f6a0: 01cb8152  mov	w1, #0xe58
