; Candidate 16450
; ADRP+ADD at VM 0xfffffff009eadebc (fileoff 0x2ea9ebc): page=0x1fd98e000 add_imm=0xed4

0xfffffff009eade3c: 4a012d91  add	x10, x10, #0xb40
0xfffffff009eade40: cc020014  b	#0xfffffff009eae970
0xfffffff009eade44: e00313aa  mov	x0, x19
0xfffffff009eade48: 81008052  mov	w1, #4
0xfffffff009eade4c: 80ff0194  bl	#0xfffffff009f2dc4c
0xfffffff009eade50: 205b0036  tbz	w0, #0, #0xfffffff009eae9b4
0xfffffff009eade54: f6031aaa  mov	x22, x26
0xfffffff009eade58: a28302d1  sub	x2, x29, #0xa0
0xfffffff009eade5c: e00313aa  mov	x0, x19
0xfffffff009eade60: e10318aa  mov	x1, x24
0xfffffff009eade64: e3031aaa  mov	x3, x26
0xfffffff009eade68: e40314aa  mov	x4, x20
0xfffffff009eade6c: 78820194  bl	#0xfffffff009f0e84c
0xfffffff009eade70: f70300aa  mov	x23, x0
0xfffffff009eade74: a00d0034  cbz	w0, #0xfffffff009eae028
0xfffffff009eade78: ff060071  cmp	w23, #1
0xfffffff009eade7c: 60deff54  b.eq	#0xfffffff009eada48
0xfffffff009eade80: 48ccfef0  adrp	x8, #0xfffffff007838000
0xfffffff009eade84: 08551e91  add	x8, x8, #0x795
0xfffffff009eade88: 69ccfed0  adrp	x9, #0xfffffff00783b000
0xfffffff009eade8c: 29e93b91  add	x9, x9, #0xefa
0xfffffff009eade90: ea4b40b9  ldr	w10, [sp, #0x48]
0xfffffff009eade94: 5f010071  cmp	w10, #0
0xfffffff009eade98: 2b11889a  csel	x11, x9, x8, ne
0xfffffff009eade9c: a90640f9  ldr	x9, [x21, #8]
0xfffffff009eadea0: ea0317aa  mov	x10, x23
0xfffffff009eadea4: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009eadea8: 68ccfed0  adrp	x8, #0xfffffff00783b000
0xfffffff009eadeac: 08f13591  add	x8, x8, #0xd7c
0xfffffff009eadeb0: 09ff8e52  mov	w9, #0x77f8
0xfffffff009eadeb4: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff009eadeb8: e80300f9  str	x8, [sp]
0xfffffff009eadebc: 60ccfed0  adrp	x0, #0xfffffff00783b000
0xfffffff009eadec0: 00503b91  add	x0, x0, #0xed4
0xfffffff009eadec4: 67257c97  bl	#0xfffffff007db7460
0xfffffff009eadec8: e0feff17  b	#0xfffffff009eada48
0xfffffff009eadecc: e00313aa  mov	x0, x19
0xfffffff009eaded0: e10319aa  mov	x1, x25
0xfffffff009eaded4: e20314aa  mov	x2, x20
0xfffffff009eaded8: a6030194  bl	#0xfffffff009eeed70
0xfffffff009eadedc: a00f0034  cbz	w0, #0xfffffff009eae0d0
0xfffffff009eadee0: f90301a9  stp	x25, x0, [sp, #0x10]
0xfffffff009eadee4: 68ccfed0  adrp	x8, #0xfffffff00783b000
0xfffffff009eadee8: 08592f91  add	x8, x8, #0xbd6
0xfffffff009eadeec: 09ba8e52  mov	w9, #0x75d0
0xfffffff009eadef0: 74000014  b	#0xfffffff009eae0c0
0xfffffff009eadef4: e00313aa  mov	x0, x19
0xfffffff009eadef8: e10318aa  mov	x1, x24
0xfffffff009eadefc: e2031baa  mov	x2, x27
0xfffffff009eadf00: f82740f9  ldr	x24, [sp, #0x48]
0xfffffff009eadf04: e30318aa  mov	x3, x24
0xfffffff009eadf08: bd020094  bl	#0xfffffff009eae9fc
0xfffffff009eadf0c: 800c0034  cbz	w0, #0xfffffff009eae09c
0xfffffff009eadf10: f70300aa  mov	x23, x0
0xfffffff009eadf14: 5b0b00f9  str	x27, [x26, #0x10]
0xfffffff009eadf18: e08f43a9  ldp	x0, x3, [sp, #0x38]
0xfffffff009eadf1c: 01018052  mov	w1, #8
0xfffffff009eadf20: 020080d2  mov	x2, #0
0xfffffff009eadf24: 04058052  mov	w4, #0x28
0xfffffff009eadf28: 8db10294  bl	#0xfffffff009f5a55c
0xfffffff009eadf2c: 80160034  cbz	w0, #0xfffffff009eae1fc
0xfffffff009eadf30: ab0356f8  ldur	x11, [x29, #-0xa0]
0xfffffff009eadf34: a90640f9  ldr	x9, [x21, #8]
0xfffffff009eadf38: ea0317aa  mov	x10, x23
