; Candidate 4504
; ADRP+ADD at VM 0xfffffff0087b50b8 (fileoff 0x17b10b8): page=0x1fe97c000 add_imm=0xd90

0xfffffff0087b5038: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff0087b503c: 4992ff90  adrp	x9, #0xfffffff0079fd000
0xfffffff0087b5040: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff0087b5044: 290140f9  ldr	x9, [x9]
0xfffffff0087b5048: 3f0108eb  cmp	x9, x8
0xfffffff0087b504c: c1000054  b.ne	#0xfffffff0087b5064
0xfffffff0087b5050: fd7b4fa9  ldp	x29, x30, [sp, #0xf0]
0xfffffff0087b5054: f44f4ea9  ldp	x20, x19, [sp, #0xe0]
0xfffffff0087b5058: f6574da9  ldp	x22, x21, [sp, #0xd0]
0xfffffff0087b505c: ff030491  add	sp, sp, #0x100
0xfffffff0087b5060: ff0f5fd6  retab	
0xfffffff0087b5064: 7aa3d697  bl	#0xfffffff007d5de4c
0xfffffff0087b5068: 5f2403d5  bti	c
0xfffffff0087b506c: 00008052  mov	w0, #0
0xfffffff0087b5070: c0035fd6  ret	
0xfffffff0087b5074: 7f2303d5  pacibsp	
0xfffffff0087b5078: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087b507c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087b5080: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087b5084: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087b5088: fdc30091  add	x29, sp, #0x30
0xfffffff0087b508c: f40301aa  mov	x20, x1
0xfffffff0087b5090: f30300aa  mov	x19, x0
0xfffffff0087b5094: 15044fb9  ldr	w21, [x0, #0xf04]
0xfffffff0087b5098: 08004fb9  ldr	w8, [x0, #0xf00]
0xfffffff0087b509c: a802084b  sub	w8, w21, w8
0xfffffff0087b50a0: 1f610071  cmp	w8, #0x18
0xfffffff0087b50a4: a3010054  b.lo	#0xfffffff0087b50d8
0xfffffff0087b50a8: 28588152  mov	w8, #0xac1
0xfffffff0087b50ac: e94cff90  adrp	x9, #0xfffffff007151000
0xfffffff0087b50b0: 29d51791  add	x9, x9, #0x5f5
0xfffffff0087b50b4: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b50b8: e04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b50bc: 00403691  add	x0, x0, #0xd90
0xfffffff0087b50c0: 4192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b50c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b50c8: a34cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b50cc: 63702091  add	x3, x3, #0x81c
0xfffffff0087b50d0: 02008052  mov	w2, #0
0xfffffff0087b50d4: 17f8ed97  bl	#0xfffffff008333130
0xfffffff0087b50d8: 68559552  mov	w8, #0xaaab
0xfffffff0087b50dc: 4855b572  movk	w8, #0xaaaa, lsl #16
0xfffffff0087b50e0: a87ea89b  umull	x8, w21, w8
0xfffffff0087b50e4: 08fd64d3  lsr	x8, x8, #0x24
0xfffffff0087b50e8: 09038052  mov	w9, #0x18
0xfffffff0087b50ec: 08d5091b  msub	w8, w8, w9, w21
0xfffffff0087b50f0: 09128052  mov	w9, #0x90
0xfffffff0087b50f4: 084da99b  umaddl	x8, w8, w9, x19
0xfffffff0087b50f8: 29008052  mov	w9, #1
0xfffffff0087b50fc: 09090fb9  str	w9, [x8, #0xf08]
0xfffffff0087b5100: 693e4cb9  ldr	w9, [x19, #0xc3c]
0xfffffff0087b5104: 3f010071  cmp	w9, #0
0xfffffff0087b5108: 89078052  mov	w9, #0x3c
0xfffffff0087b510c: 0a078052  mov	w10, #0x38
0xfffffff0087b5110: 4901899a  csel	x9, x10, x9, eq
0xfffffff0087b5114: 0a068052  mov	w10, #0x30
0xfffffff0087b5118: 0b058052  mov	w11, #0x28
0xfffffff0087b511c: 6a018a9a  csel	x10, x11, x10, eq
0xfffffff0087b5120: 8a6a6af8  ldr	x10, [x20, x10]
0xfffffff0087b5124: 896a69b8  ldr	w9, [x20, x9]
0xfffffff0087b5128: eb079f1a  cset	w11, ne
0xfffffff0087b512c: 0b110fb9  str	w11, [x8, #0xf10]
0xfffffff0087b5130: 09150fb9  str	w9, [x8, #0xf14]
0xfffffff0087b5134: 0a8d07f9  str	x10, [x8, #0xf18]
