; Candidate 4436
; ADRP+ADD at VM 0xfffffff0087b12fc (fileoff 0x17ad2fc): page=0x1fe980000 add_imm=0xd90

0xfffffff0087b127c: 680605b9  str	w8, [x19, #0x504]
0xfffffff0087b1280: a8349552  mov	w8, #0xa9a5
0xfffffff0087b1284: 4802a072  movk	w8, #0x12, lsl #16
0xfffffff0087b1288: 688205b9  str	w8, [x19, #0x580]
0xfffffff0087b128c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0087b1290: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0087b1294: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0087b1298: ff030191  add	sp, sp, #0x40
0xfffffff0087b129c: ff0f5fd6  retab	
0xfffffff0087b12a0: 7f2303d5  pacibsp	
0xfffffff0087b12a4: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087b12a8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087b12ac: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087b12b0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087b12b4: fdc30091  add	x29, sp, #0x30
0xfffffff0087b12b8: f30300aa  mov	x19, x0
0xfffffff0087b12bc: 081041b9  ldr	w8, [x0, #0x110]
0xfffffff0087b12c0: 090c8052  mov	w9, #0x60
0xfffffff0087b12c4: 0901099b  madd	x9, x8, x9, x0
0xfffffff0087b12c8: 2aa94b79  ldrh	w10, [x9, #0x5d4]
0xfffffff0087b12cc: 0b118052  mov	w11, #0x88
0xfffffff0087b12d0: 4a010b9b  madd	x10, x10, x11, x0
0xfffffff0087b12d4: 54d553a9  ldp	x20, x21, [x10, #0x138]
0xfffffff0087b12d8: 36ad4b79  ldrh	w22, [x9, #0x5d6]
0xfffffff0087b12dc: 89364079  ldrh	w9, [x20, #0x1a]
0xfffffff0087b12e0: 69000034  cbz	w9, #0xfffffff0087b12ec
0xfffffff0087b12e4: 0b0080d2  mov	x11, #0
0xfffffff0087b12e8: 0f000014  b	#0xfffffff0087b1324
0xfffffff0087b12ec: e8538052  mov	w8, #0x29f
0xfffffff0087b12f0: 494dffb0  adrp	x9, #0xfffffff00715a000
0xfffffff0087b12f4: 29c90691  add	x9, x9, #0x1b2
0xfffffff0087b12f8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b12fc: 004cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b1300: 00403691  add	x0, x0, #0xd90
0xfffffff0087b1304: 6192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b1308: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b130c: c34cffd0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b1310: 63e42891  add	x3, x3, #0xa39
0xfffffff0087b1314: 02008052  mov	w2, #0
0xfffffff0087b1318: 8607ee97  bl	#0xfffffff008333130
0xfffffff0087b131c: 681241b9  ldr	w8, [x19, #0x110]
0xfffffff0087b1320: 0b008012  mov	w11, #-1
0xfffffff0087b1324: 090c8052  mov	w9, #0x60
0xfffffff0087b1328: 084d099b  madd	x8, x8, x9, x19
0xfffffff0087b132c: 0a411791  add	x10, x8, #0x5d0
0xfffffff0087b1330: 15d905b9  str	w21, [x8, #0x5d8]
0xfffffff0087b1334: 890e42b8  ldr	w9, [x20, #0x20]!
0xfffffff0087b1338: 2901150b  add	w9, w9, w21
0xfffffff0087b133c: 09fd05b9  str	w9, [x8, #0x5fc]
0xfffffff0087b1340: cc160012  and	w12, w22, #0x3f
0xfffffff0087b1344: 1f0106b9  str	wzr, [x8, #0x600]
0xfffffff0087b1348: a9621611  add	w9, w21, #0x598
0xfffffff0087b134c: 091106b9  str	w9, [x8, #0x610]
0xfffffff0087b1350: 8d825f38  ldurb	w13, [x20, #-8]
0xfffffff0087b1354: 09e145b9  ldr	w9, [x8, #0x5e0]
0xfffffff0087b1358: a9010033  bfxil	w9, w13, #0, #1
0xfffffff0087b135c: 09e105b9  str	w9, [x8, #0x5e0]
0xfffffff0087b1360: 8d028352  mov	w13, #0x1814
0xfffffff0087b1364: 8c7d0d1b  mul	w12, w12, w13
0xfffffff0087b1368: 8d238652  mov	w13, #0x311c
0xfffffff0087b136c: 2d21a072  movk	w13, #0x109, lsl #16
0xfffffff0087b1370: 8d010d0b  add	w13, w12, w13
0xfffffff0087b1374: 0ded05b9  str	w13, [x8, #0x5ec]
0xfffffff0087b1378: 8e925f38  ldurb	w14, [x20, #-7]
