; Candidate 16682
; ADRP+ADD at VM 0xfffffff009f27ff4 (fileoff 0x2f23ff4): page=0x1fd932000 add_imm=0xd01

0xfffffff009f27f74: e0230191  add	x0, sp, #0x48
0xfffffff009f27f78: e1830091  add	x1, sp, #0x20
0xfffffff009f27f7c: 312c9097  bl	#0xfffffff008333040
0xfffffff009f27f80: e2230191  add	x2, sp, #0x48
0xfffffff009f27f84: e00314aa  mov	x0, x20
0xfffffff009f27f88: e10313aa  mov	x1, x19
0xfffffff009f27f8c: e30319aa  mov	x3, x25
0xfffffff009f27f90: e40316aa  mov	x4, x22
0xfffffff009f27f94: 05008052  mov	w5, #0
0xfffffff009f27f98: 8e92fc97  bl	#0xfffffff009e4c9d0
0xfffffff009f27f9c: 60010034  cbz	w0, #0xfffffff009f27fc8
0xfffffff009f27fa0: f90300aa  mov	x25, x0
0xfffffff009f27fa4: fc6701a9  stp	x28, x25, [sp, #0x10]
0xfffffff009f27fa8: 88c9fed0  adrp	x8, #0xfffffff007859000
0xfffffff009f27fac: 08953391  add	x8, x8, #0xce5
0xfffffff009f27fb0: 49948052  mov	w9, #0x4a2
0xfffffff009f27fb4: e82700a9  stp	x8, x9, [sp]
0xfffffff009f27fb8: 80c9fed0  adrp	x0, #0xfffffff007859000
0xfffffff009f27fbc: 00d03291  add	x0, x0, #0xcb4
0xfffffff009f27fc0: 415efd97  bl	#0xfffffff009e7f8c4
0xfffffff009f27fc4: 12000014  b	#0xfffffff009f2800c
0xfffffff009f27fc8: 88c9fed0  adrp	x8, #0xfffffff007859000
0xfffffff009f27fcc: 08893491  add	x8, x8, #0xd22
0xfffffff009f27fd0: e9c9fef0  adrp	x9, #0xfffffff007866000
0xfffffff009f27fd4: 29710091  add	x9, x9, #0x1c
0xfffffff009f27fd8: df020071  cmp	w22, #0
0xfffffff009f27fdc: 3b11889a  csel	x27, x9, x8, ne
0xfffffff009f27fe0: a8948052  mov	w8, #0x4a5
0xfffffff009f27fe4: 9ac9fed0  adrp	x26, #0xfffffff007859000
0xfffffff009f27fe8: 5a973391  add	x26, x26, #0xce5
0xfffffff009f27fec: fa2300a9  stp	x26, x8, [sp]
0xfffffff009f27ff0: fb7301a9  stp	x27, x28, [sp, #0x10]
0xfffffff009f27ff4: 80c9fed0  adrp	x0, #0xfffffff007859000
0xfffffff009f27ff8: 00043491  add	x0, x0, #0xd01
0xfffffff009f27ffc: 115efd97  bl	#0xfffffff009e7f840
0xfffffff009f28000: e8c241f9  ldr	x8, [x23, #0x380]
0xfffffff009f28004: 280200b4  cbz	x8, #0xfffffff009f28048
0xfffffff009f28008: 19008052  mov	w25, #0
0xfffffff009f2800c: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff009f28010: 29f0fed0  adrp	x9, #0xfffffff007d2e000
0xfffffff009f28014: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009f28018: 290140f9  ldr	x9, [x9]
0xfffffff009f2801c: 3f0108eb  cmp	x9, x8
0xfffffff009f28020: e1080054  b.ne	#0xfffffff009f2813c
0xfffffff009f28024: e00319aa  mov	x0, x25
0xfffffff009f28028: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff009f2802c: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff009f28030: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff009f28034: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff009f28038: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff009f2803c: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff009f28040: ff030391  add	sp, sp, #0xc0
0xfffffff009f28044: ff0f5fd6  retab	
0xfffffff009f28048: e00317aa  mov	x0, x23
0xfffffff009f2804c: d3a3ff97  bl	#0xfffffff009f10f98
0xfffffff009f28050: 40030034  cbz	w0, #0xfffffff009f280b8
0xfffffff009f28054: e2230191  add	x2, sp, #0x48
0xfffffff009f28058: e00314aa  mov	x0, x20
0xfffffff009f2805c: e10313aa  mov	x1, x19
0xfffffff009f28060: e30318aa  mov	x3, x24
0xfffffff009f28064: e40316aa  mov	x4, x22
0xfffffff009f28068: 25008052  mov	w5, #1
0xfffffff009f2806c: 5992fc97  bl	#0xfffffff009e4c9d0
0xfffffff009f28070: 20010034  cbz	w0, #0xfffffff009f28094
