; Candidate 6067
; ADRP+ADD at VM 0xfffffff00881291c (fileoff 0x180e91c): page=0x1fe9d7000 add_imm=0xe80

0xfffffff00881289c: f5db03a9  stp	x21, x22, [sp, #0x38]
0xfffffff0088128a0: e84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088128a4: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088128a8: a96d8052  mov	w9, #0x36d
0xfffffff0088128ac: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088128b0: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff0088128b4: 08dd1b91  add	x8, x8, #0x6f7
0xfffffff0088128b8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088128bc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088128c0: 880e8052  mov	w8, #0x74
0xfffffff0088128c4: 4050fff0  adrp	x0, #0xfffffff00721d000
0xfffffff0088128c8: 00882191  add	x0, x0, #0x862
0xfffffff0088128cc: f72300a9  stp	x23, x8, [sp]
0xfffffff0088128d0: e492d697  bl	#0xfffffff007db7460
0xfffffff0088128d4: 1b000014  b	#0xfffffff008812940
0xfffffff0088128d8: 35860294  bl	#0xfffffff0088b41ac
0xfffffff0088128dc: f40300aa  mov	x20, x0
0xfffffff0088128e0: 80008052  mov	w0, #4
0xfffffff0088128e4: dba30194  bl	#0xfffffff00887b850
0xfffffff0088128e8: e80240b9  ldr	w8, [x23]
0xfffffff0088128ec: 49008052  mov	w9, #2
0xfffffff0088128f0: ff2704a9  stp	xzr, x9, [sp, #0x40]
0xfffffff0088128f4: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088128f8: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff0088128fc: 08ed1e91  add	x8, x8, #0x7bb
0xfffffff008812900: a96c8052  mov	w9, #0x365
0xfffffff008812904: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008812908: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff00881290c: 08dd1b91  add	x8, x8, #0x6f7
0xfffffff008812910: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008812914: 880e8052  mov	w8, #0x74
0xfffffff008812918: f42300a9  stp	x20, x8, [sp]
0xfffffff00881291c: a04efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008812920: 00003a91  add	x0, x0, #0xe80
0xfffffff008812924: a18fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008812928: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881292c: a351ffb0  adrp	x3, #0xfffffff007247000
0xfffffff008812930: 63282f91  add	x3, x3, #0xbca
0xfffffff008812934: 02008052  mov	w2, #0
0xfffffff008812938: fe81ec97  bl	#0xfffffff008333130
0xfffffff00881293c: 147d8012  mov	w20, #-0x3e9
0xfffffff008812940: e00314aa  mov	x0, x20
0xfffffff008812944: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008812948: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00881294c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008812950: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008812954: ff430291  add	sp, sp, #0x90
0xfffffff008812958: ff0f5fd6  retab	
0xfffffff00881295c: 14860294  bl	#0xfffffff0088b41ac
0xfffffff008812960: f50300aa  mov	x21, x0
0xfffffff008812964: 80008052  mov	w0, #4
0xfffffff008812968: baa30194  bl	#0xfffffff00887b850
0xfffffff00881296c: e89644b9  ldr	w8, [x23, #0x494]
0xfffffff008812970: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008812974: e84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff008812978: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881297c: 296d8052  mov	w9, #0x369
0xfffffff008812980: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008812984: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff008812988: 08dd1b91  add	x8, x8, #0x6f7
0xfffffff00881298c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008812990: 880e8052  mov	w8, #0x74
0xfffffff008812994: f52300a9  stp	x21, x8, [sp]
0xfffffff008812998: a04efff0  adrp	x0, #0xfffffff0071e9000
