; Candidate 13411
; ADRP+ADD at VM 0xfffffff0092cefa4 (fileoff 0x22cafa4): page=0x1fe211000 add_imm=0xe26

0xfffffff0092cef24: 400300b4  cbz	x0, #0xfffffff0092cef8c
0xfffffff0092cef28: 700240f9  ldr	x16, [x19]
0xfffffff0092cef2c: f10313aa  mov	x17, x19
0xfffffff0092cef30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cef34: 301ac1da  autda	x16, x17
0xfffffff0092cef38: 116e80d2  mov	x17, #0x370
0xfffffff0092cef3c: 1002118b  add	x16, x16, x17
0xfffffff0092cef40: 080240f9  ldr	x8, [x16]
0xfffffff0092cef44: e90310aa  mov	x9, x16
0xfffffff0092cef48: e00313aa  mov	x0, x19
0xfffffff0092cef4c: f10309aa  mov	x17, x9
0xfffffff0092cef50: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cef54: 11093fd7  blraa	x8, x17
0xfffffff0092cef58: 100040f9  ldr	x16, [x0]
0xfffffff0092cef5c: f10300aa  mov	x17, x0
0xfffffff0092cef60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cef64: 301ac1da  autda	x16, x17
0xfffffff0092cef68: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cef6c: 1002118b  add	x16, x16, x17
0xfffffff0092cef70: 080240f9  ldr	x8, [x16]
0xfffffff0092cef74: e90310aa  mov	x9, x16
0xfffffff0092cef78: 010080d2  mov	x1, #0
0xfffffff0092cef7c: f10309aa  mov	x17, x9
0xfffffff0092cef80: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cef84: 11093fd7  blraa	x8, x17
0xfffffff0092cef88: 03000014  b	#0xfffffff0092cef94
0xfffffff0092cef8c: 8010ff90  adrp	x0, #0xfffffff0074de000
0xfffffff0092cef90: 00102191  add	x0, x0, #0x844
0xfffffff0092cef94: a8024079  ldrh	w8, [x21]
0xfffffff0092cef98: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cef9c: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cefa0: f60300f9  str	x22, [sp]
0xfffffff0092cefa4: 8010ffb0  adrp	x0, #0xfffffff0074df000
0xfffffff0092cefa8: 00983891  add	x0, x0, #0xe26
0xfffffff0092cefac: 1d20c297  bl	#0xfffffff008357020
0xfffffff0092cefb0: 757a3991  add	x21, x19, #0xe5e
0xfffffff0092cefb4: 9410ffb0  adrp	x20, #0xfffffff0074df000
0xfffffff0092cefb8: 94062e91  add	x20, x20, #0xb81
0xfffffff0092cefbc: e00314aa  mov	x0, x20
0xfffffff0092cefc0: e10315aa  mov	x1, x21
0xfffffff0092cefc4: 42008052  mov	w2, #2
0xfffffff0092cefc8: fc77c697  bl	#0xfffffff00846cfb8
0xfffffff0092cefcc: c0070034  cbz	w0, #0xfffffff0092cf0c4
0xfffffff0092cefd0: 700240f9  ldr	x16, [x19]
0xfffffff0092cefd4: f10313aa  mov	x17, x19
0xfffffff0092cefd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cefdc: 301ac1da  autda	x16, x17
0xfffffff0092cefe0: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cefe4: 1002118b  add	x16, x16, x17
0xfffffff0092cefe8: 080240f9  ldr	x8, [x16]
0xfffffff0092cefec: e90310aa  mov	x9, x16
0xfffffff0092ceff0: e00313aa  mov	x0, x19
0xfffffff0092ceff4: 010080d2  mov	x1, #0
0xfffffff0092ceff8: f10309aa  mov	x17, x9
0xfffffff0092ceffc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf000: 11093fd7  blraa	x8, x17
0xfffffff0092cf004: f60300aa  mov	x22, x0
0xfffffff0092cf008: 700240f9  ldr	x16, [x19]
0xfffffff0092cf00c: f10313aa  mov	x17, x19
0xfffffff0092cf010: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf014: 301ac1da  autda	x16, x17
0xfffffff0092cf018: 116e80d2  mov	x17, #0x370
0xfffffff0092cf01c: 1002118b  add	x16, x16, x17
0xfffffff0092cf020: 080240f9  ldr	x8, [x16]
