; Candidate 16305
; ADRP+ADD at VM 0xfffffff009e4e77c (fileoff 0x2e4a77c): page=0x1fda09000 add_imm=0xe74

0xfffffff009e4e6fc: 7bffffb5  cbnz	x27, #0xfffffff009e4e6e8
0xfffffff009e4e700: 57008052  mov	w23, #2
0xfffffff009e4e704: 30000014  b	#0xfffffff009e4e7c4
0xfffffff009e4e708: 083e8452  mov	w8, #0x21f0
0xfffffff009e4e70c: c802088b  add	x8, x22, x8
0xfffffff009e4e710: 090e8152  mov	w9, #0x870
0xfffffff009e4e714: eacefeb0  adrp	x10, #0xfffffff00782b000
0xfffffff009e4e718: 4a913191  add	x10, x10, #0xc64
0xfffffff009e4e71c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e4e720: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e4e724: e0cefeb0  adrp	x0, #0xfffffff00782b000
0xfffffff009e4e728: 002c3091  add	x0, x0, #0xc0b
0xfffffff009e4e72c: 66c40094  bl	#0xfffffff009e7f8c4
0xfffffff009e4e730: e00316aa  mov	x0, x22
0xfffffff009e4e734: e1008052  mov	w1, #7
0xfffffff009e4e738: 3495ff97  bl	#0xfffffff009e33c08
0xfffffff009e4e73c: b7008052  mov	w23, #5
0xfffffff009e4e740: 9a0370b7  tbnz	x26, #0x2e, #0xfffffff009e4e7b0
0xfffffff009e4e744: 22000014  b	#0xfffffff009e4e7cc
0xfffffff009e4e748: 61008052  mov	w1, #3
0xfffffff009e4e74c: 11000014  b	#0xfffffff009e4e790
0xfffffff009e4e750: 600740f9  ldr	x0, [x27, #8]
0xfffffff009e4e754: 894b0294  bl	#0xfffffff009ee1578
0xfffffff009e4e758: 80050034  cbz	w0, #0xfffffff009e4e808
0xfffffff009e4e75c: f70300aa  mov	x23, x0
0xfffffff009e4e760: 083e8452  mov	w8, #0x21f0
0xfffffff009e4e764: c802088b  add	x8, x22, x8
0xfffffff009e4e768: 690c8152  mov	w9, #0x863
0xfffffff009e4e76c: eacefeb0  adrp	x10, #0xfffffff00782b000
0xfffffff009e4e770: 4a913191  add	x10, x10, #0xc64
0xfffffff009e4e774: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e4e778: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009e4e77c: 40d0feb0  adrp	x0, #0xfffffff007857000
0xfffffff009e4e780: 00d03991  add	x0, x0, #0xe74
0xfffffff009e4e784: 50c40094  bl	#0xfffffff009e7f8c4
0xfffffff009e4e788: 0f000014  b	#0xfffffff009e4e7c4
0xfffffff009e4e78c: a1008052  mov	w1, #5
0xfffffff009e4e790: 1e95ff97  bl	#0xfffffff009e33c08
0xfffffff009e4e794: 39008052  mov	w25, #1
0xfffffff009e4e798: e00317aa  mov	x0, x23
0xfffffff009e4e79c: 4f020094  bl	#0xfffffff009e4f0d8
0xfffffff009e4e7a0: 3f770171  cmp	w25, #0x5d
0xfffffff009e4e7a4: a8008052  mov	w8, #5
0xfffffff009e4e7a8: 1701991a  csel	w23, w8, w25, eq
0xfffffff009e4e7ac: 1a0170b6  tbz	x26, #0x2e, #0xfffffff009e4e7cc
0xfffffff009e4e7b0: 600740f9  ldr	x0, [x27, #8]
0xfffffff009e4e7b4: 96ae8397  bl	#0xfffffff007f3a20c
0xfffffff009e4e7b8: a1c20094  bl	#0xfffffff009e7f23c
0xfffffff009e4e7bc: 600740f9  ldr	x0, [x27, #8]
0xfffffff009e4e7c0: d8eb8297  bl	#0xfffffff007f09720
0xfffffff009e4e7c4: e00313aa  mov	x0, x19
0xfffffff009e4e7c8: b2bb0094  bl	#0xfffffff009e7d690
0xfffffff009e4e7cc: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff009e4e7d0: 09f7fe90  adrp	x9, #0xfffffff007d2e000
0xfffffff009e4e7d4: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009e4e7d8: 290140f9  ldr	x9, [x9]
0xfffffff009e4e7dc: 3f0108eb  cmp	x9, x8
0xfffffff009e4e7e0: e1390054  b.ne	#0xfffffff009e4ef1c
0xfffffff009e4e7e4: e00317aa  mov	x0, x23
0xfffffff009e4e7e8: fd7b56a9  ldp	x29, x30, [sp, #0x160]
0xfffffff009e4e7ec: f44f55a9  ldp	x20, x19, [sp, #0x150]
0xfffffff009e4e7f0: f65754a9  ldp	x22, x21, [sp, #0x140]
0xfffffff009e4e7f4: f85f53a9  ldp	x24, x23, [sp, #0x130]
0xfffffff009e4e7f8: fa6752a9  ldp	x26, x25, [sp, #0x120]
