; Candidate 6786
; ADRP+ADD at VM 0xfffffff0088418f4 (fileoff 0x183d8f4): page=0x1fe9a8000 add_imm=0xe80

0xfffffff008841874: 180080d2  mov	x24, #0
0xfffffff008841878: 96620591  add	x22, x20, #0x158
0xfffffff00884187c: 19499752  mov	w25, #0xba48
0xfffffff008841880: 7900a072  movk	w25, #3, lsl #16
0xfffffff008841884: f70316aa  mov	x23, x22
0xfffffff008841888: e81a40b9  ldr	w8, [x23, #0x18]
0xfffffff00884188c: 680e088b  add	x8, x19, x8, lsl #3
0xfffffff008841890: 006140f9  ldr	x0, [x8, #0xc0]
0xfffffff008841894: 201400b4  cbz	x0, #0xfffffff008841b18
0xfffffff008841898: e10317aa  mov	x1, x23
0xfffffff00884189c: 529d0094  bl	#0xfffffff008868de4
0xfffffff0088418a0: 885281b9  ldrsw	x8, [x20, #0x150]
0xfffffff0088418a4: 40070035  cbnz	w0, #0xfffffff00884198c
0xfffffff0088418a8: 18070091  add	x24, x24, #1
0xfffffff0088418ac: f702198b  add	x23, x23, x25
0xfffffff0088418b0: 1f0308eb  cmp	x24, x8
0xfffffff0088418b4: abfeff54  b.lt	#0xfffffff008841888
0xfffffff0088418b8: 15008052  mov	w21, #0
0xfffffff0088418bc: 60000014  b	#0xfffffff008841a3c
0xfffffff0088418c0: 3bca0194  bl	#0xfffffff0088b41ac
0xfffffff0088418c4: f50300aa  mov	x21, x0
0xfffffff0088418c8: e0008052  mov	w0, #7
0xfffffff0088418cc: e1e70094  bl	#0xfffffff00887b850
0xfffffff0088418d0: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0088418d4: 084ffff0  adrp	x8, #0xfffffff007224000
0xfffffff0088418d8: 09590b91  add	x9, x8, #0x2d6
0xfffffff0088418dc: 084fffd0  adrp	x8, #0xfffffff007223000
0xfffffff0088418e0: 08d92b91  add	x8, x8, #0xaf6
0xfffffff0088418e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088418e8: 480a8052  mov	w8, #0x52
0xfffffff0088418ec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088418f0: f50300f9  str	x21, [sp]
0xfffffff0088418f4: 404dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088418f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088418fc: 218efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008841900: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008841904: 6350ffd0  adrp	x3, #0xfffffff00724f000
0xfffffff008841908: 63f42b91  add	x3, x3, #0xafd
0xfffffff00884190c: 02008052  mov	w2, #0
0xfffffff008841910: 08c6eb97  bl	#0xfffffff008333130
0xfffffff008841914: b4faffb5  cbnz	x20, #0xfffffff008841868
0xfffffff008841918: 400a8052  mov	w0, #0x52
0xfffffff00884191c: 81008052  mov	w1, #4
0xfffffff008841920: ace70094  bl	#0xfffffff00887b7d0
0xfffffff008841924: a0080034  cbz	w0, #0xfffffff008841a38
0xfffffff008841928: 400a8052  mov	w0, #0x52
0xfffffff00884192c: bbe70094  bl	#0xfffffff00887b818
0xfffffff008841930: f60300aa  mov	x22, x0
0xfffffff008841934: 1eca0194  bl	#0xfffffff0088b41ac
0xfffffff008841938: f50300aa  mov	x21, x0
0xfffffff00884193c: 80008052  mov	w0, #4
0xfffffff008841940: c4e70094  bl	#0xfffffff00887b850
0xfffffff008841944: 96040034  cbz	w22, #0xfffffff0088419d4
0xfffffff008841948: c84efff0  adrp	x8, #0xfffffff00721c000
0xfffffff00884194c: 0a450491  add	x10, x8, #0x111
0xfffffff008841950: f3ff03a9  stp	x19, xzr, [sp, #0x38]
0xfffffff008841954: c8808052  mov	w8, #0x406
0xfffffff008841958: 094ffff0  adrp	x9, #0xfffffff007224000
0xfffffff00884195c: 29590b91  add	x9, x9, #0x2d6
0xfffffff008841960: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008841964: 084fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008841968: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00884196c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008841970: e00b00f9  str	x0, [sp, #0x10]
