; Candidate 11356
; ADRP+ADD at VM 0xfffffff008ef58c0 (fileoff 0x1ef18c0): page=0x1fe515000 add_imm=0xe8d

0xfffffff008ef5840: 6803188b  add	x8, x27, x24
0xfffffff008ef5844: d602198b  add	x22, x22, x25
0xfffffff008ef5848: 1f011aeb  cmp	x8, x26
0xfffffff008ef584c: a8fbff54  b.hi	#0xfffffff008ef57c0
0xfffffff008ef5850: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef5854: 00b03b91  add	x0, x0, #0xeec
0xfffffff008ef5858: 23000094  bl	#0xfffffff008ef58e4
0xfffffff008ef585c: 7f7e00a9  stp	xzr, xzr, [x19]
0xfffffff008ef5860: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff008ef5864: 28008052  mov	w8, #1
0xfffffff008ef5868: 68620039  strb	w8, [x19, #0x18]
0xfffffff008ef586c: 0a000014  b	#0xfffffff008ef5894
0xfffffff008ef5870: 7f620039  strb	wzr, [x19, #0x18]
0xfffffff008ef5874: e003c03d  ldr	q0, [sp]
0xfffffff008ef5878: 6002803d  str	q0, [x19]
0xfffffff008ef587c: e80b40f9  ldr	x8, [sp, #0x10]
0xfffffff008ef5880: 680a00f9  str	x8, [x19, #0x10]
0xfffffff008ef5884: 04000014  b	#0xfffffff008ef5894
0xfffffff008ef5888: 7f7e00a9  stp	xzr, xzr, [x19]
0xfffffff008ef588c: 7f620039  strb	wzr, [x19, #0x18]
0xfffffff008ef5890: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff008ef5894: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008ef5898: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008ef589c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008ef58a0: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008ef58a4: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008ef58a8: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff008ef58ac: ff030291  add	sp, sp, #0x80
0xfffffff008ef58b0: ff0f5fd6  retab	
0xfffffff008ef58b4: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef58b8: 00c03d91  add	x0, x0, #0xf70
0xfffffff008ef58bc: 0a000094  bl	#0xfffffff008ef58e4
0xfffffff008ef58c0: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef58c4: 00343a91  add	x0, x0, #0xe8d
0xfffffff008ef58c8: 07000094  bl	#0xfffffff008ef58e4
0xfffffff008ef58cc: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef58d0: 00003791  add	x0, x0, #0xdc0
0xfffffff008ef58d4: 04000094  bl	#0xfffffff008ef58e4
0xfffffff008ef58d8: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef58dc: 00c83891  add	x0, x0, #0xe32
0xfffffff008ef58e0: 01000094  bl	#0xfffffff008ef58e4
0xfffffff008ef58e4: 7f2303d5  pacibsp	
0xfffffff008ef58e8: ffc300d1  sub	sp, sp, #0x30
0xfffffff008ef58ec: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008ef58f0: fd830091  add	x29, sp, #0x20
0xfffffff008ef58f4: a8068052  mov	w8, #0x35
0xfffffff008ef58f8: 6928fff0  adrp	x9, #0xfffffff007404000
0xfffffff008ef58fc: 29990891  add	x9, x9, #0x226
0xfffffff008ef5900: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008ef5904: e00300f9  str	x0, [sp]
0xfffffff008ef5908: 6028fff0  adrp	x0, #0xfffffff007404000
0xfffffff008ef590c: 00680891  add	x0, x0, #0x21a
0xfffffff008ef5910: ff7ad697  bl	#0xfffffff00849450c
0xfffffff008ef5914: 7f2303d5  pacibsp	
0xfffffff008ef5918: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff008ef591c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008ef5920: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008ef5924: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008ef5928: fdc30091  add	x29, sp, #0x30
0xfffffff008ef592c: f30300aa  mov	x19, x0
0xfffffff008ef5930: f060fff0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef5934: 10a22991  add	x16, x16, #0xa68
0xfffffff008ef5938: 10420091  add	x16, x16, #0x10
0xfffffff008ef593c: f10300aa  mov	x17, x0
