; Candidate 1122
; ADRP+ADD at VM 0xfffffff008218ee8 (fileoff 0x1214ee8): page=0x1fee71000 add_imm=0xd2b

0xfffffff008218e68: e84240f8  ldur	x8, [x23, #4]
0xfffffff008218e6c: a91a8079  ldrsh	x9, [x21, #0xc]
0xfffffff008218e70: ea0240b9  ldr	w10, [x23]
0xfffffff008218e74: 8b73ffb0  adrp	x11, #0xfffffff007089000
0xfffffff008218e78: 6bfd2691  add	x11, x11, #0x9bf
0xfffffff008218e7c: 2c3c8052  mov	w12, #0x1e1
0xfffffff008218e80: eb3302a9  stp	x11, x12, [sp, #0x20]
0xfffffff008218e84: 8b73ffb0  adrp	x11, #0xfffffff007089000
0xfffffff008218e88: 6b952e91  add	x11, x11, #0xba5
0xfffffff008218e8c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008218e90: eb2b00a9  stp	x11, x10, [sp]
0xfffffff008218e94: 8073ffb0  adrp	x0, #0xfffffff007089000
0xfffffff008218e98: 00582d91  add	x0, x0, #0xb56
0xfffffff008218e9c: 9ced0994  bl	#0xfffffff00849450c
0xfffffff008218ea0: 7f2303d5  pacibsp	
0xfffffff008218ea4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008218ea8: fd030091  mov	x29, sp
0xfffffff008218eac: 089c4039  ldrb	w8, [x0, #0x27]
0xfffffff008218eb0: c8012036  tbz	w8, #4, #0xfffffff008218ee8
0xfffffff008218eb4: 084840f9  ldr	x8, [x0, #0x90]
0xfffffff008218eb8: 480200b4  cbz	x8, #0xfffffff008218f00
0xfffffff008218ebc: 10c143f8  ldur	x16, [x8, #0x3c]
0xfffffff008218ec0: 100100b4  cbz	x16, #0xfffffff008218ee0
0xfffffff008218ec4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008218ec8: ff2303d5  autibsp	
0xfffffff008218ecc: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008218ed0: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008218ed8
0xfffffff008218ed4: 208e38d4  brk	#0xc471
0xfffffff008218ed8: f14489d2  mov	x17, #0x4a27
0xfffffff008218edc: 110a1fd7  braa	x16, x17
0xfffffff008218ee0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008218ee4: ff0f5fd6  retab	
0xfffffff008218ee8: 8073ffb0  adrp	x0, #0xfffffff007089000
0xfffffff008218eec: 00ac3491  add	x0, x0, #0xd2b
0xfffffff008218ef0: 8173ffb0  adrp	x1, #0xfffffff007089000
0xfffffff008218ef4: 21ec2491  add	x1, x1, #0x93b
0xfffffff008218ef8: 02118052  mov	w2, #0x88
0xfffffff008218efc: 461a0a94  bl	#0xfffffff00849f814
0xfffffff008218f00: 8073ffb0  adrp	x0, #0xfffffff007089000
0xfffffff008218f04: 00043591  add	x0, x0, #0xd41
0xfffffff008218f08: 8173ffb0  adrp	x1, #0xfffffff007089000
0xfffffff008218f0c: 21ec2491  add	x1, x1, #0x93b
0xfffffff008218f10: 22118052  mov	w2, #0x89
0xfffffff008218f14: 401a0a94  bl	#0xfffffff00849f814
0xfffffff008218f18: 7f2303d5  pacibsp	
0xfffffff008218f1c: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff008218f20: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008218f24: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008218f28: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008218f2c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008218f30: fd030191  add	x29, sp, #0x40
0xfffffff008218f34: f70302aa  mov	x23, x2
0xfffffff008218f38: f50301aa  mov	x21, x1
0xfffffff008218f3c: f60300aa  mov	x22, x0
0xfffffff008218f40: 93d038d5  mrs	x19, tpidr_el1
0xfffffff008218f44: 685646b9  ldr	w8, [x19, #0x654]
0xfffffff008218f48: e903282a  mvn	w9, w8
0xfffffff008218f4c: 5470ff90  adrp	x20, #0xfffffff007020000
0xfffffff008218f50: 94a22691  add	x20, x20, #0x9a8
0xfffffff008218f54: 780101d0  adrp	x24, #0xfffffff00a246000
0xfffffff008218f58: 18c30791  add	x24, x24, #0x1f0
0xfffffff008218f5c: 39017f92  and	x25, x9, #2
0xfffffff008218f60: 39010034  cbz	w25, #0xfffffff008218f84
0xfffffff008218f64: 090080d2  mov	x9, #0
