; Candidate 8859
; ADRP+ADD at VM 0xfffffff0088df938 (fileoff 0x18db938): page=0x1fe98c000 add_imm=0xe4d

0xfffffff0088df8b8: f10308aa  mov	x17, x8
0xfffffff0088df8bc: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff0088df8c0: 31093fd7  blraa	x9, x17
0xfffffff0088df8c4: 00008052  mov	w0, #0
0xfffffff0088df8c8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0088df8cc: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0088df8d0: ff030191  add	sp, sp, #0x40
0xfffffff0088df8d4: ff0f5fd6  retab	
0xfffffff0088df8d8: 7f2303d5  pacibsp	
0xfffffff0088df8dc: ff0301d1  sub	sp, sp, #0x40
0xfffffff0088df8e0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0088df8e4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0088df8e8: fdc30091  add	x29, sp, #0x30
0xfffffff0088df8ec: f30301aa  mov	x19, x1
0xfffffff0088df8f0: f40300aa  mov	x20, x0
0xfffffff0088df8f4: 100040f9  ldr	x16, [x0]
0xfffffff0088df8f8: f10300aa  mov	x17, x0
0xfffffff0088df8fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df900: 301ac1da  autda	x16, x17
0xfffffff0088df904: 113d80d2  mov	x17, #0x1e8
0xfffffff0088df908: 1002118b  add	x16, x16, x17
0xfffffff0088df90c: 080240f9  ldr	x8, [x16]
0xfffffff0088df910: e90310aa  mov	x9, x16
0xfffffff0088df914: 010080d2  mov	x1, #0
0xfffffff0088df918: f10309aa  mov	x17, x9
0xfffffff0088df91c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088df920: 11093fd7  blraa	x8, x17
0xfffffff0088df924: f303132a  mov	w19, w19
0xfffffff0088df928: 684cff90  adrp	x8, #0xfffffff00726b000
0xfffffff0088df92c: 08ad3a91  add	x8, x8, #0xeab
0xfffffff0088df930: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff0088df934: e00300f9  str	x0, [sp]
0xfffffff0088df938: 604cff90  adrp	x0, #0xfffffff00726b000
0xfffffff0088df93c: 00343991  add	x0, x0, #0xe4d
0xfffffff0088df940: b8dde997  bl	#0xfffffff008357020
0xfffffff0088df944: 900240f9  ldr	x16, [x20]
0xfffffff0088df948: f10314aa  mov	x17, x20
0xfffffff0088df94c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df950: 301ac1da  autda	x16, x17
0xfffffff0088df954: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff0088df958: e90310aa  mov	x9, x16
0xfffffff0088df95c: 614cff90  adrp	x1, #0xfffffff00726b000
0xfffffff0088df960: 21e03a91  add	x1, x1, #0xeb8
0xfffffff0088df964: e00314aa  mov	x0, x20
0xfffffff0088df968: e20313aa  mov	x2, x19
0xfffffff0088df96c: 03018052  mov	w3, #8
0xfffffff0088df970: f10309aa  mov	x17, x9
0xfffffff0088df974: d17ee2f2  movk	x17, #0x13f6, lsl #48
0xfffffff0088df978: 11093fd7  blraa	x8, x17
0xfffffff0088df97c: 00008052  mov	w0, #0
0xfffffff0088df980: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0088df984: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0088df988: ff030191  add	sp, sp, #0x40
0xfffffff0088df98c: ff0f5fd6  retab	
0xfffffff0088df990: 5f2403d5  bti	c
0xfffffff0088df994: e0588052  mov	w0, #0x2c7
0xfffffff0088df998: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0088df99c: c0035fd6  ret	
0xfffffff0088df9a0: 7f2303d5  pacibsp	
0xfffffff0088df9a4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088df9a8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088df9ac: fd430091  add	x29, sp, #0x10
0xfffffff0088df9b0: f30300aa  mov	x19, x0
0xfffffff0088df9b4: 100040f9  ldr	x16, [x0]
