; Candidate 4141
; ADRP+ADD at VM 0xfffffff0087942b4 (fileoff 0x17902b4): page=0x1fe99d000 add_imm=0xd90

0xfffffff008794234: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008794238: fd030191  add	x29, sp, #0x40
0xfffffff00879423c: f40301aa  mov	x20, x1
0xfffffff008794240: e10200b4  cbz	x1, #0xfffffff00879429c
0xfffffff008794244: c20200b4  cbz	x2, #0xfffffff00879429c
0xfffffff008794248: f50300aa  mov	x21, x0
0xfffffff00879424c: 08b054f9  ldr	x8, [x0, #0x2960]
0xfffffff008794250: 480400b4  cbz	x8, #0xfffffff0087942d8
0xfffffff008794254: a85e70b9  ldr	w8, [x21, #0x305c]
0xfffffff008794258: 1f050071  cmp	w8, #1
0xfffffff00879425c: a1050054  b.ne	#0xfffffff008794310
0xfffffff008794260: 735d8052  mov	w19, #0x2eb
0xfffffff008794264: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008794268: a8926ab9  ldr	w8, [x21, #0x2a90]
0xfffffff00879426c: 294efff0  adrp	x9, #0xfffffff00715b000
0xfffffff008794270: 29090991  add	x9, x9, #0x242
0xfffffff008794274: e92300a9  stp	x9, x8, [sp]
0xfffffff008794278: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff00879427c: 00403691  add	x0, x0, #0xd90
0xfffffff008794280: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794284: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008794288: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff00879428c: 63282891  add	x3, x3, #0xa0a
0xfffffff008794290: 02008052  mov	w2, #0
0xfffffff008794294: a77bee97  bl	#0xfffffff008333130
0xfffffff008794298: cf000014  b	#0xfffffff0087945d4
0xfffffff00879429c: 735d8052  mov	w19, #0x2eb
0xfffffff0087942a0: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087942a4: f48b00a9  stp	x20, x2, [sp, #8]
0xfffffff0087942a8: 284efff0  adrp	x8, #0xfffffff00715b000
0xfffffff0087942ac: 08090991  add	x8, x8, #0x242
0xfffffff0087942b0: e80300f9  str	x8, [sp]
0xfffffff0087942b4: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087942b8: 00403691  add	x0, x0, #0xd90
0xfffffff0087942bc: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087942c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087942c4: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff0087942c8: 63782691  add	x3, x3, #0x99e
0xfffffff0087942cc: 02008052  mov	w2, #0
0xfffffff0087942d0: 987bee97  bl	#0xfffffff008333130
0xfffffff0087942d4: c0000014  b	#0xfffffff0087945d4
0xfffffff0087942d8: 735d8052  mov	w19, #0x2eb
0xfffffff0087942dc: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087942e0: 284efff0  adrp	x8, #0xfffffff00715b000
0xfffffff0087942e4: 08090991  add	x8, x8, #0x242
0xfffffff0087942e8: e87f00a9  stp	x8, xzr, [sp]
0xfffffff0087942ec: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087942f0: 00403691  add	x0, x0, #0xd90
0xfffffff0087942f4: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087942f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087942fc: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff008794300: 635c2791  add	x3, x3, #0x9d7
0xfffffff008794304: 02008052  mov	w2, #0
0xfffffff008794308: 8a7bee97  bl	#0xfffffff008333130
0xfffffff00879430c: b2000014  b	#0xfffffff0087945d4
0xfffffff008794310: a8866bb9  ldr	w8, [x21, #0x2b84]
0xfffffff008794314: 1f190071  cmp	w8, #6
0xfffffff008794318: 80000054  b.eq	#0xfffffff008794328
0xfffffff00879431c: 898d8552  mov	w9, #0x2c6c
0xfffffff008794320: a96a6938  ldrb	w9, [x21, x9]
0xfffffff008794324: 69090034  cbz	w9, #0xfffffff008794450
0xfffffff008794328: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00879432c: 080d0012  and	w8, w8, #0xf
0xfffffff008794330: 09178252  mov	w9, #0x10b8
