; Candidate 15199
; ADRP+ADD at VM 0xfffffff009b2fe70 (fileoff 0x2b2be70): page=0x88a000 add_imm=0xd58

0xfffffff009b2fdf0: 10221c91  add	x16, x16, #0x708
0xfffffff009b2fdf4: 10420091  add	x16, x16, #0x10
0xfffffff009b2fdf8: f10300aa  mov	x17, x0
0xfffffff009b2fdfc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b2fe00: 300ac1da  pacda	x16, x17
0xfffffff009b2fe04: 100000f9  str	x16, [x0]
0xfffffff009b2fe08: 404400d0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b2fe0c: 00a03691  add	x0, x0, #0xda8
0xfffffff009b2fe10: a1d7fef0  adrp	x1, #0xfffffff007626000
0xfffffff009b2fe14: 21b81b91  add	x1, x1, #0x6ee
0xfffffff009b2fe18: e20313aa  mov	x2, x19
0xfffffff009b2fe1c: 03078052  mov	w3, #0x38
0xfffffff009b2fe20: 46cf9e97  bl	#0xfffffff0082e3b38
0xfffffff009b2fe24: 500dff90  adrp	x16, #0xfffffff007cd7000
0xfffffff009b2fe28: 10c22091  add	x16, x16, #0x830
0xfffffff009b2fe2c: 10420091  add	x16, x16, #0x10
0xfffffff009b2fe30: f10300aa  mov	x17, x0
0xfffffff009b2fe34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b2fe38: 300ac1da  pacda	x16, x17
0xfffffff009b2fe3c: 100000f9  str	x16, [x0]
0xfffffff009b2fe40: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009b2fe44: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009b2fe48: ff0f5fd6  retab	
0xfffffff009b2fe4c: 7f2303d5  pacibsp	
0xfffffff009b2fe50: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b2fe54: fd030091  mov	x29, sp
0xfffffff009b2fe58: 404400d0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b2fe5c: 00a03691  add	x0, x0, #0xda8
0xfffffff009b2fe60: 25d29e97  bl	#0xfffffff0082e46f4
0xfffffff009b2fe64: 404400d0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b2fe68: 00003691  add	x0, x0, #0xd80
0xfffffff009b2fe6c: 22d29e97  bl	#0xfffffff0082e46f4
0xfffffff009b2fe70: 404400d0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b2fe74: 00603591  add	x0, x0, #0xd58
0xfffffff009b2fe78: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b2fe7c: ff2303d5  autibsp	
0xfffffff009b2fe80: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009b2fe84: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009b2fe8c
0xfffffff009b2fe88: 208e38d4  brk	#0xc471
0xfffffff009b2fe8c: 1ad29e17  b	#0xfffffff0082e46f4
0xfffffff009b2fe90: 7f2303d5  pacibsp	
0xfffffff009b2fe94: ff0302d1  sub	sp, sp, #0x80
0xfffffff009b2fe98: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff009b2fe9c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff009b2fea0: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff009b2fea4: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff009b2fea8: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff009b2feac: fdc30191  add	x29, sp, #0x70
0xfffffff009b2feb0: 801600b4  cbz	x0, #0xfffffff009b30180
0xfffffff009b2feb4: f40300aa  mov	x20, x0
0xfffffff009b2feb8: 15c441b9  ldr	w21, [x0, #0x1c4]
0xfffffff009b2febc: 35162036  tbz	w21, #4, #0xfffffff009b30180
0xfffffff009b2fec0: f30301aa  mov	x19, x1
0xfffffff009b2fec4: b507f036  tbz	w21, #0x1e, #0xfffffff009b2ffb8
0xfffffff009b2fec8: f5778e97  bl	#0xfffffff007ecde9c
0xfffffff009b2fecc: 1f040071  cmp	w0, #1
0xfffffff009b2fed0: 41070054  b.ne	#0xfffffff009b2ffb8
0xfffffff009b2fed4: 900240f9  ldr	x16, [x20]
0xfffffff009b2fed8: f10314aa  mov	x17, x20
0xfffffff009b2fedc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b2fee0: 301ac1da  autda	x16, x17
0xfffffff009b2fee4: 113d80d2  mov	x17, #0x1e8
0xfffffff009b2fee8: 1002118b  add	x16, x16, x17
0xfffffff009b2feec: 080240f9  ldr	x8, [x16]
