; Candidate 998
; ADRP+ADD at VM 0xfffffff008161010 (fileoff 0x115d010): page=0x1fef1e000 add_imm=0xdb9

0xfffffff008160f90: e00313aa  mov	x0, x19
0xfffffff008160f94: 91000094  bl	#0xfffffff0081611d8
0xfffffff008160f98: e0010034  cbz	w0, #0xfffffff008160fd4
0xfffffff008160f9c: f30300aa  mov	x19, x0
0xfffffff008160fa0: 680501f0  adrp	x8, #0xfffffff00a20f000
0xfffffff008160fa4: 089d48b9  ldr	w8, [x8, #0x89c]
0xfffffff008160fa8: e8fdff34  cbz	w8, #0xfffffff008160f64
0xfffffff008160fac: f30300f9  str	x19, [sp]
0xfffffff008160fb0: 6075ff90  adrp	x0, #0xfffffff00700c000
0xfffffff008160fb4: 00000091  add	x0, x0, #0
0xfffffff008160fb8: c10501d0  adrp	x1, #0xfffffff00a21a000
0xfffffff008160fbc: 21502f91  add	x1, x1, #0xbd4
0xfffffff008160fc0: 237bffb0  adrp	x3, #0xfffffff0070c5000
0xfffffff008160fc4: 63683a91  add	x3, x3, #0xe9a
0xfffffff008160fc8: 42008052  mov	w2, #2
0xfffffff008160fcc: 59480794  bl	#0xfffffff008333130
0xfffffff008160fd0: e5ffff17  b	#0xfffffff008160f64
0xfffffff008160fd4: df0a0071  cmp	w22, #2
0xfffffff008160fd8: e8179f1a  cset	w8, eq
0xfffffff008160fdc: 13791f53  lsl	w19, w8, #1
0xfffffff008160fe0: e1ffff17  b	#0xfffffff008160f64
0xfffffff008160fe4: e878fff0  adrp	x8, #0xfffffff00707f000
0xfffffff008160fe8: 08153591  add	x8, x8, #0xd45
0xfffffff008160fec: a9798052  mov	w9, #0x3cd
0xfffffff008160ff0: e82700a9  stp	x8, x9, [sp]
0xfffffff008160ff4: e078fff0  adrp	x0, #0xfffffff00707f000
0xfffffff008160ff8: 00203691  add	x0, x0, #0xd88
0xfffffff008160ffc: 44cd0c94  bl	#0xfffffff00849450c
0xfffffff008161000: e878ffd0  adrp	x8, #0xfffffff00707f000
0xfffffff008161004: 08153591  add	x8, x8, #0xd45
0xfffffff008161008: e97a8052  mov	w9, #0x3d7
0xfffffff00816100c: e82700a9  stp	x8, x9, [sp]
0xfffffff008161010: e078ffd0  adrp	x0, #0xfffffff00707f000
0xfffffff008161014: 00e43691  add	x0, x0, #0xdb9
0xfffffff008161018: 3dcd0c94  bl	#0xfffffff00849450c
0xfffffff00816101c: 7f2303d5  pacibsp	
0xfffffff008161020: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff008161024: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008161028: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00816102c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008161030: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008161034: fd030191  add	x29, sp, #0x40
0xfffffff008161038: f40300aa  mov	x20, x0
0xfffffff00816103c: 080080d2  mov	x8, #0
0xfffffff008161040: 93d038d5  mrs	x19, tpidr_el1
0xfffffff008161044: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff008161048: 770501f0  adrp	x23, #0xfffffff00a210000
0xfffffff00816104c: f7422791  add	x23, x23, #0x9d0
0xfffffff008161050: e97ee8c8  casa	x8, x9, [x23]
0xfffffff008161054: 1f0100f1  cmp	x8, #0
0xfffffff008161058: a10a0054  b.ne	#0xfffffff0081611ac
0xfffffff00816105c: 680501d0  adrp	x8, #0xfffffff00a20f000
0xfffffff008161060: 09a148b9  ldr	w9, [x8, #0x8a0]
0xfffffff008161064: 29050011  add	w9, w9, #1
0xfffffff008161068: 09a108b9  str	w9, [x8, #0x8a0]
0xfffffff00816106c: 080701f0  adrp	x8, #0xfffffff00a244000
0xfffffff008161070: 15b146f9  ldr	x21, [x8, #0xd60]
0xfffffff008161074: 350800b4  cbz	x21, #0xfffffff008161178
0xfffffff008161078: 96020291  add	x22, x20, #0x80
0xfffffff00816107c: 780501d0  adrp	x24, #0xfffffff00a20f000
0xfffffff008161080: 08000014  b	#0xfffffff0081610a0
0xfffffff008161084: a0420091  add	x0, x21, #0x10
0xfffffff008161088: e10314aa  mov	x1, x20
0xfffffff00816108c: 02008052  mov	w2, #0
