; Candidate 8216
; ADRP+ADD at VM 0xfffffff00889cc68 (fileoff 0x1898c68): page=0x1fe94d000 add_imm=0xe80

0xfffffff00889cbe8: 17020034  cbz	w23, #0xfffffff00889cc28
0xfffffff00889cbec: 680240b9  ldr	w8, [x19]
0xfffffff00889cbf0: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00889cbf4: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00889cbf8: a84cff90  adrp	x8, #0xfffffff007230000
0xfffffff00889cbfc: 09bd3791  add	x9, x8, #0xdef
0xfffffff00889cc00: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889cc04: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889cc08: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889cc0c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00889cc10: a80f8052  mov	w8, #0x7d
0xfffffff00889cc14: a04bffd0  adrp	x0, #0xfffffff007212000
0xfffffff00889cc18: 00701b91  add	x0, x0, #0x6dc
0xfffffff00889cc1c: f62300a9  stp	x22, x8, [sp]
0xfffffff00889cc20: 106ad497  bl	#0xfffffff007db7460
0xfffffff00889cc24: 19000014  b	#0xfffffff00889cc88
0xfffffff00889cc28: 615d0094  bl	#0xfffffff0088b41ac
0xfffffff00889cc2c: f60300aa  mov	x22, x0
0xfffffff00889cc30: 00018052  mov	w0, #8
0xfffffff00889cc34: 077bff97  bl	#0xfffffff00887b850
0xfffffff00889cc38: e80315aa  mov	x8, x21
0xfffffff00889cc3c: 690240b9  ldr	w9, [x19]
0xfffffff00889cc40: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00889cc44: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00889cc48: a84cff90  adrp	x8, #0xfffffff007230000
0xfffffff00889cc4c: 0abd3791  add	x10, x8, #0xdef
0xfffffff00889cc50: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889cc54: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889cc58: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00889cc5c: a80f8052  mov	w8, #0x7d
0xfffffff00889cc60: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889cc64: f60300f9  str	x22, [sp]
0xfffffff00889cc68: 604affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889cc6c: 00003a91  add	x0, x0, #0xe80
0xfffffff00889cc70: 618bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00889cc74: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889cc78: 234eff90  adrp	x3, #0xfffffff007260000
0xfffffff00889cc7c: 63e83791  add	x3, x3, #0xdfa
0xfffffff00889cc80: 02008052  mov	w2, #0
0xfffffff00889cc84: 2b59ea97  bl	#0xfffffff008333130
0xfffffff00889cc88: e00315aa  mov	x0, x21
0xfffffff00889cc8c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00889cc90: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00889cc94: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00889cc98: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00889cc9c: ff430291  add	sp, sp, #0x90
0xfffffff00889cca0: ff0f5fd6  retab	
0xfffffff00889cca4: 7f2303d5  pacibsp	
0xfffffff00889cca8: ff8302d1  sub	sp, sp, #0xa0
0xfffffff00889ccac: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff00889ccb0: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff00889ccb4: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff00889ccb8: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff00889ccbc: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00889ccc0: fd430291  add	x29, sp, #0x90
0xfffffff00889ccc4: f40301aa  mov	x20, x1
0xfffffff00889ccc8: f30300aa  mov	x19, x0
0xfffffff00889cccc: a00f8052  mov	w0, #0x7d
0xfffffff00889ccd0: 01018052  mov	w1, #8
0xfffffff00889ccd4: bf7aff97  bl	#0xfffffff00887b7d0
0xfffffff00889ccd8: 60070034  cbz	w0, #0xfffffff00889cdc4
0xfffffff00889ccdc: a00f8052  mov	w0, #0x7d
0xfffffff00889cce0: ce7aff97  bl	#0xfffffff00887b818
0xfffffff00889cce4: f70300aa  mov	x23, x0
