; Candidate 13357
; ADRP+ADD at VM 0xfffffff0092ae858 (fileoff 0x22aa858): page=0x1fe8f3000 add_imm=0xe48

0xfffffff0092ae7d8: 479fc297  bl	#0xfffffff0083564f4
0xfffffff0092ae7dc: e00400b4  cbz	x0, #0xfffffff0092ae878
0xfffffff0092ae7e0: f30300aa  mov	x19, x0
0xfffffff0092ae7e4: a80240f9  ldr	x8, [x21]
0xfffffff0092ae7e8: 08dc00a9  stp	x8, x23, [x0, #8]
0xfffffff0092ae7ec: 160000b9  str	w22, [x0]
0xfffffff0092ae7f0: 80b240f9  ldr	x0, [x20, #0x160]
0xfffffff0092ae7f4: e10313aa  mov	x1, x19
0xfffffff0092ae7f8: 7107ad97  bl	#0xfffffff007df05bc
0xfffffff0092ae7fc: 1f040071  cmp	w0, #1
0xfffffff0092ae800: 61030054  b.ne	#0xfffffff0092ae86c
0xfffffff0092ae804: 88624239  ldrb	w8, [x20, #0x98]
0xfffffff0092ae808: 88020836  tbz	w8, #1, #0xfffffff0092ae858
0xfffffff0092ae80c: 900240f9  ldr	x16, [x20]
0xfffffff0092ae810: f10314aa  mov	x17, x20
0xfffffff0092ae814: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ae818: 301ac1da  autda	x16, x17
0xfffffff0092ae81c: 113d80d2  mov	x17, #0x1e8
0xfffffff0092ae820: 1002118b  add	x16, x16, x17
0xfffffff0092ae824: 080240f9  ldr	x8, [x16]
0xfffffff0092ae828: e90310aa  mov	x9, x16
0xfffffff0092ae82c: e00314aa  mov	x0, x20
0xfffffff0092ae830: 010080d2  mov	x1, #0
0xfffffff0092ae834: f10309aa  mov	x17, x9
0xfffffff0092ae838: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092ae83c: 11093fd7  blraa	x8, x17
0xfffffff0092ae840: c810ffb0  adrp	x8, #0xfffffff0074c7000
0xfffffff0092ae844: 08d92891  add	x8, x8, #0xa36
0xfffffff0092ae848: e02300a9  stp	x0, x8, [sp]
0xfffffff0092ae84c: c010ffb0  adrp	x0, #0xfffffff0074c7000
0xfffffff0092ae850: 00fc2791  add	x0, x0, #0x9ff
0xfffffff0092ae854: f3a1c297  bl	#0xfffffff008357020
0xfffffff0092ae858: 8047fff0  adrp	x0, #0xfffffff007ba1000
0xfffffff0092ae85c: 00203991  add	x0, x0, #0xe48
0xfffffff0092ae860: e10313aa  mov	x1, x19
0xfffffff0092ae864: aa9fc297  bl	#0xfffffff00835670c
0xfffffff0092ae868: 04000014  b	#0xfffffff0092ae878
0xfffffff0092ae86c: 08389c52  mov	w8, #0xe1c0
0xfffffff0092ae870: 881ca072  movk	w8, #0xe4, lsl #16
0xfffffff0092ae874: a80600f9  str	x8, [x21, #8]
0xfffffff0092ae878: 00008052  mov	w0, #0
0xfffffff0092ae87c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0092ae880: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0092ae884: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0092ae888: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0092ae88c: ff430191  add	sp, sp, #0x50
0xfffffff0092ae890: ff0f5fd6  retab	
0xfffffff0092ae894: 7f2303d5  pacibsp	
0xfffffff0092ae898: ffc300d1  sub	sp, sp, #0x30
0xfffffff0092ae89c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0092ae8a0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0092ae8a4: fd830091  add	x29, sp, #0x20
0xfffffff0092ae8a8: f30301aa  mov	x19, x1
0xfffffff0092ae8ac: f40300aa  mov	x20, x0
0xfffffff0092ae8b0: 00ac40f9  ldr	x0, [x0, #0x158]
0xfffffff0092ae8b4: 86f4ab97  bl	#0xfffffff007dabacc
0xfffffff0092ae8b8: 680240b9  ldr	w8, [x19]
0xfffffff0092ae8bc: 09648052  mov	w9, #0x320
0xfffffff0092ae8c0: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff0092ae8c4: 1f01096b  cmp	w8, w9
0xfffffff0092ae8c8: 00040054  b.eq	#0xfffffff0092ae948
0xfffffff0092ae8cc: 09508052  mov	w9, #0x280
0xfffffff0092ae8d0: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff0092ae8d4: 1f01096b  cmp	w8, w9
