; Candidate 16503
; ADRP+ADD at VM 0xfffffff009ec7b68 (fileoff 0x2ec3b68): page=0x1fd97b000 add_imm=0xd4d

0xfffffff009ec7ae8: 46117a97  bl	#0xfffffff007d4c000
0xfffffff009ec7aec: a10e40f9  ldr	x1, [x21, #0x18]
0xfffffff009ec7af0: e80301cb  neg	x8, x1
0xfffffff009ec7af4: 7c2800b0  adrp	x28, #0xfffffff00a3d4000
0xfffffff009ec7af8: 9c232a91  add	x28, x28, #0xa88
0xfffffff009ec7afc: 880328f8  ldadd	x8, x8, [x28]
0xfffffff009ec7b00: e00316aa  mov	x0, x22
0xfffffff009ec7b04: 9f3c9297  bl	#0xfffffff008356d80
0xfffffff009ec7b08: f60319aa  mov	x22, x25
0xfffffff009ec7b0c: f91f40f9  ldr	x25, [sp, #0x38]
0xfffffff009ec7b10: fa4f40b9  ldr	w26, [sp, #0x4c]
0xfffffff009ec7b14: 86faff17  b	#0xfffffff009ec652c
0xfffffff009ec7b18: cd587a97  bl	#0xfffffff007d5de4c
0xfffffff009ec7b1c: 0a608152  mov	w10, #0xb00
0xfffffff009ec7b20: c8cbfed0  adrp	x8, #0xfffffff007841000
0xfffffff009ec7b24: 087d3691  add	x8, x8, #0xd9f
0xfffffff009ec7b28: e96b40b9  ldr	w9, [sp, #0x68]
0xfffffff009ec7b2c: e903092a  mov	w9, w9
0xfffffff009ec7b30: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff009ec7b34: f6a701a9  stp	x22, x9, [sp, #0x18]
0xfffffff009ec7b38: f3d300a9  stp	x19, x20, [sp, #8]
0xfffffff009ec7b3c: c0cbfef0  adrp	x0, #0xfffffff007842000
0xfffffff009ec7b40: 00c03991  add	x0, x0, #0xe70
0xfffffff009ec7b44: f70300f9  str	x23, [sp]
0xfffffff009ec7b48: 71329797  bl	#0xfffffff00849450c
0xfffffff009ec7b4c: 68568152  mov	w8, #0xab3
0xfffffff009ec7b50: c9cbfed0  adrp	x9, #0xfffffff007841000
0xfffffff009ec7b54: 297d3691  add	x9, x9, #0xd9f
0xfffffff009ec7b58: 0accfed0  adrp	x10, #0xfffffff007849000
0xfffffff009ec7b5c: 4aad2091  add	x10, x10, #0x82b
0xfffffff009ec7b60: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009ec7b64: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff009ec7b68: c0cbfef0  adrp	x0, #0xfffffff007842000
0xfffffff009ec7b6c: 00343591  add	x0, x0, #0xd4d
0xfffffff009ec7b70: 67329797  bl	#0xfffffff00849450c
0xfffffff009ec7b74: 2c050000  udf	#0x52c
0xfffffff009ec7b78: 1c040000  udf	#0x41c
0xfffffff009ec7b7c: 14040000  udf	#0x414
0xfffffff009ec7b80: 14040000  udf	#0x414
0xfffffff009ec7b84: 0c000000  udf	#0xc
0xfffffff009ec7b88: 0c000000  udf	#0xc
0xfffffff009ec7b8c: 0c000000  udf	#0xc
0xfffffff009ec7b90: 0c000000  udf	#0xc
0xfffffff009ec7b94: 1c040000  udf	#0x41c
0xfffffff009ec7b98: 7f2303d5  pacibsp	
0xfffffff009ec7b9c: ff0301d1  sub	sp, sp, #0x40
0xfffffff009ec7ba0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009ec7ba4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009ec7ba8: fdc30091  add	x29, sp, #0x30
0xfffffff009ec7bac: f30300aa  mov	x19, x0
0xfffffff009ec7bb0: 089c40f9  ldr	x8, [x0, #0x138]
0xfffffff009ec7bb4: 080200b4  cbz	x8, #0xfffffff009ec7bf4
0xfffffff009ec7bb8: 083e8452  mov	w8, #0x21f0
0xfffffff009ec7bbc: 6802088b  add	x8, x19, x8
0xfffffff009ec7bc0: a90d8152  mov	w9, #0x86d
0xfffffff009ec7bc4: eacbfe90  adrp	x10, #0xfffffff007843000
0xfffffff009ec7bc8: 4a290291  add	x10, x10, #0x8a
0xfffffff009ec7bcc: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ec7bd0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec7bd4: e0cbfe90  adrp	x0, #0xfffffff007843000
0xfffffff009ec7bd8: 00680191  add	x0, x0, #0x5a
0xfffffff009ec7bdc: 3adffe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec7be0: a0058052  mov	w0, #0x2d
0xfffffff009ec7be4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
