; Candidate 2730
; ADRP+ADD at VM 0xfffffff0086e5854 (fileoff 0x16e1854): page=0x1fea4c000 add_imm=0xd90

0xfffffff0086e57d4: 7405f837  tbnz	w20, #0x1f, #0xfffffff0086e5880
0xfffffff0086e57d8: 0a0240b9  ldr	w10, [x16]
0xfffffff0086e57dc: 290240b9  ldr	w9, [x17]
0xfffffff0086e57e0: 5f050071  cmp	w10, #1
0xfffffff0086e57e4: 28050054  b.hi	#0xfffffff0086e5888
0xfffffff0086e57e8: 08008052  mov	w8, #0
0xfffffff0086e57ec: 14008052  mov	w20, #0
0xfffffff0086e57f0: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e57f4: 8b008052  mov	w11, #4
0xfffffff0086e57f8: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086e57fc: 945e1853  lsl	w20, w20, #8
0xfffffff0086e5800: bf010ceb  cmp	x13, x12
0xfffffff0086e5804: 02010054  b.hs	#0xfffffff0086e5824
0xfffffff0086e5808: 08210011  add	w8, w8, #8
0xfffffff0086e580c: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e5810: ae050091  add	x14, x13, #1
0xfffffff0086e5814: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086e5818: ad014039  ldrb	w13, [x13]
0xfffffff0086e581c: 94020d2a  orr	w20, w20, w13
0xfffffff0086e5820: ed030eaa  mov	x13, x14
0xfffffff0086e5824: 6b050071  subs	w11, w11, #1
0xfffffff0086e5828: a1feff54  b.ne	#0xfffffff0086e57fc
0xfffffff0086e582c: 4b008052  mov	w11, #2
0xfffffff0086e5830: 75010a4b  sub	w21, w11, w10
0xfffffff0086e5834: ea030a4b  neg	w10, w10
0xfffffff0086e5838: 2925ca1a  lsr	w9, w9, w10
0xfffffff0086e583c: 3621d51a  lsl	w22, w9, w21
0xfffffff0086e5840: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e5844: 290140b9  ldr	w9, [x9]
0xfffffff0086e5848: 3f011a6a  tst	w9, w26
0xfffffff0086e584c: 60020054  b.eq	#0xfffffff0086e5898
0xfffffff0086e5850: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e5854: 6052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086e5858: 00403691  add	x0, x0, #0xd90
0xfffffff0086e585c: c198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e5860: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e5864: 6352ffd0  adrp	x3, #0xfffffff007133000
0xfffffff0086e5868: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e586c: 02008052  mov	w2, #0
0xfffffff0086e5870: 3036f197  bl	#0xfffffff008333130
0xfffffff0086e5874: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e5878: 080240b9  ldr	w8, [x16]
0xfffffff0086e587c: 07000014  b	#0xfffffff0086e5898
0xfffffff0086e5880: 89008052  mov	w9, #4
0xfffffff0086e5884: 21000014  b	#0xfffffff0086e5908
0xfffffff0086e5888: 16008052  mov	w22, #0
0xfffffff0086e588c: 55008052  mov	w21, #2
0xfffffff0086e5890: e8030aaa  mov	x8, x10
0xfffffff0086e5894: f40309aa  mov	x20, x9
0xfffffff0086e5898: e903154b  neg	w9, w21
0xfffffff0086e589c: 8926c91a  lsr	w9, w20, w9
0xfffffff0086e58a0: 3601162a  orr	w22, w9, w22
0xfffffff0086e58a4: 8922d51a  lsl	w9, w20, w21
0xfffffff0086e58a8: 290200b9  str	w9, [x17]
0xfffffff0086e58ac: 0801154b  sub	w8, w8, w21
0xfffffff0086e58b0: 080200b9  str	w8, [x16]
0xfffffff0086e58b4: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e58b8: 290140b9  ldr	w9, [x9]
0xfffffff0086e58bc: 3f011a6a  tst	w9, w26
0xfffffff0086e58c0: e0010054  b.eq	#0xfffffff0086e58fc
0xfffffff0086e58c4: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e58c8: 4853fff0  adrp	x8, #0xfffffff007150000
0xfffffff0086e58cc: 08751091  add	x8, x8, #0x41d
0xfffffff0086e58d0: 49008052  mov	w9, #2
