; Candidate 15934
; ADRP+ADD at VM 0xfffffff009dec328 (fileoff 0x2de8328): page=0x1fd8b4000 add_imm=0xea3

0xfffffff009dec2a8: f1030aaa  mov	x17, x10
0xfffffff009dec2ac: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009dec2b0: 31093fd7  blraa	x9, x17
0xfffffff009dec2b4: f40300aa  mov	x20, x0
0xfffffff009dec2b8: 603a40f9  ldr	x0, [x19, #0x70]
0xfffffff009dec2bc: 882e00d0  adrp	x8, #0xfffffff00a3be000
0xfffffff009dec2c0: 08611691  add	x8, x8, #0x598
0xfffffff009dec2c4: 140100f9  str	x20, [x8]
0xfffffff009dec2c8: bfb1ff97  bl	#0xfffffff009dd89c4
0xfffffff009dec2cc: f50300aa  mov	x21, x0
0xfffffff009dec2d0: 604240f9  ldr	x0, [x19, #0x80]
0xfffffff009dec2d4: 100040f9  ldr	x16, [x0]
0xfffffff009dec2d8: f10300aa  mov	x17, x0
0xfffffff009dec2dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dec2e0: 301ac1da  autda	x16, x17
0xfffffff009dec2e4: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009dec2e8: e90310aa  mov	x9, x16
0xfffffff009dec2ec: f10309aa  mov	x17, x9
0xfffffff009dec2f0: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009dec2f4: 11093fd7  blraa	x8, x17
0xfffffff009dec2f8: 68da4179  ldrh	w8, [x19, #0xec]
0xfffffff009dec2fc: 69de4179  ldrh	w9, [x19, #0xee]
0xfffffff009dec300: eb3a8052  mov	w11, #0x1d7
0xfffffff009dec304: aac5fe90  adrp	x10, #0xfffffff0076a0000
0xfffffff009dec308: 4a2d3191  add	x10, x10, #0xc4b
0xfffffff009dec30c: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff009dec310: 8a018052  mov	w10, #0xc
0xfffffff009dec314: ead702a9  stp	x10, x21, [sp, #0x28]
0xfffffff009dec318: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff009dec31c: a9c5fe90  adrp	x9, #0xfffffff0076a0000
0xfffffff009dec320: 29653791  add	x9, x9, #0xdd9
0xfffffff009dec324: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff009dec328: a0c5fe90  adrp	x0, #0xfffffff0076a0000
0xfffffff009dec32c: 008c3a91  add	x0, x0, #0xea3
0xfffffff009dec330: f40300f9  str	x20, [sp]
0xfffffff009dec334: 76a09a97  bl	#0xfffffff00849450c
0xfffffff009dec338: 7f2303d5  pacibsp	
0xfffffff009dec33c: ff4301d1  sub	sp, sp, #0x50
0xfffffff009dec340: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff009dec344: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009dec348: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009dec34c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009dec350: fd030191  add	x29, sp, #0x40
0xfffffff009dec354: f30300aa  mov	x19, x0
0xfffffff009dec358: 003840f9  ldr	x0, [x0, #0x70]
0xfffffff009dec35c: 083041b9  ldr	w8, [x0, #0x130]
0xfffffff009dec360: 1f150071  cmp	w8, #5
0xfffffff009dec364: 81080054  b.ne	#0xfffffff009dec474
0xfffffff009dec368: f40301aa  mov	x20, x1
0xfffffff009dec36c: 379460d3  ubfx	x23, x1, #0x20, #6
0xfffffff009dec370: 36004d92  and	x22, x1, #0x8000000000000
0xfffffff009dec374: 68264439  ldrb	w8, [x19, #0x109]
0xfffffff009dec378: a8000034  cbz	w8, #0xfffffff009dec38c
0xfffffff009dec37c: e16a1b53  lsl	w1, w23, #5
0xfffffff009dec380: e00313aa  mov	x0, x19
0xfffffff009dec384: e4000094  bl	#0xfffffff009dec714
0xfffffff009dec388: 16000014  b	#0xfffffff009dec3e0
0xfffffff009dec38c: f56a1b53  lsl	w21, w23, #5
0xfffffff009dec390: 8812c05a  clz	w8, w20
0xfffffff009dec394: a802084b  sub	w8, w21, w8
0xfffffff009dec398: 01810011  add	w1, w8, #0x20
0xfffffff009dec39c: c9b7ff97  bl	#0xfffffff009dda2c0
0xfffffff009dec3a0: 74010034  cbz	w20, #0xfffffff009dec3cc
0xfffffff009dec3a4: b5000034  cbz	w21, #0xfffffff009dec3b8
