; Candidate 14780
; ADRP+ADD at VM 0xfffffff009914934 (fileoff 0x2910934): page=0xa81000 add_imm=0xe98

0xfffffff0099148b4: e00317aa  mov	x0, x23
0xfffffff0099148b8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0099148bc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0099148c0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0099148c4: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0099148c8: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff0099148cc: ff0f5fd6  retab	
0xfffffff0099148d0: 17008052  mov	w23, #0
0xfffffff0099148d4: f8ffff17  b	#0xfffffff0099148b4
0xfffffff0099148d8: 5f2403d5  bti	c
0xfffffff0099148dc: 863fa717  b	#0xfffffff0082e46f4
0xfffffff0099148e0: 7f2303d5  pacibsp	
0xfffffff0099148e4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0099148e8: fd030091  mov	x29, sp
0xfffffff0099148ec: 005400b0  adrp	x0, #0xfffffff00a395000
0xfffffff0099148f0: 00603a91  add	x0, x0, #0xe98
0xfffffff0099148f4: 41e6fed0  adrp	x1, #0xfffffff0075de000
0xfffffff0099148f8: 215c2791  add	x1, x1, #0x9d7
0xfffffff0099148fc: e21affb0  adrp	x2, #0xfffffff007c71000
0xfffffff009914900: 425842f9  ldr	x2, [x2, #0x4b0]
0xfffffff009914904: 03128052  mov	w3, #0x90
0xfffffff009914908: 8c3ca797  bl	#0xfffffff0082e3b38
0xfffffff00991490c: 301bff90  adrp	x16, #0xfffffff007c78000
0xfffffff009914910: 10020091  add	x16, x16, #0
0xfffffff009914914: 10420091  add	x16, x16, #0x10
0xfffffff009914918: f10300aa  mov	x17, x0
0xfffffff00991491c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009914920: 300ac1da  pacda	x16, x17
0xfffffff009914924: 100000f9  str	x16, [x0]
0xfffffff009914928: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00991492c: ff0f5fd6  retab	
0xfffffff009914930: 5f2403d5  bti	c
0xfffffff009914934: 005400b0  adrp	x0, #0xfffffff00a395000
0xfffffff009914938: 00603a91  add	x0, x0, #0xe98
0xfffffff00991493c: 6e3fa717  b	#0xfffffff0082e46f4
0xfffffff009914940: 7f2303d5  pacibsp	
0xfffffff009914944: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009914948: fd030091  mov	x29, sp
0xfffffff00991494c: 41e6fed0  adrp	x1, #0xfffffff0075de000
0xfffffff009914950: 21042991  add	x1, x1, #0xa41
0xfffffff009914954: 025400b0  adrp	x2, #0xfffffff00a395000
0xfffffff009914958: 42002f91  add	x2, x2, #0xbc0
0xfffffff00991495c: 03198052  mov	w3, #0xc8
0xfffffff009914960: 763ca797  bl	#0xfffffff0082e3b38
0xfffffff009914964: 301bff90  adrp	x16, #0xfffffff007c78000
0xfffffff009914968: 10821f91  add	x16, x16, #0x7e0
0xfffffff00991496c: 10420091  add	x16, x16, #0x10
0xfffffff009914970: f10300aa  mov	x17, x0
0xfffffff009914974: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009914978: 300ac1da  pacda	x16, x17
0xfffffff00991497c: 100000f9  str	x16, [x0]
0xfffffff009914980: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009914984: ff0f5fd6  retab	
0xfffffff009914988: 5f2403d5  bti	c
0xfffffff00991498c: 5a3fa717  b	#0xfffffff0082e46f4
0xfffffff009914990: 7f2303d5  pacibsp	
0xfffffff009914994: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009914998: fd030091  mov	x29, sp
0xfffffff00991499c: 6568ff97  bl	#0xfffffff0098eeb30
0xfffffff0099149a0: 301bff90  adrp	x16, #0xfffffff007c78000
0xfffffff0099149a4: 10620291  add	x16, x16, #0x98
0xfffffff0099149a8: 10420091  add	x16, x16, #0x10
0xfffffff0099149ac: f10300aa  mov	x17, x0
0xfffffff0099149b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
