; Candidate 8315
; ADRP+ADD at VM 0xfffffff0088a302c (fileoff 0x189f02c): page=0x1fe946000 add_imm=0xe80

0xfffffff0088a2fac: b8db78a9  ldp	x24, x22, [x29, #-0x78]
0xfffffff0088a2fb0: b78359f8  ldur	x23, [x29, #-0x68]
0xfffffff0088a2fb4: fc3f40f9  ldr	x28, [sp, #0x78]
0xfffffff0088a2fb8: 24000014  b	#0xfffffff0088a3048
0xfffffff0088a2fbc: 7c440094  bl	#0xfffffff0088b41ac
0xfffffff0088a2fc0: f40300aa  mov	x20, x0
0xfffffff0088a2fc4: 80008052  mov	w0, #4
0xfffffff0088a2fc8: 2262ff97  bl	#0xfffffff00887b850
0xfffffff0088a2fcc: e8031caa  mov	x8, x28
0xfffffff0088a2fd0: f8a306a9  stp	x24, x8, [sp, #0x68]
0xfffffff0088a2fd4: e80317aa  mov	x8, x23
0xfffffff0088a2fd8: e83300f9  str	x8, [sp, #0x60]
0xfffffff0088a2fdc: e80316aa  mov	x8, x22
0xfffffff0088a2fe0: e9031aaa  mov	x9, x26
0xfffffff0088a2fe4: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff0088a2fe8: e80319aa  mov	x8, x25
0xfffffff0088a2fec: e90315aa  mov	x9, x21
0xfffffff0088a2ff0: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088a2ff4: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a2ff8: 08193491  add	x8, x8, #0xd06
0xfffffff0088a2ffc: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a3000: 68148052  mov	w8, #0xa3
0xfffffff0088a3004: 694bffd0  adrp	x9, #0xfffffff007211000
0xfffffff0088a3008: 29892c91  add	x9, x9, #0xb22
0xfffffff0088a300c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a3010: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a3014: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a3018: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a301c: 680f8052  mov	w8, #0x7b
0xfffffff0088a3020: e34dffd0  adrp	x3, #0xfffffff007261000
0xfffffff0088a3024: 63f43491  add	x3, x3, #0xd3d
0xfffffff0088a3028: f42300a9  stp	x20, x8, [sp]
0xfffffff0088a302c: 204affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a3030: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a3034: 218bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a3038: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a303c: 02008052  mov	w2, #0
0xfffffff0088a3040: 3c40ea97  bl	#0xfffffff008333130
0xfffffff0088a3044: 1b7d8012  mov	w27, #-0x3e9
0xfffffff0088a3048: 600f8052  mov	w0, #0x7b
0xfffffff0088a304c: c1008052  mov	w1, #6
0xfffffff0088a3050: e061ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a3054: c0070034  cbz	w0, #0xfffffff0088a314c
0xfffffff0088a3058: 600f8052  mov	w0, #0x7b
0xfffffff0088a305c: ef61ff97  bl	#0xfffffff00887b818
0xfffffff0088a3060: f40300aa  mov	x20, x0
0xfffffff0088a3064: 52440094  bl	#0xfffffff0088b41ac
0xfffffff0088a3068: f50300aa  mov	x21, x0
0xfffffff0088a306c: c0008052  mov	w0, #6
0xfffffff0088a3070: f861ff97  bl	#0xfffffff00887b850
0xfffffff0088a3074: f4020034  cbz	w20, #0xfffffff0088a30d0
0xfffffff0088a3078: e8031caa  mov	x8, x28
0xfffffff0088a307c: e86f06a9  stp	x8, x27, [sp, #0x60]
0xfffffff0088a3080: e80317aa  mov	x8, x23
0xfffffff0088a3084: e86305a9  stp	x8, x24, [sp, #0x50]
0xfffffff0088a3088: e80316aa  mov	x8, x22
0xfffffff0088a308c: e9031aaa  mov	x9, x26
0xfffffff0088a3090: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088a3094: e80319aa  mov	x8, x25
0xfffffff0088a3098: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0088a309c: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0088a30a0: 684bffd0  adrp	x8, #0xfffffff007211000
0xfffffff0088a30a4: 08892c91  add	x8, x8, #0xb22
0xfffffff0088a30a8: e84f02a9  stp	x8, x19, [sp, #0x20]
