; Candidate 8973
; ADRP+ADD at VM 0xfffffff008909184 (fileoff 0x1905184): page=0x1fe969000 add_imm=0xe72

0xfffffff008909104: 1f050071  cmp	w8, #1
0xfffffff008909108: ac010054  b.gt	#0xfffffff00890913c
0xfffffff00890910c: 680e088b  add	x8, x19, x8, lsl #3
0xfffffff008909110: 172d40f9  ldr	x23, [x8, #0x58]
0xfffffff008909114: 570100b4  cbz	x23, #0xfffffff00890913c
0xfffffff008909118: 655240f9  ldr	x5, [x19, #0xa0]
0xfffffff00890911c: c30205cb  sub	x3, x22, x5
0xfffffff008909120: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff008909124: 612a40f9  ldr	x1, [x19, #0x50]
0xfffffff008909128: e20317aa  mov	x2, x23
0xfffffff00890912c: 040080d2  mov	x4, #0
0xfffffff008909130: 1a2eec97  bl	#0xfffffff008414998
0xfffffff008909134: bf0217eb  cmp	x21, x23
0xfffffff008909138: 00010054  b.eq	#0xfffffff008909158
0xfffffff00890913c: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff008909140: 612a40f9  ldr	x1, [x19, #0x50]
0xfffffff008909144: e20315aa  mov	x2, x21
0xfffffff008909148: 030080d2  mov	x3, #0
0xfffffff00890914c: 24008052  mov	w4, #1
0xfffffff008909150: e50316aa  mov	x5, x22
0xfffffff008909154: 112eec97  bl	#0xfffffff008414998
0xfffffff008909158: 749a00b9  str	w20, [x19, #0x98]
0xfffffff00890915c: 765200f9  str	x22, [x19, #0xa0]
0xfffffff008909160: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008909164: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008909168: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00890916c: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff008909170: ff430191  add	sp, sp, #0x50
0xfffffff008909174: ff0f5fd6  retab	
0xfffffff008909178: 5f2403d5  bti	c
0xfffffff00890917c: 5e6de717  b	#0xfffffff0082e46f4
0xfffffff008909180: 5f2403d5  bti	c
0xfffffff008909184: 404bffb0  adrp	x0, #0xfffffff007272000
0xfffffff008909188: 00c83991  add	x0, x0, #0xe72
0xfffffff00890918c: c0035fd6  ret	
0xfffffff008909190: 5f2403d5  bti	c
0xfffffff008909194: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff008909198: c0035fd6  ret	
0xfffffff00890919c: 7f2303d5  pacibsp	
0xfffffff0089091a0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0089091a4: fd030091  mov	x29, sp
0xfffffff0089091a8: 80ce00d0  adrp	x0, #0xfffffff00a2db000
0xfffffff0089091ac: 00003b91  add	x0, x0, #0xec0
0xfffffff0089091b0: 414bffb0  adrp	x1, #0xfffffff007272000
0xfffffff0089091b4: 21c83991  add	x1, x1, #0xe72
0xfffffff0089091b8: 8288ffd0  adrp	x2, #0xfffffff007a1b000
0xfffffff0089091bc: 429841f9  ldr	x2, [x2, #0x330]
0xfffffff0089091c0: 03168052  mov	w3, #0xb0
0xfffffff0089091c4: 5d6ae797  bl	#0xfffffff0082e3b38
0xfffffff0089091c8: 9088ffd0  adrp	x16, #0xfffffff007a1b000
0xfffffff0089091cc: 10822e91  add	x16, x16, #0xba0
0xfffffff0089091d0: 10420091  add	x16, x16, #0x10
0xfffffff0089091d4: f10300aa  mov	x17, x0
0xfffffff0089091d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089091dc: 300ac1da  pacda	x16, x17
0xfffffff0089091e0: 100000f9  str	x16, [x0]
0xfffffff0089091e4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0089091e8: ff0f5fd6  retab	
0xfffffff0089091ec: 5f2403d5  bti	c
0xfffffff0089091f0: 80ce00d0  adrp	x0, #0xfffffff00a2db000
0xfffffff0089091f4: 00003b91  add	x0, x0, #0xec0
0xfffffff0089091f8: 3f6de717  b	#0xfffffff0082e46f4
0xfffffff0089091fc: 7f2303d5  pacibsp	
0xfffffff008909200: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
