; Candidate 5148
; ADRP+ADD at VM 0xfffffff0087dbd84 (fileoff 0x17d7d84): page=0x1fea0e000 add_imm=0xe80

0xfffffff0087dbd04: f70300aa  mov	x23, x0
0xfffffff0087dbd08: 29610394  bl	#0xfffffff0088b41ac
0xfffffff0087dbd0c: f60300aa  mov	x22, x0
0xfffffff0087dbd10: 00018052  mov	w0, #8
0xfffffff0087dbd14: cf7e0294  bl	#0xfffffff00887b850
0xfffffff0087dbd18: d7010034  cbz	w23, #0xfffffff0087dbd50
0xfffffff0087dbd1c: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087dbd20: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbd24: 08251291  add	x8, x8, #0x489
0xfffffff0087dbd28: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dbd2c: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbd30: 081d0291  add	x8, x8, #0x87
0xfffffff0087dbd34: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dbd38: 280a8052  mov	w8, #0x51
0xfffffff0087dbd3c: a051ffb0  adrp	x0, #0xfffffff007210000
0xfffffff0087dbd40: 00a42d91  add	x0, x0, #0xb69
0xfffffff0087dbd44: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dbd48: c66dd797  bl	#0xfffffff007db7460
0xfffffff0087dbd4c: 16000014  b	#0xfffffff0087dbda4
0xfffffff0087dbd50: 17610394  bl	#0xfffffff0088b41ac
0xfffffff0087dbd54: f60300aa  mov	x22, x0
0xfffffff0087dbd58: 00018052  mov	w0, #8
0xfffffff0087dbd5c: bd7e0294  bl	#0xfffffff00887b850
0xfffffff0087dbd60: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087dbd64: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbd68: 08251291  add	x8, x8, #0x489
0xfffffff0087dbd6c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dbd70: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbd74: 081d0291  add	x8, x8, #0x87
0xfffffff0087dbd78: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dbd7c: 280a8052  mov	w8, #0x51
0xfffffff0087dbd80: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dbd84: 6050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dbd88: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dbd8c: 6191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087dbd90: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dbd94: 0353ffb0  adrp	x3, #0xfffffff00723c000
0xfffffff0087dbd98: 63380291  add	x3, x3, #0x8e
0xfffffff0087dbd9c: 02008052  mov	w2, #0
0xfffffff0087dbda0: e45ced97  bl	#0xfffffff008333130
0xfffffff0087dbda4: a81a40f9  ldr	x8, [x21, #0x30]
0xfffffff0087dbda8: 021140b9  ldr	w2, [x8, #0x10]
0xfffffff0087dbdac: 031940b9  ldr	w3, [x8, #0x18]
0xfffffff0087dbdb0: 97088052  mov	w23, #0x44
0xfffffff0087dbdb4: d774a572  movk	w23, #0x2ba6, lsl #16
0xfffffff0087dbdb8: 80088052  mov	w0, #0x44
0xfffffff0087dbdbc: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087dbdc0: e1008052  mov	w1, #7
0xfffffff0087dbdc4: 040080d2  mov	x4, #0
0xfffffff0087dbdc8: 050080d2  mov	x5, #0
0xfffffff0087dbdcc: 4e88e697  bl	#0xfffffff00817df04
0xfffffff0087dbdd0: a11a40f9  ldr	x1, [x21, #0x30]
0xfffffff0087dbdd4: a22e40f9  ldr	x2, [x21, #0x58]
0xfffffff0087dbdd8: e00313aa  mov	x0, x19
0xfffffff0087dbddc: 43000094  bl	#0xfffffff0087dbee8
0xfffffff0087dbde0: 1e610394  bl	#0xfffffff0088b4258
0xfffffff0087dbde4: f60300aa  mov	x22, x0
0xfffffff0087dbde8: a81a40f9  ldr	x8, [x21, #0x30]
0xfffffff0087dbdec: 021140b9  ldr	w2, [x8, #0x10]
0xfffffff0087dbdf0: 031940b9  ldr	w3, [x8, #0x18]
0xfffffff0087dbdf4: e0120011  add	w0, w23, #4
0xfffffff0087dbdf8: e1008052  mov	w1, #7
0xfffffff0087dbdfc: 040080d2  mov	x4, #0
0xfffffff0087dbe00: 050080d2  mov	x5, #0
