; Candidate 8245
; ADRP+ADD at VM 0xfffffff00889e8b4 (fileoff 0x189a8b4): page=0x1fe98e000 add_imm=0xd84

0xfffffff00889e834: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff00889e838: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff00889e83c: fd430391  add	x29, sp, #0xd0
0xfffffff00889e840: f30300aa  mov	x19, x0
0xfffffff00889e844: a00f8052  mov	w0, #0x7d
0xfffffff00889e848: e1008052  mov	w1, #7
0xfffffff00889e84c: e173ff97  bl	#0xfffffff00887b7d0
0xfffffff00889e850: 9a4cfff0  adrp	x26, #0xfffffff007231000
0xfffffff00889e854: 5aeb3191  add	x26, x26, #0xc7a
0xfffffff00889e858: e0070034  cbz	w0, #0xfffffff00889e954
0xfffffff00889e85c: a00f8052  mov	w0, #0x7d
0xfffffff00889e860: ee73ff97  bl	#0xfffffff00887b818
0xfffffff00889e864: f60300aa  mov	x22, x0
0xfffffff00889e868: 51560094  bl	#0xfffffff0088b41ac
0xfffffff00889e86c: f40300aa  mov	x20, x0
0xfffffff00889e870: e0008052  mov	w0, #7
0xfffffff00889e874: f773ff97  bl	#0xfffffff00887b850
0xfffffff00889e878: b6020034  cbz	w22, #0xfffffff00889e8cc
0xfffffff00889e87c: f50300aa  mov	x21, x0
0xfffffff00889e880: 08b78752  mov	w8, #0x3db8
0xfffffff00889e884: 6002088b  add	x0, x19, x8
0xfffffff00889e888: 770240b9  ldr	w23, [x19]
0xfffffff00889e88c: 6943fe97  bl	#0xfffffff00882f630
0xfffffff00889e890: f60300aa  mov	x22, x0
0xfffffff00889e894: 60820c91  add	x0, x19, #0x320
0xfffffff00889e898: 6643fe97  bl	#0xfffffff00882f630
0xfffffff00889e89c: f68303a9  stp	x22, x0, [sp, #0x38]
0xfffffff00889e8a0: f3df02a9  stp	x19, x23, [sp, #0x28]
0xfffffff00889e8a4: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e8a8: 08110191  add	x8, x8, #0x44
0xfffffff00889e8ac: faa301a9  stp	x26, x8, [sp, #0x18]
0xfffffff00889e8b0: a80f8052  mov	w8, #0x7d
0xfffffff00889e8b4: 604cffd0  adrp	x0, #0xfffffff00722c000
0xfffffff00889e8b8: 00103691  add	x0, x0, #0xd84
0xfffffff00889e8bc: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff00889e8c0: f40300f9  str	x20, [sp]
0xfffffff00889e8c4: e762d497  bl	#0xfffffff007db7460
0xfffffff00889e8c8: 23000014  b	#0xfffffff00889e954
0xfffffff00889e8cc: 08b78752  mov	w8, #0x3db8
0xfffffff00889e8d0: 7402088b  add	x20, x19, x8
0xfffffff00889e8d4: e00314aa  mov	x0, x20
0xfffffff00889e8d8: 5643fe97  bl	#0xfffffff00882f630
0xfffffff00889e8dc: 75820c91  add	x21, x19, #0x320
0xfffffff00889e8e0: e00315aa  mov	x0, x21
0xfffffff00889e8e4: 5343fe97  bl	#0xfffffff00882f630
0xfffffff00889e8e8: 31560094  bl	#0xfffffff0088b41ac
0xfffffff00889e8ec: f60300aa  mov	x22, x0
0xfffffff00889e8f0: e0008052  mov	w0, #7
0xfffffff00889e8f4: d773ff97  bl	#0xfffffff00887b850
0xfffffff00889e8f8: f70300aa  mov	x23, x0
0xfffffff00889e8fc: 780240b9  ldr	w24, [x19]
0xfffffff00889e900: e00314aa  mov	x0, x20
0xfffffff00889e904: 4b43fe97  bl	#0xfffffff00882f630
0xfffffff00889e908: f40300aa  mov	x20, x0
0xfffffff00889e90c: e00315aa  mov	x0, x21
0xfffffff00889e910: 4843fe97  bl	#0xfffffff00882f630
0xfffffff00889e914: f48303a9  stp	x20, x0, [sp, #0x38]
0xfffffff00889e918: f3e302a9  stp	x19, x24, [sp, #0x28]
0xfffffff00889e91c: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e920: 08110191  add	x8, x8, #0x44
0xfffffff00889e924: faa301a9  stp	x26, x8, [sp, #0x18]
0xfffffff00889e928: a80f8052  mov	w8, #0x7d
0xfffffff00889e92c: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff00889e930: f60300f9  str	x22, [sp]
